absolute_net_jpy,gross_loss_jpy,gross_profit_jpy,modified_trades,period,profit_factor,trades
16754,-57598,74352,59,2020H1,1.29087815549151,589
1132,-48747,49879,69,2020H2,1.023221941863089,666
-3382,-43912,40530,59,2021H1,0.9229823282929496,593
2192,-48855,51047,68,2021H2,1.044867464947293,641
27025,-56764,83789,70,2022H1,1.476094003241491,549
-21022,-134365,113343,104,2022H2,0.8435455661816693,587
-10978,-103729,92751,107,2023H1,0.8941665300928381,601
22904,-79888,102792,98,2023H2,1.2867013819347086,597
17048,-65478,82526,68,2024H1,1.2603622590793855,524
33123,-101825,134948,113,2024H2,1.3252933955315491,621
609,-107453,108062,113,2025H1,1.0056675942039774,609
