gross_loss_jpy,gross_profit_jpy,maximum_consecutive_losses,minimum_realized_equity_jpy,modified_trades,net_jpy,period,profit_factor,realized_drawdown_jpy,source,trades
-7331,6512,7,97517,8,-819,2020-01,0.8882826353839895,2483,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,96
-4611,18515,6,99633,10,13904,2020-02,4.015397961396672,1050,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,100
-21077,26839,8,98430,15,5762,2020-03,1.273378564311807,5168,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,105
-9390,4974,14,95551,8,-4416,2020-04,0.5297124600638943,4552,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,91
-7091,5794,12,97945,10,-1297,2020-05,0.8170920885629627,3676,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,102
-8098,11718,13,99959,8,3620,2020-06,1.4470239565324683,4181,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,95
-9990,12097,8,98038,11,2107,2020-07,1.210910910910922,2135,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,140
-8860,9838,7,98859,13,978,2020-08,1.110383747178346,2897,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,117
-7382,3329,12,95947,13,-4053,2020-09,0.45096179897046573,4053,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,91
-6094,6853,9,99203,9,759,2020-10,1.124548736462082,2240,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,104
-7133,11357,6,99387,13,4224,2020-11,1.592177204542268,2616,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,104
-9288,6405,20,97117,10,-2883,2020-12,0.6895994832041402,5094,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,110
-5582,5843,8,99129,3,261,2021-01,1.0467574346112498,1506,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,87
-5956,8625,8,99866,11,2669,2021-02,1.4481195433176748,1628,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,104
-7904,7912,10,97797,9,8,2021-03,1.0010121457489891,5393,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,96
-7685,7124,10,97949,14,-561,2021-04,0.9270006506180829,2051,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,109
-8876,5529,12,95237,12,-3347,2021-05,0.6229157278053228,5096,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,100
-7909,5497,6,97213,10,-2412,2021-06,0.6950309773675616,4465,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,97
-5692,9309,10,100000,14,3617,2021-07,1.6354532677442224,1133,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,113
-9286,8188,11,98502,13,-1098,2021-08,0.8817574843851015,4017,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,123
-7421,9357,6,98468,12,1936,2021-09,1.2608812828459914,1790,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,120
-8155,8908,9,98875,9,753,2021-10,1.09233599019007,2962,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,107
-10628,11880,11,96393,10,1252,2021-11,1.117802032367341,3607,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,96
-7673,3405,10,94508,10,-4268,2021-12,0.443763847256617,5639,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,82
-8056,8660,10,97716,12,604,2022-01,1.0749751737835207,3100,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,103
-5551,5688,7,99979,8,137,2022-02,1.0246802377949944,2230,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,86
-7519,17134,9,98663,14,9615,2022-03,2.2787604734672233,1898,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,105
-9569,16812,7,98685,10,7243,2022-04,1.7569233984742483,3067,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,83
-12431,9919,9,97249,14,-2512,2022-05,0.7979245434800097,3539,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,77
-13638,25576,10,99970,12,11938,2022-06,1.8753482915383541,6021,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,95
-14072,14075,9,98020,16,3,2022-07,1.0002131893121102,4611,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,92
-15147,15118,8,99739,20,-29,2022-08,0.9980854294579787,4839,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,90
-25903,18024,9,92121,15,-7879,2022-09,0.6958267382156537,18277,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,94
-30062,18771,11,84414,12,-11291,2022-10,0.6244095535892449,21454,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,100
-24736,25927,18,97668,23,1191,2022-11,1.0481484476067282,8942,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,110
-24445,21428,11,90233,18,-3017,2022-12,0.876580077725503,13382,DUKASCOPY_SOURCE_NATIVE_ANALYSIS_PERIOD,101
-25386,18680,,,18,-6706,2023-01,0.7358386512250847,,RAKUTEN_COMMON_CONTRACT_REPLAY,94
-14362,16688,,,13,2326,2023-02,1.1619551594485447,,RAKUTEN_COMMON_CONTRACT_REPLAY,84
-22392,17710,,,24,-4682,2023-03,0.790907466952483,,RAKUTEN_COMMON_CONTRACT_REPLAY,119
-12143,13747,,,18,1604,2023-04,1.1320925636168986,,RAKUTEN_COMMON_CONTRACT_REPLAY,104
-15605,19876,,,13,4271,2023-05,1.2736943287407883,,RAKUTEN_COMMON_CONTRACT_REPLAY,118
-13841,6050,,,21,-7791,2023-06,0.43710714543746837,,RAKUTEN_COMMON_CONTRACT_REPLAY,82
-18147,24050,,,19,5903,2023-07,1.3252879263790158,,RAKUTEN_COMMON_CONTRACT_REPLAY,108
-16863,11294,,,19,-5569,2023-08,0.6697503409832177,,RAKUTEN_COMMON_CONTRACT_REPLAY,111
-12054,7782,,,11,-4272,2023-09,0.6455948232951717,,RAKUTEN_COMMON_CONTRACT_REPLAY,80
-10076,12434,,,14,2358,2023-10,1.2340214370782057,,RAKUTEN_COMMON_CONTRACT_REPLAY,87
-8147,17000,,,16,8853,2023-11,2.086657665398306,,RAKUTEN_COMMON_CONTRACT_REPLAY,120
-14601,30232,,,19,15631,2023-12,2.070543113485378,,RAKUTEN_COMMON_CONTRACT_REPLAY,91
-15186,13826,,,7,-1360,2024-01,0.9104438298432767,,RAKUTEN_COMMON_CONTRACT_REPLAY,90
-8272,10570,,,14,2298,2024-02,1.2778046421663443,,RAKUTEN_COMMON_CONTRACT_REPLAY,90
