absolute_net_jpy,gross_loss_jpy,gross_profit_jpy,modified_trades,period,profit_factor,trades
18847,-33019,51866,33,2020Q1,1.5707925739725612,301
-2093,-24579,22486,26,2020Q2,0.9148460067537328,288
-968,-26232,25264,37,2020Q3,0.963098505641964,348
2100,-22515,24615,32,2020Q4,1.0932711525649568,318
2938,-19442,22380,23,2021Q1,1.1511161403147825,287
-6320,-24470,18150,36,2021Q2,0.741724560686555,306
4455,-22399,26854,39,2021Q3,1.1988928077146301,356
-2263,-26456,24193,29,2021Q4,0.9144617478076806,285
10356,-21126,31482,34,2022Q1,1.4902016472593014,294
16669,-35638,52307,36,2022Q2,1.4677310735731524,255
-7905,-55122,47217,51,2022Q3,0.8565908348753674,276
-13117,-79243,66126,53,2022Q4,0.8344711835745744,311
-9062,-62140,53078,55,2023Q1,0.8541680077244931,297
-1916,-41589,39673,52,2023Q2,0.9539301257544062,304
-3938,-47064,43126,49,2023Q3,0.9163267040625531,299
26842,-32824,59666,49,2023Q4,1.8177553009992689,298
6307,-32000,38307,34,2024Q1,1.19709375,271
10741,-33478,44219,34,2024Q2,1.3208375649680386,253
3952,-55068,59020,68,2024Q3,1.0717658168083097,292
29171,-46757,75928,45,2024Q4,1.6238851936608423,329
-16129,-49181,33052,57,2025Q1,0.6720481486753014,284
16738,-58272,75010,56,2025Q2,1.2872391543108181,325
