end_period,net_jpy,start_period,window_months
2020-03,18847,2020-01,3
2020-04,15250,2020-02,3
2020-05,49,2020-03,3
2020-06,-2093,2020-04,3
2020-07,4430,2020-05,3
2020-08,6705,2020-06,3
2020-09,-968,2020-07,3
2020-10,-2316,2020-08,3
2020-11,930,2020-09,3
2020-12,2100,2020-10,3
2021-01,1602,2020-11,3
2021-02,47,2020-12,3
2021-03,2938,2021-01,3
2021-04,2116,2021-02,3
2021-05,-3900,2021-03,3
2021-06,-6320,2021-04,3
2021-07,-2142,2021-05,3
2021-08,107,2021-06,3
2021-09,4455,2021-07,3
2021-10,1591,2021-08,3
2021-11,3941,2021-09,3
2021-12,-2263,2021-10,3
2022-01,-2412,2021-11,3
2022-02,-3527,2021-12,3
2022-03,10356,2022-01,3
2022-04,16995,2022-02,3
2022-05,14346,2022-03,3
2022-06,16669,2022-04,3
2022-07,9429,2022-05,3
2022-08,11912,2022-06,3
2022-09,-7905,2022-07,3
2022-10,-19199,2022-08,3
2022-11,-17979,2022-09,3
2022-12,-13117,2022-10,3
2023-01,-8532,2022-11,3
2023-02,-7397,2022-12,3
2023-03,-9062,2023-01,3
2023-04,-752,2023-02,3
2023-05,1193,2023-03,3
2023-06,-1916,2023-04,3
2023-07,2383,2023-05,3
2023-08,-7457,2023-06,3
2023-09,-3938,2023-07,3
2023-10,-7483,2023-08,3
2023-11,6939,2023-09,3
2023-12,26842,2023-10,3
2024-01,23124,2023-11,3
2024-02,16569,2023-12,3
2024-03,6307,2024-01,3
2024-04,11591,2024-02,3
2024-05,14569,2024-03,3
2024-06,10741,2024-04,3
2024-07,15626,2024-05,3
2024-08,16039,2024-06,3
2024-09,3952,2024-07,3
2024-10,6192,2024-08,3
2024-11,12203,2024-09,3
2024-12,29171,2024-10,3
2025-01,7749,2024-11,3
2025-02,-1038,2024-12,3
2025-03,-16129,2025-01,3
2025-04,-11349,2025-02,3
2025-05,6312,2025-03,3
2025-06,16738,2025-04,3
2020-06,16754,2020-01,6
2020-07,19680,2020-02,6
2020-08,6754,2020-03,6
2020-09,-3061,2020-04,6
2020-10,2114,2020-05,6
2020-11,7635,2020-06,6
2020-12,1132,2020-07,6
2021-01,-714,2020-08,6
2021-02,977,2020-09,6
2021-03,5038,2020-10,6
2021-04,3718,2020-11,6
2021-05,-3853,2020-12,6
2021-06,-3382,2021-01,6
2021-07,-26,2021-02,6
2021-08,-3793,2021-03,6
2021-09,-1865,2021-04,6
2021-10,-551,2021-05,6
2021-11,4048,2021-06,6
2021-12,2192,2021-07,6
2022-01,-821,2021-08,6
2022-02,414,2021-09,6
2022-03,8093,2021-10,6
2022-04,14583,2021-11,6
2022-05,10819,2021-12,6
2022-06,27025,2022-01,6
2022-07,26424,2022-02,6
2022-08,26258,2022-03,6
2022-09,8764,2022-04,6
2022-10,-9770,2022-05,6
2022-11,-6067,2022-06,6
2022-12,-21022,2022-07,6
2023-01,-27731,2022-08,6
2023-02,-25376,2022-09,6
2023-03,-22179,2022-10,6
2023-04,-9284,2022-11,6
2023-05,-6204,2022-12,6
2023-06,-10978,2023-01,6
2023-07,1631,2023-02,6
2023-08,-6264,2023-03,6
2023-09,-5854,2023-04,6
2023-10,-5100,2023-05,6
2023-11,-518,2023-06,6
2023-12,22904,2023-07,6
2024-01,15641,2023-08,6
2024-02,23508,2023-09,6
2024-03,33149,2023-10,6
2024-04,34715,2023-11,6
2024-05,31138,2023-12,6
2024-06,17048,2024-01,6
2024-07,27217,2024-02,6
2024-08,30608,2024-03,6
2024-09,14693,2024-04,6
2024-10,21818,2024-05,6
2024-11,28242,2024-06,6
2024-12,33123,2024-07,6
2025-01,13941,2024-08,6
2025-02,11165,2024-09,6
2025-03,13042,2024-10,6
2025-04,-3600,2024-11,6
2025-05,5274,2024-12,6
2025-06,609,2025-01,6
2020-12,17886,2020-01,12
2021-01,18966,2020-02,12
2021-02,7731,2020-03,12
2021-03,1977,2020-04,12
2021-04,5832,2020-05,12
2021-05,3782,2020-06,12
2021-06,-2250,2020-07,12
2021-07,-740,2020-08,12
2021-08,-2816,2020-09,12
2021-09,3173,2020-10,12
2021-10,3167,2020-11,12
2021-11,195,2020-12,12
2021-12,-1190,2021-01,12
2022-01,-847,2021-02,12
2022-02,-3379,2021-03,12
2022-03,6228,2021-04,12
2022-04,14032,2021-05,12
2022-05,14867,2021-06,12
2022-06,29217,2021-07,12
2022-07,25603,2021-08,12
2022-08,26672,2021-09,12
2022-09,16857,2021-10,12
2022-10,4813,2021-11,12
2022-11,4752,2021-12,12
2022-12,6003,2022-01,12
2023-01,-1307,2022-02,12
2023-02,882,2022-03,12
2023-03,-13415,2022-04,12
2023-04,-19054,2022-05,12
2023-05,-12271,2022-06,12
2023-06,-32000,2022-07,12
2023-07,-26100,2022-08,12
2023-08,-31640,2022-09,12
2023-09,-28033,2022-10,12
2023-10,-14384,2022-11,12
2023-11,-6722,2022-12,12
2023-12,11926,2023-01,12
2024-01,17272,2023-02,12
2024-02,17244,2023-03,12
2024-03,27295,2023-04,12
2024-04,29615,2023-05,12
2024-05,30620,2023-06,12
2024-06,39952,2023-07,12
2024-07,42858,2023-08,12
2024-08,54116,2023-09,12
2024-09,47842,2023-10,12
2024-10,56533,2023-11,12
2024-11,59380,2023-12,12
2024-12,50171,2024-01,12
2025-01,41158,2024-02,12
2025-02,41773,2024-03,12
2025-03,27735,2024-04,12
2025-04,18218,2024-05,12
2025-05,33516,2024-06,12
2025-06,33732,2024-07,12
