portfolio_id,period,trades,net_jpy,gross_profit_jpy,gross_loss_jpy,profit_factor,win_rate,average_trade_jpy,median_trade_jpy,realized_drawdown_jpy,minimum_realized_equity_jpy,maximum_consecutive_losses,longest_realized_underwater_hours,top_1_winner_removal_net_jpy,top_3_winner_removal_net_jpy,top_5_winner_removal_net_jpy,modified_trades
P0_B02_BASELINE_F05_BASELINE,2020,930,21066.000000000044,114328.00000000003,-93261.99999999999,1.2258797795457963,0.4752688172043011,22.651612903225853,-8.500000000005059,7577.999999999884,97430.00000000001,14,1962.75064,19019.000000000047,15493.000000000051,12357.000000000055,0
P0_B02_BASELINE_F05_BASELINE,2021,963,1199.0000000004648,90882.00000000012,-89682.99999999965,1.0133693119097318,0.5046728971962616,1.2450674974044287,1.9999999999953388,8894.000000000087,96486.99999999997,12,6294.999443333333,16.00000000045793,-1720.9999999995512,-3244.9999999995516,0
P0_B02_BASELINE_F05_BASELINE,2022,906,-739.9999999999891,195817.99999999994,-196557.9999999999,0.9962352079284488,0.5,-0.8167770419425928,2.0000000000024443,44171.000000000175,95364.99999999988,15,2737.5000041666667,-3571.0000000000064,-8165.000000000001,-12009.000000000024,0
P1_B02_BASELINE_F05_C2,2020,930,19408.000000000044,111198.0,-91789.99999999997,1.2114391545920038,0.46774193548387094,20.868817204301124,-12.000000000000455,8162.000000000073,97430.00000000001,14,2039.750036111111,17361.000000000047,13835.000000000051,10699.000000000055,12
P1_B02_BASELINE_F05_C2,2021,963,1199.0000000004648,90882.00000000012,-89682.99999999965,1.0133693119097318,0.5046728971962616,1.2450674974044287,1.9999999999953388,8894.000000000087,96486.99999999997,12,6294.999443333333,16.00000000045793,-1720.9999999995512,-3244.9999999995516,0
P1_B02_BASELINE_F05_C2,2022,906,5393.000000000033,184013.99999999985,-178620.99999999983,1.0301924185846012,0.47240618101545256,5.952538631346615,-15.00000000001478,38817.00000000013,96566.00000000007,16,2737.5000041666667,2562.0000000000155,-2031.999999999979,-5876.000000000002,69
P2_B02_C3_F05_BASELINE,2020,930,16571.000000000025,99526.99999999997,-82955.99999999997,1.1997564974203192,0.4021505376344086,17.8182795698925,-15.000000000000568,6911.999999999913,97702.00000000004,15,3382.499495277778,14524.00000000003,10998.000000000033,7862.000000000036,151
P2_B02_C3_F05_BASELINE,2021,963,1588.0000000005216,77055.00000000012,-75466.99999999959,1.0210423098837973,0.4205607476635514,1.6490134994813308,-10.99999999999568,6993.999999999971,98584.0000000001,15,5284.999756944444,405.0000000005148,-1331.9999999994943,-2855.999999999495,159
P2_B02_C3_F05_BASELINE,2022,906,-5827.999999999916,165442.99999999988,-171270.99999999977,0.965972055981457,0.4205298013245033,-6.432671081677612,-22.999999999996135,39335.00000000006,92619.00000000023,15,2738.249943888889,-8658.999999999935,-12509.999999999933,-16200.999999999905,148
P3_B02_C3_F05_C2,2020,930,14913.000000000025,96396.99999999997,-81483.99999999994,1.1830175249128667,0.3946236559139785,16.03548387096777,-15.999999999991132,7103.000000000175,97702.00000000004,15,3733.5000194444447,12866.00000000003,9340.000000000033,6204.000000000036,163
P3_B02_C3_F05_C2,2021,963,1588.0000000005216,77055.00000000012,-75466.99999999959,1.0210423098837973,0.4205607476635514,1.6490134994813308,-10.99999999999568,6993.999999999971,98584.0000000001,15,5284.999756944444,405.0000000005148,-1331.9999999994943,-2855.999999999495,159
P3_B02_C3_F05_C2,2022,906,305.0000000001055,153638.99999999983,-153333.9999999997,1.0019891217864278,0.39293598233995586,0.3366445916115955,-24.499999999989086,33980.999999999985,97602.00000000009,18,2737.2499527777777,-2525.999999999912,-6376.999999999911,-10067.999999999884,217
P4_B02_C3_F05_C2_SP39,2020,1270,17403.000000000022,123388.9999999999,-105985.9999999999,1.1642009321985924,0.4149606299212598,13.70314960629923,-13.999999999995794,8728.000000000131,97789.00000000004,20,3387.5000983333334,15356.000000000025,11830.00000000003,8694.000000000033,163
P4_B02_C3_F05_C2_SP39,2021,1242,-4278.999999999371,89682.00000000015,-93960.99999999953,0.9544598290780281,0.41626409017713367,-3.4452495974230035,-13.999999999995794,10541.999999999956,93809.0000000002,12,7128.001085,-5461.999999999378,-7198.999999999387,-8722.999999999387,159
P4_B02_C3_F05_C2_SP39,2022,1160,323.00000000008004,192680.99999999974,-192357.99999999965,1.0016791607315532,0.4060344827586207,0.27844827586213794,-25.99999999999625,37382.00000000006,95920.00000000029,18,2738.249943888889,-2507.9999999999372,-6358.999999999936,-10118.999999999927,217
