trade_key,fold,side,signal_utc,entry_utc,baseline_exit_utc,breakout_level,first_m5_completion_utc,reclaim_m1_close_utc,failure_m5_completion_utc,candidate_exit_utc,max_executable_profit_through_trigger_pips,baseline_pips,candidate_pips,delta_pips
F05|2023-01-11T02:45:00Z|1,2023H1,1,2023-01-11T02:45:00Z,2023-01-11T03:00:00Z,2023-01-11T11:00:00Z,132.522000,2023-01-11T03:05:00Z,2023-01-11T03:07:00Z,2023-01-11T03:10:00Z,2023-01-11T03:10:00Z,-0.200000,-6.000000,-3.900000,2.100000
F05|2023-04-24T11:15:00Z|1,2023H1,1,2023-04-24T11:15:00Z,2023-04-24T11:30:00Z,2023-04-24T19:30:00Z,134.674000,2023-04-24T11:35:00Z,2023-04-24T12:11:00Z,2023-04-24T12:15:00Z,2023-04-24T12:15:00Z,-0.200000,-36.700000,-1.800000,34.900000
F05|2023-05-11T00:15:00Z|-1,2023H1,-1,2023-05-11T00:15:00Z,2023-05-11T00:30:00Z,2023-05-11T08:30:00Z,134.004000,2023-05-11T00:35:00Z,2023-05-11T00:37:00Z,2023-05-11T00:40:00Z,2023-05-11T00:40:00Z,-0.300000,-77.300000,-11.100000,66.200000
F05|2023-05-26T13:45:00Z|1,2023H1,1,2023-05-26T13:45:00Z,2023-05-26T14:00:00Z,2023-05-28T22:00:00Z,140.314000,2023-05-26T14:05:00Z,2023-05-26T14:44:00Z,2023-05-26T14:45:00Z,2023-05-26T14:45:00Z,-0.400000,26.900000,-5.500000,-32.400000
F05|2023-06-08T15:45:00Z|-1,2023H1,-1,2023-06-08T15:45:00Z,2023-06-08T16:00:00Z,2023-06-09T00:00:00Z,138.872000,2023-06-08T16:05:00Z,2023-06-08T16:35:00Z,2023-06-08T16:40:00Z,2023-06-08T16:40:00Z,-0.200000,-5.000000,-6.500000,-1.500000
F05|2023-09-21T15:00:00Z|-1,2023H2,-1,2023-09-21T15:00:00Z,2023-09-21T15:15:00Z,2023-09-21T23:15:00Z,147.366000,2023-09-21T15:20:00Z,2023-09-21T15:26:00Z,2023-09-21T15:30:00Z,2023-09-21T15:30:00Z,-0.500000,-24.100000,-12.300000,11.800000
F05|2023-09-25T13:30:00Z|1,2023H2,1,2023-09-25T13:30:00Z,2023-09-25T13:45:00Z,2023-09-25T21:45:00Z,148.790000,2023-09-25T13:50:00Z,2023-09-25T13:53:00Z,2023-09-25T13:55:00Z,2023-09-25T13:55:00Z,-0.500000,2.200000,-2.000000,-4.200000
F05|2023-11-14T15:00:00Z|-1,2023H2,-1,2023-11-14T15:00:00Z,2023-11-14T15:15:00Z,2023-11-14T23:15:00Z,150.745000,2023-11-14T15:20:00Z,2023-11-14T15:27:00Z,2023-11-14T15:30:00Z,2023-11-14T15:30:00Z,-0.500000,28.400000,-8.200000,-36.600000
F05|2023-12-12T11:00:00Z|-1,2023H2,-1,2023-12-12T11:00:00Z,2023-12-12T11:15:00Z,2023-12-12T19:15:00Z,145.224000,2023-12-12T11:20:00Z,2023-12-12T11:29:00Z,2023-12-12T11:30:00Z,2023-12-12T11:30:00Z,-0.500000,-47.400000,-4.300000,43.100000
F05|2024-01-16T05:30:00Z|1,2024H1,1,2024-01-16T05:30:00Z,2024-01-16T05:45:00Z,2024-01-16T13:45:00Z,146.229000,2024-01-16T05:50:00Z,2024-01-16T07:22:00Z,2024-01-16T07:25:00Z,2024-01-16T07:25:00Z,-0.400000,7.400000,-4.300000,-11.700000
F05|2024-02-13T17:45:00Z|1,2024H1,1,2024-02-13T17:45:00Z,2024-02-13T18:00:00Z,2024-02-14T02:00:00Z,150.778000,2024-02-13T18:05:00Z,2024-02-13T18:19:00Z,2024-02-13T18:20:00Z,2024-02-13T18:20:00Z,-0.300000,-24.400000,-0.900000,23.500000
F05|2024-03-20T12:30:00Z|1,2024H1,1,2024-03-20T12:30:00Z,2024-03-20T12:45:00Z,2024-03-20T20:45:00Z,151.764000,2024-03-20T12:50:00Z,2024-03-20T13:01:00Z,2024-03-20T13:05:00Z,2024-03-20T13:05:00Z,-0.200000,-49.300000,-3.900000,45.400000
F05|2024-03-26T15:45:00Z|1,2024H1,1,2024-03-26T15:45:00Z,2024-03-26T16:00:00Z,2024-03-27T00:00:00Z,151.544000,2024-03-26T16:05:00Z,2024-03-26T16:09:00Z,2024-03-26T16:10:00Z,2024-03-26T16:10:00Z,-0.200000,-6.400000,-5.300000,1.100000
F05|2024-04-12T13:00:00Z|-1,2024H1,-1,2024-04-12T13:00:00Z,2024-04-12T13:15:00Z,2024-04-15T00:15:00Z,152.792000,2024-04-12T13:20:00Z,2024-04-12T14:08:00Z,2024-04-12T14:10:00Z,2024-04-12T14:10:00Z,-0.500000,-56.900000,-4.500000,52.400000
F05|2024-12-23T13:30:00Z|1,2024H2,1,2024-12-23T13:30:00Z,2024-12-23T13:45:00Z,2024-12-23T21:45:00Z,157.220000,2024-12-23T13:50:00Z,2024-12-23T13:57:00Z,2024-12-23T14:00:00Z,2024-12-23T14:00:00Z,0.000000,-8.600000,-2.100000,6.500000
