max_time,max_mfe,total,min_fold,positive_folds,stopped,winner_stopped,winner_damage,loser_benefit,2023H1,2023H2,2024H1,2024H2
55,0.0,213.8,6.5,4,13,3,-73.2,287.0,70.8,14.1,122.4,6.5
60,0.0,213.8,6.5,4,13,3,-73.2,287.0,70.8,14.1,122.4,6.5
90,0.0,213.8,6.5,4,13,3,-73.2,287.0,70.8,14.1,122.4,6.5
120,0.0,202.1,6.5,4,14,4,-84.9,287.0,70.8,14.1,110.7,6.5
9999,0.0,202.1,6.5,4,14,4,-84.9,287.0,70.8,14.1,110.7,6.5
45,0.0,161.4,6.5,4,12,3,-73.2,234.6,70.8,14.1,70.0,6.5
20,0.0,158.9,6.5,4,10,2,-40.8,199.7,68.3,14.1,70.0,6.5
30,0.0,158.9,6.5,4,10,2,-40.8,199.7,68.3,14.1,70.0,6.5
15,0.0,90.0,1.1,4,8,2,-40.8,130.8,68.3,14.1,1.1,6.5
55,-0.2,207.3,0.0,3,12,3,-73.2,280.5,70.8,14.1,122.4,0.0
60,-0.2,207.3,0.0,3,12,3,-73.2,280.5,70.8,14.1,122.4,0.0
90,-0.2,207.3,0.0,3,12,3,-73.2,280.5,70.8,14.1,122.4,0.0
55,-0.5,66.5,0.0,2,5,2,-40.8,107.3,0.0,14.1,52.4,0.0
60,-0.5,66.5,0.0,2,5,2,-40.8,107.3,0.0,14.1,52.4,0.0
90,-0.5,66.5,0.0,2,5,2,-40.8,107.3,0.0,14.1,52.4,0.0
