candidate_id,stage,fold_pass_count,all_four_folds_pass,pooled_default_delta_pips,pooled_severe_delta_pips,minimum_fold_default_delta_pips,minimum_fold_severe_delta_pips,minimum_top10_retention,minimum_top5_retention,passing_folds,pooled_rank_within_stage
ABC_A_F05_ABORT_Q2,A,0,False,-2174.1000000000186,-1970.00000000004,-1412.4999999999966,-1252.5999999999813,0.6688705234159777,0.6213784416051825,,5
ABC_A_F05_ABORT_Q3,A,0,False,-2767.900000000021,-2509.6000000000195,-2479.700000000005,-2293.199999999956,0.3519999999999988,0.3307899946014023,,6
ABC_A_F05_DELAY_Q2,A,0,False,-3193.800000000116,-1767.6000000005365,-2018.999999999992,-1556.0999999998558,0.6005730027548213,0.5714954111930898,,7
ABC_A_F05_DELAY_Q3,A,0,False,-3369.100000000216,-968.900000000923,-2855.399999999995,-2039.9999999998383,0.3382699724517912,0.3407594025553354,,8
ABC_A_B02_ABORT_Q2,A,0,False,-1247.09999999999,-1204.3000000000034,-1150.4999999999973,-1140.7000000000126,0.8156756756756742,0.7475850482990314,,1
ABC_A_B02_ABORT_Q3,A,0,False,-1326.8999999999678,-1212.599999999975,-1127.7999999999856,-1105.5999999999983,0.758882882882881,0.6530269394612073,,2
ABC_A_B02_DELAY_Q2,A,0,False,-1638.1000000000372,-1229.8000000001307,-1236.8999999999933,-1120.2999999999547,0.796540540540541,0.7186656266874667,,4
ABC_A_B02_DELAY_Q3,A,0,False,-1619.2000000000548,-955.9000000002412,-1158.5999999999974,-988.1999999999664,0.7510990990990998,0.6430071398572036,,3
ABC_B_F05_Q2,B,0,False,-1150.500000000024,-987.5000000000084,-1118.9000000000124,-984.7999999999416,0.6333884297520662,0.6050026992981825,,3
ABC_B_F05_Q3,B,0,False,-2021.800000000036,-1816.700000000037,-1371.000000000014,-1204.2999999999893,0.6333884297520662,0.6050026992981825,,4
ABC_B_B02_Q2,B,0,False,-875.0999999999925,-849.1999999999679,-1084.7999999999931,-1068.99999999998,0.8628259908648903,0.9117509447543638,,1
ABC_B_B02_Q3,B,1,False,-1079.0999999999888,-1042.7999999999772,-1230.099999999993,-1212.2999999999793,0.8628259908648903,0.9117509447543638,2023H1,2
ABC_C_M5_Q2_R1,C,0,False,-5338.300000000022,-4966.800000000108,-3035.1000000000167,-2760.9000000000724,0.1435812672176334,0.0911283066402749,,8
ABC_C_M5_Q2_R2,C,0,False,-3785.80000000001,-3449.5000000000928,-2163.1000000000254,-1901.7000000000337,0.2959279279279251,0.2187556248874995,,7
ABC_C_M5_Q3_R1,C,0,False,-2200.600000000024,-1954.4000000001745,-920.9999999999897,-831.2000000000467,0.6637395019890957,0.5840883182336317,,4
ABC_C_M5_Q3_R2,C,0,False,-604.1999999999847,-364.8000000000792,-855.6999999999978,-770.3000000000429,0.7538953168044082,0.6956260874782498,,2
ABC_C_M15_Q2_R1,C,0,False,-2597.999999999996,-2277.8000000001302,-1842.1000000000247,-1673.5000000001123,0.3690450450450431,0.3063883390318503,,6
ABC_C_M15_Q2_R2,C,0,False,-2559.4999999999936,-2310.3000000001484,-1257.1000000000304,-1169.6000000001304,0.5455135135135121,0.4094918101637945,,5
ABC_C_M15_Q3_R1,C,0,False,-1646.8000000000102,-1416.6000000001618,-1298.699999999994,-1160.600000000096,0.6907768595041316,0.6156476870462577,,3
ABC_C_M15_Q3_R2,C,0,False,-415.3999999999999,-167.80000000002394,-861.0000000000065,-708.5000000000548,0.8102038567493116,0.6900485873672848,,1
