cell,fold,path_class,trades,triggered,trigger_rate,baseline_pips,candidate_pips,delta_pips,delta_pips_stress,spread_p95_2024
P3|F05|5|M5,2023H1,P1,122,20,0.16393442622950818,-4790.699999999953,-4457.199999999952,333.5000000000008,333.5000000000008,0.016
P3|F05|5|M5,2023H1,P2,71,20,0.28169014084507044,-3310.9999999999727,-2457.999999999958,853.0000000000143,853.0000000000143,0.016
P3|F05|5|M5,2023H1,P3,4,4,1.0,-244.50000000000216,-51.59999999999911,192.90000000000305,192.90000000000305,0.016
P3|F05|5|M5,2023H1,WINNER,170,22,0.12941176470588237,7179.100000000086,6101.000000000087,-1078.0999999999992,-1078.0999999999992,0.016
P3|F05|5|M5,2023H2,P1,111,12,0.10810810810810811,-3666.69999999995,-3513.4999999999536,153.19999999999538,153.19999999999538,0.016
P3|F05|5|M5,2023H2,P2,68,12,0.17647058823529413,-1966.8999999999642,-1702.99999999996,263.90000000000384,263.90000000000384,0.016
P3|F05|5|M5,2023H2,P3,5,4,0.8,-184.3999999999994,-80.50000000000068,103.89999999999873,103.89999999999873,0.016
P3|F05|5|M5,2023H2,WINNER,179,20,0.11173184357541899,7303.100000000074,6512.400000000065,-790.7000000000096,-790.7000000000096,0.016
P3|F05|5|M5,2024H1,P1,69,4,0.057971014492753624,-2386.5,-2360.500000000004,25.999999999995794,23.799999999993815,0.016
P3|F05|5|M5,2024H1,P2,78,13,0.16666666666666666,-2205.8,-1840.4999999999995,365.300000000001,358.24999999998863,0.016
P3|F05|5|M5,2024H1,P3,6,6,1.0,-142.0,-34.10000000000082,107.8999999999992,104.79999999999292,0.016
P3|F05|5|M5,2024H1,WINNER,178,16,0.0898876404494382,6058.6,5327.5000000000055,-731.099999999995,-739.700000000002,0.016
P3|F05|5|M5,2024H2,P1,132,14,0.10606060606060606,-5726.099999999999,-5076.899999999994,649.2000000000055,642.1999999999864,0.016
P3|F05|5|M5,2024H2,P2,53,14,0.2641509433962264,-2531.7000000000003,-2130.0000000000005,401.7,394.9499999999834,0.016
P3|F05|5|M5,2024H2,P3,7,5,0.7142857142857143,-362.40000000000003,-106.19999999999595,256.2000000000041,253.95000000000041,0.016
P3|F05|5|M5,2024H2,WINNER,200,21,0.105,10868.4,9490.199999999995,-1378.2000000000048,-1387.5500000000252,0.016
P3|F05|5|M5,POOLED,ALL,1453,207,0.14246386785960083,3890.5000000003197,3619.100000000335,-271.39999999998696,-317.70000000007445,0.016
P3|F05|5|M5,POOLED,P1,434,50,0.1152073732718894,-16569.9999999999,-15408.099999999904,1161.8999999999974,1152.6999999999762,0.016
P3|F05|5|M5,POOLED,P2,270,59,0.21851851851851853,-10015.399999999938,-8131.499999999918,1883.900000000019,1870.09999999999,0.016
P3|F05|5|M5,POOLED,P3,22,19,0.8636363636363636,-933.3000000000015,-272.39999999999657,660.9000000000051,655.5499999999952,0.016
P3|F05|5|M5,POOLED,WINNER,727,79,0.10866574965612105,31409.200000000164,27431.10000000015,-3978.1000000000085,-3996.0500000000366,0.016
P2|B02|15|M15,2023H1,P2,19,9,0.47368421052631576,-1781.5999999999945,-1204.299999999998,577.2999999999968,577.2999999999968,0.016
P2|B02|15|M15,2023H1,WINNER,40,17,0.425,1591.5000000000164,780.2000000000191,-811.2999999999971,-811.2999999999971,0.016
P2|B02|15|M15,2023H2,P2,13,5,0.38461538461538464,-726.7999999999887,-500.19999999999243,226.59999999999627,226.59999999999627,0.016
P2|B02|15|M15,2023H2,WINNER,43,14,0.32558139534883723,1615.300000000019,922.300000000024,-692.999999999995,-692.999999999995,0.016
P2|B02|15|M15,2024H1,P2,13,7,0.5384615384615384,-284.3,-171.80000000000118,112.49999999999885,108.69999999999207,0.016
P2|B02|15|M15,2024H1,WINNER,43,16,0.37209302325581395,1382.6000000000001,849.4999999999977,-533.1000000000022,-542.0500000000236,0.016
P2|B02|15|M15,2024H2,P2,7,5,0.7142857142857143,-672.3,-227.60000000000053,444.6999999999994,441.89999999999173,0.016
P2|B02|15|M15,2024H2,WINNER,37,21,0.5675675675675675,2016.9999999999998,740.8999999999895,-1276.1000000000101,-1286.3500000000238,0.016
P2|B02|15|M15,POOLED,ALL,215,94,0.4372093023255814,3141.400000000052,1189.0000000000387,-1952.4000000000133,-1978.2000000000626,0.016
P2|B02|15|M15,POOLED,P2,52,26,0.5,-3464.9999999999836,-2103.8999999999924,1361.0999999999913,1354.499999999977,0.016
P2|B02|15|M15,POOLED,WINNER,163,68,0.4171779141104294,6606.400000000035,3292.9000000000306,-3313.5000000000045,-3332.70000000004,0.016
