candidate_id,arm,fold,trades,changed,target_changed,baseline_default_net_pips,candidate_default_net_pips,candidate_default_pf,candidate_severe_net_pips,candidate_severe_pf,default_delta_pips,target_class_benefit_pips,winner_effect_pips,top_decile_winner_retention,B02_delta_pips,F05_delta_pips,long_delta_pips,short_delta_pips,minimum_quarter_delta_pips,positive_effect_months,negative_effect_months,ex_best_two_dates_delta_pips,core_pass,full_pass
O_P2_Q2_R1,P2,2023H1,488,162,73,-2605.2,-1831.2999999999995,0.8199417930112286,-2807.2999999999997,0.7390111933360605,773.9000000000003,1747.2000000000066,-2056.0000000000027,0.9006834326499,632.2999999999993,141.60000000000122,385.6000000000024,388.299999999998,0.0,4,2,170.19999999999834,False,False
O_P2_Q2_R1,P2,2023H2,472,187,88,1677.2999999999997,1127.7999999999963,1.164625512721327,183.79999999999654,1.0247779021016723,-549.5000000000035,1281.999999999997,-2413.6999999999925,0.9182554884337703,-89.60000000000049,-459.9000000000031,-106.70000000000258,-442.8000000000011,-684.2000000000003,2,4,-929.6000000000049,False,False
O_P2_Q2_R1,P2,2024H1,428,185,79,2279.7,1892.4999999999854,1.3988745099692244,1036.4999999999852,1.19878408960147,-387.20000000001477,1317.4999999999918,-2152.8000000000047,0.8434954954954933,8.599999999995745,-395.8000000000104,-753.4000000000096,366.19999999999504,-544.3999999999946,1,5,-669.0000000000216,False,False
O_P2_Q2_R1,P2,2024H2,494,138,42,3810.8999999999996,3196.899999999997,1.3442561164713993,2208.8999999999965,1.224870202585768,-614.0000000000032,1611.2000000000112,-2856.3000000000156,0.9083856749311295,-100.19999999999982,-513.8000000000035,-19.9000000000014,-594.1000000000018,-474.6000000000106,2,4,-999.8000000000004,False,False
O_P2_Q2_R2,P2,2023H1,488,148,72,-2605.2,-1724.200000000014,0.8341509397664519,-2700.200000000014,0.7538402632802447,880.9999999999864,1616.3000000000052,-1687.9000000000115,0.9610140389859604,501.899999999997,379.0999999999894,378.89999999998537,502.10000000000105,0.0,4,2,316.299999999983,False,False
O_P2_Q2_R2,P2,2023H2,472,168,88,1677.2999999999997,833.0999999999932,1.1109926857538728,-110.90000000000668,0.9862674443082325,-844.2000000000069,819.0,-1942.099999999996,0.9219095329306024,-195.1999999999985,-649.0000000000083,-142.4000000000078,-701.799999999999,-834.9000000000065,2,4,-1105.8000000000088,False,False
O_P2_Q2_R2,P2,2024H1,428,168,79,2279.7,1939.3999999999908,1.396637761780102,1083.399999999991,1.2022589377391937,-340.3000000000095,1285.899999999986,-1982.5999999999863,0.8789189189189183,44.39999999999256,-384.70000000000186,-868.1000000000074,527.7999999999981,-653.3000000000033,2,4,-614.7000000000119,False,False
O_P2_Q2_R2,P2,2024H2,494,122,41,3810.8999999999996,3508.3000000000275,1.3719887182967214,2520.3000000000275,1.2526692532106263,-302.5999999999726,1514.0000000000146,-2330.8999999999987,0.89798347107438,144.70000000000312,-447.29999999997574,120.00000000001869,-422.5999999999913,-298.3999999999897,3,3,-703.0999999999768,False,False
O_P2_Q3_R1,P2,2023H1,488,128,71,-2605.2,-2005.2999999999918,0.817168125455872,-2981.299999999992,0.7414557154131007,599.9000000000082,1386.9000000000049,-1363.8999999999946,0.9610140389859604,352.20000000000107,247.70000000000712,60.500000000000526,539.4000000000077,0.0,5,1,102.80000000000513,False,False
O_P2_Q3_R1,P2,2023H2,472,150,86,1677.2999999999997,884.399999999976,1.1114963250589345,-59.600000000024465,0.9929840257095404,-792.9000000000244,656.3000000000017,-1620.400000000015,0.9690290260792691,-193.40000000000987,-599.5000000000146,-292.4000000000198,-500.5000000000046,-587.9000000000241,2,4,-1080.1000000000242,False,False
O_P2_Q3_R1,P2,2024H1,428,144,78,2279.7,1488.4999999999877,1.2703758196646842,632.4999999999876,1.1056279225116876,-791.2000000000126,777.3000000000001,-1794.2000000000116,0.8736216216216207,-143.90000000000333,-647.3000000000092,-1233.9000000000167,442.7000000000042,-737.7000000000108,1,5,-1063.5000000000134,False,False
O_P2_Q3_R1,P2,2024H2,494,117,40,3810.8999999999996,3589.2000000000116,1.3688570077898605,2601.2000000000116,1.2535257940955755,-221.69999999998885,1369.200000000014,-2134.200000000008,0.9513608815426997,111.89999999999834,-333.5999999999872,-226.9999999999947,5.300000000005937,-424.399999999997,3,3,-627.5999999999888,False,False
O_P2_Q3_R2,P2,2023H1,488,110,67,-2605.2,-2160.499999999986,0.811464823638237,-3136.4999999999864,0.7389143699066878,444.7000000000138,1212.9000000000156,-1073.0999999999967,0.9586573746759582,341.0999999999989,103.60000000001492,87.0000000000085,357.7000000000053,0.0,4,2,-32.39999999999037,False,False
O_P2_Q3_R2,P2,2023H2,472,134,86,1677.2999999999997,1068.0999999999963,1.1309812866357636,124.0999999999965,1.0142750330706847,-609.2000000000036,403.20000000000107,-1095.2000000000041,1.0,-177.30000000000064,-431.9000000000029,-506.00000000001506,-103.19999999998844,-677.2000000000136,1,5,-763.7000000000108,False,False
O_P2_Q3_R2,P2,2024H1,428,123,76,2279.7,1810.4000000000106,1.3261511854147172,954.4000000000106,1.158836353953436,-469.2999999999899,734.2000000000003,-1370.099999999989,0.9023063063063055,-38.499999999997186,-430.79999999999274,-875.7999999999922,406.5000000000023,-752.299999999997,2,4,-731.899999999987,False,False
O_P2_Q3_R2,P2,2024H2,494,102,40,3810.8999999999996,3614.600000000015,1.3604399549275568,2626.600000000015,1.248688670491774,-196.29999999998486,1241.5000000000093,-1794.4000000000055,0.9495977961432506,225.60000000000625,-421.89999999999105,-189.79999999999302,-6.499999999991772,-328.5999999999978,2,4,-641.0999999999914,False,False
O_P1_Q2_R1,P1,2023H1,488,323,116,-2605.2,-2314.1999999999557,0.7470736745467111,-3290.1999999999557,0.6599592802736738,291.0000000000442,4255.300000000014,-3964.2999999999683,0.5782580884085808,647.1000000000133,-356.09999999996916,225.90000000003195,65.10000000001227,-553.6999999999744,3,3,-481.6999999999597,False,False
O_P1_Q2_R1,P1,2023H2,472,300,105,1677.2999999999997,1330.5000000000118,1.2383596983106129,386.50000000001216,1.064216525163243,-346.7999999999879,3706.9999999999845,-4053.799999999973,0.5006040960660076,143.30000000000527,-490.09999999999314,338.90000000000094,-685.6999999999888,-1040.19999999997,3,3,-1495.9999999999843,False,False
O_P1_Q2_R1,P1,2024H1,428,249,63,2279.7,821.800000000017,1.1647289929441982,-34.19999999998305,0.9936556227507173,-1457.8999999999828,1649.700000000016,-3107.5999999999995,0.529333333333334,-459.1000000000023,-998.7999999999806,-1463.5999999999867,5.700000000003766,-946.5999999999934,2,4,-1803.4999999999789,False,False
O_P1_Q2_R1,P1,2024H2,494,362,129,3810.8999999999996,1692.1999999999884,1.207784872298623,704.1999999999883,1.0821186183734857,-2118.7000000000116,3929.300000000004,-6048.000000000015,0.48361432506887164,-913.2999999999986,-1205.4000000000128,-342.2000000000192,-1776.4999999999923,-1133.3999999999812,1,5,-2692.7000000000044,False,False
O_P1_Q2_R2,P1,2023H1,488,312,113,-2605.2,-1662.2000000000407,0.822372779926902,-2638.2000000000407,0.7330999736964536,942.9999999999596,4004.7999999999793,-3061.80000000002,0.7584755748577587,742.3999999999885,200.59999999997095,393.7999999999955,549.199999999964,-236.60000000001438,3,3,174.99999999996294,False,False
O_P1_Q2_R2,P1,2023H2,472,291,105,1677.2999999999997,971.8999999999614,1.1535071786204976,27.89999999996121,1.0041080762718044,-705.4000000000387,2667.6999999999475,-3373.0999999999867,0.528186238396932,54.59999999999276,-760.0000000000316,-55.20000000001074,-650.2000000000281,-508.6000000000149,3,3,-1281.100000000033,False,False
O_P1_Q2_R2,P1,2024H1,428,237,63,2279.7,849.1999999999791,1.1561632247742653,-6.800000000020816,0.9988373087116319,-1430.5000000000207,1181.6000000000033,-2612.100000000024,0.7447207207207205,-475.3000000000091,-955.2000000000116,-1718.8000000000163,288.2999999999956,-921.8000000000089,1,5,-1695.2000000000203,False,False
O_P1_Q2_R2,P1,2024H2,494,344,126,3810.8999999999996,2551.499999999962,1.3004309532780665,1563.499999999962,1.174809928443645,-1259.4000000000378,3562.100000000013,-4821.500000000051,0.5928374655647377,-588.2999999999994,-671.1000000000388,-96.30000000002191,-1163.1000000000163,-641.2000000000127,1,5,-1900.900000000032,False,False
O_P1_Q3_R1,P1,2023H1,488,251,113,-2605.2,-1885.4999999999973,0.8076177454901642,-2861.4999999999973,0.724402623544482,719.7000000000028,3383.799999999993,-2664.09999999999,0.8456721543278449,531.7000000000021,188.0000000000005,128.5999999999911,591.1000000000115,-522.6000000000065,3,3,111.70000000000368,False,False
O_P1_Q3_R1,P1,2023H2,472,236,104,1677.2999999999997,1238.399999999981,1.1824315366144653,294.3999999999812,1.0403541957946076,-438.90000000001857,2004.3999999999676,-2443.299999999986,0.8164137321349645,17.00000000000486,-455.9000000000234,-98.6000000000183,-340.30000000000024,-287.9000000000116,3,3,-807.2000000000107,False,False
O_P1_Q3_R1,P1,2024H1,428,192,62,2279.7,1652.1999999999973,1.3230233831234843,796.1999999999972,1.1437158174040176,-627.500000000003,1313.4000000000021,-1940.900000000005,0.8358558558558556,-368.70000000000897,-258.79999999999393,-724.3000000000136,96.80000000001074,-383.7999999999988,2,4,-939.3000000000027,False,False
O_P1_Q3_R1,P1,2024H2,494,294,127,3810.8999999999996,2219.399999999995,1.2459823110854957,1231.3999999999953,1.1292170792364915,-1591.5000000000045,2738.700000000015,-4330.20000000002,0.8177630853994502,-1094.2999999999925,-497.2000000000123,-686.2999999999796,-905.200000000025,-1013.3999999999977,1,5,-2051.0000000000036,False,False
O_P1_Q3_R2,P1,2023H1,488,208,105,-2605.2,-2045.7000000000198,0.8073946446729171,-3021.70000000002,0.7303064922082781,559.4999999999802,2733.69999999998,-2174.199999999999,0.8941857724808933,656.4999999999942,-97.00000000001397,359.09999999998024,200.40000000000003,-288.60000000000605,4,2,-108.80000000001803,False,False
O_P1_Q3_R2,P1,2023H2,472,209,103,1677.2999999999997,2087.699999999996,1.3027099917351768,1143.6999999999962,1.1546000162210381,410.3999999999961,1833.4999999999882,-1423.0999999999917,0.9758950935612203,237.10000000000338,173.29999999999285,148.29999999999688,262.09999999999934,-167.80000000000905,5,1,37.7000000000009,False,False
O_P1_Q3_R2,P1,2024H1,428,146,61,2279.7,1810.9000000000117,1.3243480441323994,954.9000000000115,1.1588984108494904,-468.7999999999885,763.4000000000007,-1232.1999999999891,0.8713873873873869,-263.599999999999,-205.19999999998942,-579.1999999999836,110.39999999999522,-265.2999999999947,1,5,-698.2999999999852,False,False
O_P1_Q3_R2,P1,2024H2,494,260,123,3810.8999999999996,2347.999999999998,1.2436316472114135,1359.9999999999984,1.1337476889186102,-1462.900000000002,2077.7000000000035,-3540.600000000005,0.9049696969696972,-855.4000000000051,-607.4999999999967,-542.700000000019,-920.1999999999828,-791.4999999999952,0,6,-1945.7999999999975,False,False
