fold,strategy,common_m1_class,exact_tick_class,trades,m1_class_total,migration_rate
2024H1,B02,P1,P1,26,26,1.0
2024H1,B02,P2,P2,13,13,1.0
2024H1,B02,P3,P3,1,1,1.0
2024H1,B02,WINNER,WINNER,57,57,1.0
2024H1,F05,P1,P1,69,69,1.0
2024H1,F05,P2,P2,78,78,1.0
2024H1,F05,P3,P3,6,6,1.0
2024H1,F05,WINNER,WINNER,178,178,1.0
2024H2,B02,P1,P1,31,31,1.0
2024H2,B02,P2,P2,7,7,1.0
2024H2,B02,WINNER,WINNER,64,64,1.0
2024H2,F05,P1,P1,132,132,1.0
2024H2,F05,P2,P2,53,53,1.0
2024H2,F05,P3,P3,7,7,1.0
2024H2,F05,WINNER,WINNER,200,200,1.0
