fold,strategy,old_m15_class,common_m1_class,trades,old_class_total,migration_rate
2023H1,B02,P1,P1,29,29,1.0
2023H1,B02,P2,P1,8,17,0.47058823529411764
2023H1,B02,P2,P2,9,17,0.5294117647058824
2023H1,B02,P3,P1,1,14,0.07142857142857142
2023H1,B02,P3,P2,10,14,0.7142857142857143
2023H1,B02,P3,P3,3,14,0.21428571428571427
2023H1,B02,WINNER,WINNER,61,61,1.0
2023H1,F05,P1,P1,88,88,1.0
2023H1,F05,P2,P1,32,58,0.5517241379310345
2023H1,F05,P2,P2,26,58,0.4482758620689655
2023H1,F05,P3,P1,2,51,0.0392156862745098
2023H1,F05,P3,P2,45,51,0.8823529411764706
2023H1,F05,P3,P3,4,51,0.0784313725490196
2023H1,F05,WINNER,WINNER,170,170,1.0
2023H2,B02,P1,P1,26,26,1.0
2023H2,B02,P2,P1,11,19,0.5789473684210527
2023H2,B02,P2,P2,8,19,0.42105263157894735
2023H2,B02,P3,P1,1,7,0.14285714285714285
2023H2,B02,P3,P2,5,7,0.7142857142857143
2023H2,B02,P3,P3,1,7,0.14285714285714285
2023H2,B02,WINNER,WINNER,57,57,1.0
2023H2,F05,P1,P1,79,79,1.0
2023H2,F05,P2,P1,27,70,0.38571428571428573
2023H2,F05,P2,P2,43,70,0.6142857142857143
2023H2,F05,P3,P1,5,34,0.14705882352941177
2023H2,F05,P3,P2,24,34,0.7058823529411765
2023H2,F05,P3,P3,5,34,0.14705882352941177
2023H2,F05,WINNER,P2,1,180,0.005555555555555556
2023H2,F05,WINNER,WINNER,179,180,0.9944444444444445
2024H1,B02,P1,P1,16,16,1.0
2024H1,B02,P2,P1,10,18,0.5555555555555556
2024H1,B02,P2,P2,8,18,0.4444444444444444
2024H1,B02,P3,P2,5,6,0.8333333333333334
2024H1,B02,P3,P3,1,6,0.16666666666666666
2024H1,B02,WINNER,WINNER,57,57,1.0
2024H1,F05,P1,P1,44,44,1.0
2024H1,F05,P2,P1,20,66,0.30303030303030304
2024H1,F05,P2,P2,46,66,0.696969696969697
2024H1,F05,P3,P1,3,41,0.07317073170731707
2024H1,F05,P3,P2,32,41,0.7804878048780488
2024H1,F05,P3,P3,6,41,0.14634146341463414
2024H1,F05,WINNER,P1,2,180,0.011111111111111112
2024H1,F05,WINNER,WINNER,178,180,0.9888888888888889
2024H2,B02,P1,P1,22,22,1.0
2024H2,B02,P2,P1,7,9,0.7777777777777778
2024H2,B02,P2,P2,2,9,0.2222222222222222
2024H2,B02,P3,P1,2,7,0.2857142857142857
2024H2,B02,P3,P2,5,7,0.7142857142857143
2024H2,B02,WINNER,WINNER,64,64,1.0
2024H2,F05,P1,P1,108,108,1.0
2024H2,F05,P2,P1,15,34,0.4411764705882353
2024H2,F05,P2,P2,19,34,0.5588235294117647
2024H2,F05,P3,P1,9,50,0.18
2024H2,F05,P3,P2,34,50,0.68
2024H2,F05,P3,P3,7,50,0.14
2024H2,F05,WINNER,WINNER,200,200,1.0
