strategy,signal_utc,entry_utc,side,source_candidates,source_candidate_count
B02,2024-05-03T12:30:00,2024-05-03T12:45:00,-1,S2,1
B02,2024-06-05T07:15:00,2024-06-05T07:30:00,1,S2,1
F05,2024-01-04T05:30:00,2024-01-04T05:45:00,1,S3,1
F05,2024-01-05T13:30:00,2024-01-05T13:45:00,1,S3,1
F05,2024-01-05T15:00:00,2024-01-05T15:15:00,-1,S1;S2,2
F05,2024-01-09T16:00:00,2024-01-09T16:15:00,1,S3,1
F05,2024-01-11T13:30:00,2024-01-11T13:45:00,1,C;S2;S3,3
F05,2024-01-19T01:15:00,2024-01-19T01:30:00,1,C,1
F05,2024-01-23T06:45:00,2024-01-23T07:00:00,-1,S1,1
F05,2024-01-31T16:15:00,2024-01-31T16:30:00,1,S3,1
F05,2024-02-01T12:45:00,2024-02-01T13:00:00,-1,C,1
F05,2024-02-02T07:45:00,2024-02-02T08:00:00,1,S1;S3,2
F05,2024-02-02T08:45:00,2024-02-02T09:00:00,1,S1,1
F05,2024-02-05T08:30:00,2024-02-05T08:45:00,1,C,1
F05,2024-02-06T06:30:00,2024-02-06T06:45:00,-1,S3,1
F05,2024-02-13T01:45:00,2024-02-13T02:00:00,1,S3,1
F05,2024-02-13T13:00:00,2024-02-13T13:15:00,1,C,1
F05,2024-02-16T14:30:00,2024-02-16T14:45:00,1,C,1
F05,2024-02-22T06:15:00,2024-02-22T06:30:00,-1,C,1
F05,2024-02-22T07:00:00,2024-02-22T07:15:00,-1,C,1
F05,2024-02-23T12:45:00,2024-02-23T13:00:00,1,S1,1
F05,2024-03-05T02:15:00,2024-03-05T02:30:00,-1,C,1
F05,2024-03-06T13:45:00,2024-03-06T14:00:00,-1,S3,1
F05,2024-03-08T06:30:00,2024-03-08T06:45:00,1,S1,1
F05,2024-03-13T13:30:00,2024-03-13T13:45:00,-1,C,1
F05,2024-03-14T12:45:00,2024-03-14T13:00:00,-1,C;S3,2
F05,2024-03-19T15:45:00,2024-03-19T16:00:00,1,C,1
F05,2024-03-19T16:00:00,2024-03-19T16:15:00,1,C,1
F05,2024-03-21T14:30:00,2024-03-21T14:45:00,1,S1,1
F05,2024-03-27T15:00:00,2024-03-27T15:15:00,1,S3,1
F05,2024-03-28T07:15:00,2024-03-28T07:30:00,-1,C,1
F05,2024-04-04T06:30:00,2024-04-04T06:45:00,1,S3,1
F05,2024-04-10T14:30:00,2024-04-10T14:45:00,1,S1;S2;S3,3
F05,2024-04-11T13:15:00,2024-04-11T13:30:00,1,S3,1
F05,2024-04-12T13:45:00,2024-04-12T14:00:00,1,C,1
F05,2024-04-15T14:30:00,2024-04-15T14:45:00,1,C;S1;S2;S3,4
F05,2024-04-16T12:45:00,2024-04-16T13:00:00,1,S2,1
F05,2024-04-16T14:00:00,2024-04-16T14:15:00,1,S2,1
F05,2024-04-17T12:15:00,2024-04-17T12:30:00,1,C,1
F05,2024-04-17T13:00:00,2024-04-17T13:15:00,1,C,1
F05,2024-04-17T13:30:00,2024-04-17T13:45:00,1,C,1
F05,2024-04-17T14:15:00,2024-04-17T14:30:00,1,C,1
F05,2024-04-18T12:30:00,2024-04-18T12:45:00,1,C,1
F05,2024-04-19T13:00:00,2024-04-19T13:15:00,1,S1,1
F05,2024-04-19T14:30:00,2024-04-19T14:45:00,1,S2,1
F05,2024-04-22T15:00:00,2024-04-22T15:15:00,1,C,1
F05,2024-04-29T15:15:00,2024-04-29T15:30:00,1,S1,1
F05,2024-05-03T12:30:00,2024-05-03T12:45:00,-1,S2,1
F05,2024-05-03T12:45:00,2024-05-03T13:00:00,-1,S2,1
F05,2024-05-06T15:15:00,2024-05-06T15:30:00,1,S3,1
F05,2024-05-09T12:30:00,2024-05-09T12:45:00,1,S3,1
F05,2024-05-15T13:15:00,2024-05-15T13:30:00,1,S3,1
F05,2024-05-15T14:15:00,2024-05-15T14:30:00,1,S3,1
F05,2024-06-04T15:30:00,2024-06-04T15:45:00,1,C,1
F05,2024-06-05T07:15:00,2024-06-05T07:30:00,1,S2,1
