candidate_id,candidate_net_jpy,candidate_pf,net_delta_jpy,Q1_delta_jpy,Q2_delta_jpy,positive_effect_months,negative_effect_months,ex_best_two_entry_dates_delta_jpy,leave_one_month_out_min_delta_jpy,research_eligible,failed_gates
F_C5_A120_N1_B0,17230,1.816316861704648,-5567,-976,-4591,1,5,-11404.0,-9815.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A120_N1_B1,20465,1.9470152707080053,-2332,432,-2764,2,4,-8169.0,-6753.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A120_N2_B0,17444,1.7470343882488972,-5353,-1161,-4192,2,4,-11190.0,-9428.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A120_N2_B1,21905,1.859930122090056,-892,1544,-2436,2,4,-6729.0,-6025.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A120_N3_B0,16678,1.6915453829249076,-6119,-1927,-4192,2,4,-11956.0,-9428.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A120_N3_B1,21755,1.829109341057205,-1042,1325,-2367,2,4,-6879.0,-5956.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A240_N1_B0,14961,1.6650220029337246,-7836,-1379,-6457,1,5,-13673.0,-12117.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A240_N1_B1,17484,1.7768249877815792,-5313,796,-6109,2,4,-11150.0,-9872.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A240_N2_B0,21234,1.835293654852288,-1563,716,-2279,1,5,-7400.0,-6251.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A240_N2_B1,22453,1.8151980539520025,-344,2413,-2757,2,4,-6181.0,-5892.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A240_N3_B0,22725,1.849500953235393,-72,-346,274,3,3,-5909.0,-3937.0,False,"net_delta_positive,Q1_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A240_N3_B1,24444,1.8482787340366464,1647,1649,-2,3,3,-4190.0,-3376.0,False,"Q2_delta_nonnegative,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive"
F_C5_A480_N1_B0,16364,1.736321094312455,-6433,-924,-5509,2,4,-12270.0,-10906.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A480_N1_B1,18293,1.8433062880324544,-4504,734,-5238,2,4,-10341.0,-9100.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C5_A480_N2_B0,24603,1.9051210359796924,1806,2972,-1166,2,4,-4031.0,-3337.0,False,"Q2_delta_nonnegative,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive"
F_C5_A480_N2_B1,24914,1.8720946513581629,2117,3661,-1544,2,4,-3720.0,-3278.0,False,"Q2_delta_nonnegative,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive"
F_C5_A480_N3_B0,27038,1.9023494860499264,4241,2598,1643,3,3,-1596.0,-1109.0,False,"positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive"
F_C5_A480_N3_B1,27212,1.8598331648129425,4415,3476,939,3,3,-1422.0,-1376.0,False,"positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive"
F_C10_A120_N1_B0,12585,1.6435365105338515,-10212,-3348,-6864,1,5,-16049.0,-14543.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A120_N1_B1,17141,1.8545291390398324,-5656,-669,-4987,2,4,-11493.0,-10452.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A120_N2_B0,12410,1.5702862919902578,-10387,-3523,-6864,2,4,-16224.0,-14545.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A120_N2_B1,16940,1.7092911275802871,-5857,-818,-5039,2,4,-11694.0,-11073.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A120_N3_B0,11644,1.5168908421005904,-11153,-4289,-6864,2,4,-16990.0,-14545.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A120_N3_B1,16721,1.678364233843158,-6076,-1037,-5039,2,4,-11913.0,-11073.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A240_N1_B0,13833,1.645195895522388,-8964,-2511,-6453,1,5,-14801.0,-13508.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A240_N1_B1,16652,1.7763170163170163,-6145,-176,-5969,2,4,-11982.0,-11127.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A240_N2_B0,17745,1.7396832013338892,-5052,-1921,-3131,1,5,-10889.0,-9766.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A240_N2_B1,19355,1.7428516599501056,-3442,-35,-3407,1,5,-9279.0,-9205.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A240_N3_B0,17188,1.681279479963534,-5609,-2847,-2762,2,4,-11446.0,-9328.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A240_N3_B1,19474,1.7180148956566623,-3323,-680,-2643,3,3,-9160.0,-8372.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A480_N1_B0,15546,1.692811622621329,-7251,-1816,-5435,2,4,-13088.0,-11511.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A480_N1_B1,17562,1.7971856559237402,-5235,-29,-5206,2,4,-11072.0,-9747.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A480_N2_B0,22425,1.8263320804775591,-372,988,-1360,2,4,-6209.0,-5439.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A480_N2_B1,22954,1.80633716232831,157,1866,-1709,2,4,-5680.0,-5351.0,False,"Q2_delta_nonnegative,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive"
F_C10_A480_N3_B0,22399,1.7436093220901667,-398,903,-1301,2,4,-6235.0,-5126.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C10_A480_N3_B1,22803,1.7212487348178138,6,1953,-1947,2,4,-5831.0,-5335.0,False,"Q2_delta_nonnegative,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive"
F_C15_A120_N1_B0,10874,1.5657942660908477,-11923,-4664,-7259,1,5,-17760.0,-15661.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
