dimension,state,preferred_action,period_actions,min_supported_strategies,same_preferred_action,default_positive_all,severe_positive_all,advantage_positive_all,monthly_breadth_all,ex_best_two_positive_all,strategy_breadth_all,passed
direction_agreement,BOTH_DOWN,INCONSISTENT,"{""2023H1"": ""reversal"", ""2023H2"": ""continuation"", ""2024H1"": ""reversal"", ""2024H2"": ""continuation""}",0,False,False,False,False,False,False,False,False
direction_agreement,BOTH_UP,continuation,"{""2023H1"": ""continuation"", ""2023H2"": ""continuation"", ""2024H1"": ""continuation"", ""2024H2"": ""continuation""}",4,True,True,False,True,False,False,True,False
direction_agreement,DISAGREE_OR_ZERO,INCONSISTENT,"{""2023H1"": ""reversal"", ""2023H2"": ""continuation"", ""2024H1"": ""continuation"", ""2024H2"": ""continuation""}",0,False,False,False,False,False,False,False,False
path_efficiency_20d_bin,LT_0_25,INCONSISTENT,"{""2023H1"": ""reversal"", ""2023H2"": ""continuation"", ""2024H1"": ""continuation"", ""2024H2"": ""continuation""}",0,False,False,False,False,False,False,False,False
path_efficiency_5d_bin,GE_0_25,INCONSISTENT,"{""2023H1"": null, ""2023H2"": null, ""2024H1"": null, ""2024H2"": null}",0,False,False,False,False,False,False,False,False
path_efficiency_5d_bin,LT_0_25,INCONSISTENT,"{""2023H1"": ""reversal"", ""2023H2"": ""continuation"", ""2024H1"": ""continuation"", ""2024H2"": ""continuation""}",0,False,False,False,False,False,False,False,False
persistent_signal_relation,NONPERSISTENT,INCONSISTENT,"{""2023H1"": ""reversal"", ""2023H2"": ""continuation"", ""2024H1"": ""continuation"", ""2024H2"": ""continuation""}",0,False,False,False,False,False,False,False,False
persistent_signal_relation,PERSISTENT_ALIGNED,continuation,"{""2023H1"": ""continuation"", ""2023H2"": ""continuation"", ""2024H1"": ""continuation"", ""2024H2"": ""continuation""}",4,True,True,False,True,False,False,True,False
persistent_signal_relation,PERSISTENT_COUNTER,INCONSISTENT,"{""2023H1"": ""reversal"", ""2023H2"": ""reversal"", ""2024H1"": ""continuation"", ""2024H2"": ""reversal""}",0,False,False,False,False,False,False,False,False
range_position_20d_bin,LOWER_THIRD,INCONSISTENT,"{""2023H1"": ""reversal"", ""2023H2"": ""continuation"", ""2024H1"": ""continuation"", ""2024H2"": ""continuation""}",0,False,False,False,False,False,False,False,False
range_position_20d_bin,MIDDLE_THIRD,INCONSISTENT,"{""2023H1"": ""reversal"", ""2023H2"": ""reversal"", ""2024H1"": ""continuation"", ""2024H2"": ""reversal""}",0,False,False,False,False,False,False,False,False
range_position_20d_bin,UPPER_THIRD,continuation,"{""2023H1"": ""continuation"", ""2023H2"": ""continuation"", ""2024H1"": ""continuation"", ""2024H2"": ""continuation""}",5,True,True,True,True,False,False,True,False
volatility_ratio_bin,GT_1,INCONSISTENT,"{""2023H1"": ""reversal"", ""2023H2"": ""continuation"", ""2024H1"": ""continuation"", ""2024H2"": ""reversal""}",0,False,False,False,False,False,False,False,False
volatility_ratio_bin,LE_1,INCONSISTENT,"{""2023H1"": ""reversal"", ""2023H2"": ""continuation"", ""2024H1"": ""continuation"", ""2024H2"": ""continuation""}",0,False,False,False,False,False,False,False,False
