dimension,state,period,trades,default_net_pips,default_pf,severe_net_pips,severe_pf,positive_months,negative_months,ex_best_two_dates_default,top_two_positive_date_share,action_advantage_pips
range_position_20d_bin,UPPER_THIRD,2023H1,917,3862.1,1.269027,2028.1,1.133095,4,1,1726.2,0.170981,8641.2
range_position_20d_bin,UPPER_THIRD,2023H2,898,2430.3,1.222577,634.3,1.053834,4,1,-23.2,0.250485,5758.6
range_position_20d_bin,UPPER_THIRD,2024H1,1147,3611.616379,1.229468,1121.249138,1.065886,4,2,434.492365,0.228754,8566.6
range_position_20d_bin,UPPER_THIRD,2024H2,779,7345.706414,1.650692,5548.919242,1.458942,3,2,4178.266127,0.236735,15709.2
direction_agreement,BOTH_UP,2023H1,806,2311.5,1.169898,699.5,1.048559,3,3,-436.9,0.247003,5429.0
direction_agreement,BOTH_UP,2023H2,725,1085.7,1.126247,-364.3,0.9609,3,2,-725.3,0.251493,2896.4
direction_agreement,BOTH_UP,2024H1,1008,6815.241483,1.550586,4636.82445,1.345021,4,2,3638.117469,0.209028,14800.9
direction_agreement,BOTH_UP,2024H2,691,6660.934677,1.669779,5066.70403,1.477202,3,2,4701.758148,0.167652,14225.1
persistent_signal_relation,PERSISTENT_ALIGNED,2023H1,674,336.6,1.0244,-1011.4,0.930123,3,3,-1816.5,0.19938,1347.2
persistent_signal_relation,PERSISTENT_ALIGNED,2023H2,747,4010.2,1.362033,2516.2,1.213114,4,2,-544.6,0.359966,8767.4
persistent_signal_relation,PERSISTENT_ALIGNED,2024H1,827,3835.644517,1.348981,2059.63355,1.174168,4,2,658.520503,0.250273,8620.3
persistent_signal_relation,PERSISTENT_ALIGNED,2024H2,867,7872.037975,1.449943,5819.913924,1.316454,5,1,3832.566707,0.205495,16929.2
