rank,family,representative_candidate,LOFO_positive_net_folds,LOFO_positive_DD_folds,LOFO_net_improvement_jpy,pooled_net_improvement_jpy,pooled_realized_DD_reduction_jpy,pooled_M15_snapshot_DD_reduction_jpy,winner_damage_jpy,winner_retention,positive_net_folds,top20_winner_loss_jpy,simplicity,weakness
1,session_loss_cap,SESSION_LOSS_CAP_2,3,3,5585.0,5585.0,3717.0,3717.0,3032.0,0.9928912230519442,3,0.0,1,no_primary_weakness
2,B02_F05_exclusivity,B02_F05_EXCLUSIVE,2,4,-12422.0,-12422.0,10766.0,11837.0,133692.0,0.6865479525925231,2,10643.0,1,winner_damage_high
3,adaptive_position_sizing,HALF_SIZE_DD_1000,1,4,-34970.0,-27912.0,19379.5,21039.0,199621.0,0.5319719118905548,1,15382.5,2,winner_damage_high
4,same_direction_exposure_cap,SAME_DIRECTION_CAP_3,1,4,-50621.0,-11541.0,5658.0,6273.0,79093.0,0.8145598630763279,2,6569.0,1,winner_damage_high
5,concurrent_position_cap,MAX_CONCURRENT_1,1,4,-52713.0,-52713.0,15565.0,17438.0,280735.0,0.3417933718626543,1,22967.0,1,winner_damage_high
6,drawdown_aware_exposure_reduction,DRAWDOWN_BLOCK_500JPY,1,4,-53497.0,-53355.0,38302.0,40455.0,425639.0,0.0020538550812984305,1,41396.0,1,winner_damage_high
7,entry_cooldown,ENTRY_COOLDOWN_60M,1,3,-22483.0,-23377.0,232.0,2058.0,99749.0,0.766130147825985,1,6093.0,1,winner_damage_high
8,shock_exposure_cap,SHOCK_COOLDOWN_60M,1,3,-33118.0,-33118.0,3541.0,5283.0,183086.0,0.5707395988417758,1,27669.0,2,winner_damage_high
9,loss_cooldown,LOSS_COOLDOWN_60M,1,2,-2234.0,2016.0,3914.0,3914.0,12043.0,0.9717641817989988,2,2212.0,1,net_effect_not_fold_portable
10,strategy_priority_routing,F05_PRIORITY_SIMULTANEOUS,0,2,-13788.0,-13788.0,-3779.0,-2694.0,41457.0,0.9028006049025239,0,6747.0,2,net_effect_not_fold_portable
