family,entries,cells,default_4fold_cells,severe_4fold_cells,median_default_pass_folds,median_severe_pass_folds,median_minimum_fold_default_net,median_minimum_fold_severe_net,median_fourfold_default_net,median_fourfold_severe_net,median_severe_range,weakest_2023H1,median_default_net_2023H1,median_severe_net_2023H1,weakest_2023H2,median_default_net_2023H2,median_severe_net_2023H2,weakest_2024H1,median_default_net_2024H1,median_severe_net_2024H1,weakest_2024H2,median_default_net_2024H2,median_severe_net_2024H2
session_handoff,4,44,3,1,2.0,1.0,-182.35000000000247,-240.74142701292877,-116.77492552503188,-366.09037925533306,395.7631653127208,7,69.30000000000126,13.300000000001264,11,12.999999999994373,-43.600000000004115,6,-24.190740935753034,-84.75471091630467,20,-112.27716717876848,-201.62959232564856
ema_trend_cross,5,55,3,0,1.0,0.0,-530.9984598390857,-1202.1405745144457,-735.8477985625402,-2867.1777414189037,803.2147239271335,5,127.70000000002403,-352.6999999999896,9,-239.19999999999163,-778.5000000000235,17,-264.82100583060185,-940.945379517118,24,-249.593667305018,-892.6405745143686
trend_pullback_resumption,5,55,3,0,2.0,0.0,-546.1926942116843,-1611.5812074481453,-180.7273811349362,-4040.982143404929,1087.7999999999515,20,-303.5000000000246,-1433.500000000023,5,181.30000000001928,-592.6000000000016,5,73.2759189702183,-887.6508694570824,25,-147.54375798259605,-1312.8206528608166
session_range_breakout,5,55,2,0,2.0,1.0,-424.19999999997503,-662.199999999975,72.94692323999145,-909.1092302800687,1008.9396199369203,33,-341.5999999999955,-589.899999999983,8,176.30000000000655,-59.69999999999345,11,-16.529614211755842,-268.4388426352086,3,78.11009077057328,-162.83946539389487
failed_excursion_reversion,6,66,2,0,1.0,0.0,-1107.546403989185,-2593.519941422338,-1356.0019154838549,-6519.252974796436,1754.1708761493308,1,269.35000000000247,-792.4999999999661,7,-318.25000000000966,-1435.1500000000183,1,-159.9415730902208,-1258.753275265522,57,-1107.546403989185,-2593.519941422338
volatility_adjusted_momentum,5,55,1,0,2.0,0.0,-572.9999999999919,-1269.200000000026,189.3601399132445,-1590.4417093927054,1035.0604744897178,20,-302.99999999998374,-743.000000000011,5,100.2000000000378,-508.3000000000095,14,-66.64483788074685,-420.6170952032145,16,233.43591049442315,-586.3922685167154
compression_expansion,5,55,0,0,1.0,0.0,-1013.799999999996,-1946.7999999999936,-886.1780607102763,-4444.634182130783,1552.5999999999792,2,162.29999999999637,-707.2999999999732,37,-906.99999999999,-1795.1999999999707,11,-291.6396118454944,-1224.6666266307316,5,73.98283424952228,-1130.5153465943508
donchian_channel_breakout,5,55,0,0,2.0,0.0,-947.7218115256062,-2809.1,-140.92561574880534,-6714.462234268735,1450.8032003081466,33,-684.3999999999945,-2276.500000000002,6,-65.90000000002556,-1375.299999999967,3,-63.69665678115644,-1055.9126447555518,13,384.912615524339,-1024.092175953591
impulse_breakout,5,55,0,0,1.0,0.0,-1284.0637209307656,-2952.500000000007,-937.6398207705784,-8406.661205953611,1892.9689640792221,17,-621.200000000027,-2316.5999999999904,7,-313.1000000000138,-1658.4000000000292,0,144.45035028890925,-1144.390942159515,31,-669.7137209308124,-2518.068964079237
return_shock_reversal,5,55,0,0,1.0,0.0,-1228.314344267283,-2987.9325962302173,-2217.603746585656,-7549.920465360626,1078.4136069875312,1,-32.49999999998681,-1370.200000000048,8,-663.1999999999982,-1881.4000000000267,38,-1030.1275320767882,-2467.543032801781,8,-238.97867767948475,-1922.310511295981
bollinger_reentry_reversion,5,55,0,0,1.0,0.0,-1410.190311876842,-3229.1726744207213,-2512.9877408010407,-7560.314875725418,1893.4322687441245,1,209.7999999999871,-1238.8000000000193,2,-422.6999999999774,-2084.8000000000384,23,-1292.104251967658,-2980.73095365909,29,-972.689260521206,-2913.28669546129
atr_filter_directional_change,5,55,0,0,1.0,0.0,-1433.235004168468,-4559.41471421904,-2836.3578647298664,-15403.58686958267,1839.9047737503206,0,-183.90000000001768,-2807.499999999971,5,-583.3999999999958,-3446.799999999983,33,-1433.235004168468,-4462.405012505182,17,-760.7208432588588,-4373.564714218992
