horizon_bars,cells,default_4fold_cells,severe_4fold_cells,median_default_pass_folds,median_severe_pass_folds,median_minimum_fold_default_net,median_minimum_fold_severe_net,median_fourfold_default_net,median_fourfold_severe_net,median_severe_range,median_trade_count,weakest_2023H1,weakest_2023H2,weakest_2024H1,weakest_2024H2
1,60,0,0,1.0,0.0,-456.349999999995,-1497.9831756592482,-918.607396279023,-5232.787689268171,673.8415640790638,487.0,4,4,21,31
2,60,0,0,1.0,0.0,-564.3256667266207,-1681.400000000021,-1051.5442320381808,-4975.946941171678,727.9323571094571,487.0,10,8,12,30
3,60,0,0,1.0,0.0,-711.8661100507204,-1832.5236943824993,-1153.1590643959848,-5280.734063740329,813.8811379314286,487.0,9,9,15,27
4,60,0,0,1.0,0.0,-719.8000000000238,-1844.4894740231812,-1060.6292636551252,-5105.0090637402445,893.3167891088844,487.0,11,11,9,29
6,60,1,0,1.0,0.0,-693.1357436905728,-1935.299999999986,-819.7399595600989,-4958.434063740306,1097.32360189536,487.0,12,8,15,25
8,60,2,0,2.0,0.0,-740.2994125577035,-1894.2583133153248,-746.2930827234934,-4515.014173267625,1260.9506498168662,486.5,11,6,19,24
12,60,1,0,2.0,0.0,-912.4999999999922,-2184.6770001798714,-881.33747664511,-4553.158354476871,1755.0430249433848,485.5,9,13,13,25
16,60,1,0,2.0,0.0,-1196.3255056948924,-2302.2179589102734,-701.4028914646123,-4745.822481484078,2097.6527727096945,485.0,10,17,12,21
24,60,3,1,1.0,0.5,-1417.945155938421,-2721.450000000024,-1140.2300977960613,-4957.244122207041,2176.9899747390537,483.0,18,12,16,14
32,60,4,0,2.0,1.0,-1698.9499999999894,-2876.5547901055797,517.3971239604053,-3553.853813035812,2905.224273268146,480.0,23,12,14,11
48,60,2,0,2.0,1.0,-1827.3102699146964,-3182.5460934302214,754.837940413804,-2464.6709207001095,3347.831765896388,471.0,23,10,16,11
