period,strategy,signal_utc,entry_utc,side,dynamic_entry_exposure_state,pips_30m,pips_60m,pips_90m,exit_minutes,expected_exit_utc,candidate_gross_pips
H1,F05,2024-01-23 03:00:00,2024-01-23 03:15:00,1,standalone,-19.9,-40.5,-34.5,60,2024-01-23 04:15:00,-40.5
H1,F05,2024-01-23 06:45:00,2024-01-23 07:00:00,-1,standalone,-32.2,-46.3,-31.2,60,2024-01-23 08:00:00,-46.3
H1,F05,2024-01-24 14:15:00,2024-01-24 14:30:00,-1,same_direction_stack,-38.9,-15.2,-25.8,90,2024-01-24 16:00:00,-25.8
H1,F05,2024-01-26 09:00:00,2024-01-26 09:15:00,1,simultaneous_same_direction,-20.3,-31.3,-36.4,90,2024-01-26 10:45:00,-36.4
H1,F05,2024-03-04 00:30:00,2024-03-04 00:45:00,-1,standalone,-23.5,-26.3,-25.3,60,2024-03-04 01:45:00,-26.3
H1,F05,2024-03-06 07:30:00,2024-03-06 07:45:00,-1,same_direction_stack,-17.6,-36.4,-43.2,90,2024-03-06 09:15:00,-43.2
H1,F05,2024-03-08 13:30:00,2024-03-08 13:45:00,-1,same_direction_stack,-29.9,-24.2,-38.7,90,2024-03-08 15:15:00,-38.7
H1,F05,2024-03-27 02:30:00,2024-03-27 02:45:00,1,same_direction_stack,-19.7,-19.9,-24.7,90,2024-03-27 04:15:00,-24.7
H1,F05,2024-04-12 13:00:00,2024-04-12 13:15:00,-1,mixed_overlap,-28.0,-6.8,-16.9,60,2024-04-12 14:15:00,-6.8
H1,F05,2024-05-21 14:45:00,2024-05-21 15:00:00,-1,same_direction_stack,-17.9,-13.9,-22.7,90,2024-05-21 16:30:00,-22.7
H1,F05,2024-06-05 14:00:00,2024-06-05 14:15:00,1,same_direction_stack,-20.6,-19.4,-33.0,90,2024-06-05 15:45:00,-33.0
H2,F05,2024-07-03 14:00:00,2024-07-03 14:15:00,-1,opposite_overlap,-33.1,-32.2,-53.3,60,2024-07-03 15:15:00,-32.2
H2,F05,2024-07-11 13:00:00,2024-07-11 13:15:00,-1,same_direction_stack,-29.5,-13.8,-34.8,90,2024-07-11 14:45:00,-34.8
H2,F05,2024-07-12 13:00:00,2024-07-12 13:15:00,-1,standalone,-90.1,-34.4,-45.5,60,2024-07-12 14:15:00,-34.4
H2,F05,2024-07-25 16:15:00,2024-07-25 16:30:00,1,opposite_overlap,-17.5,-33.6,-17.4,60,2024-07-25 17:30:00,-33.6
H2,F05,2024-08-06 00:00:00,2024-08-06 00:15:00,1,standalone,-86.8,-104.9,-153.5,60,2024-08-06 01:15:00,-104.9
H2,F05,2024-08-07 04:15:00,2024-08-07 04:30:00,1,same_direction_stack,-17.2,-14.5,-81.1,90,2024-08-07 06:00:00,-81.1
