strategy,signal_utc,entry_utc,side,dynamic_entry_state,baseline_event,candidate_event,baseline_exit_utc,candidate_exit_utc,baseline_gross_pips,candidate_gross_pips,baseline_pl_jpy,candidate_pl_jpy,effect_jpy
F05,2025-01-01 23:45:00,2025-01-02 00:00:00,1,standalone,order_closed,order_closed,2025-01-02 08:00:00,2025-01-02 01:00:00,-102.3,-27.6,-1023.0,-276.0,747.0
F05,2025-01-06 10:45:00,2025-01-06 11:00:00,1,same_direction_stack,order_closed,order_closed,2025-01-06 19:00:00,2025-01-06 12:30:00,-37.4,-88.8,-374.0,-888.0,-514.0
F05,2025-01-06 13:00:00,2025-01-06 13:15:00,-1,mixed_overlap,order_closed,order_closed,2025-01-06 21:15:00,2025-01-06 14:15:00,-111.3,-28.5,-1113.0,-285.0,828.0
F05,2025-01-10 15:15:00,2025-01-10 15:30:00,-1,mixed_overlap,order_closed,order_closed,2025-01-12 23:30:00,2025-01-10 16:30:00,-40.3,-46.9,-403.0,-469.0,-66.0
F05,2025-01-14 12:00:00,2025-01-14 12:15:00,1,simultaneous_same_direction,order_closed,order_closed,2025-01-14 20:15:00,2025-01-14 13:45:00,-19.0,-35.8,-190.0,-358.0,-168.0
F05,2025-01-15 14:15:00,2025-01-15 14:30:00,-1,same_direction_stack,order_closed,order_closed,2025-01-15 22:30:00,2025-01-15 16:00:00,-40.0,-31.7,-400.0,-317.0,83.0
F05,2025-01-16 16:30:00,2025-01-16 16:45:00,-1,standalone,order_closed,order_closed,2025-01-17 00:45:00,2025-01-16 17:45:00,0.4,-10.8,4.0,-108.0,-112.0
F05,2025-01-20 14:30:00,2025-01-20 14:45:00,-1,opposite_overlap,order_closed,order_closed,2025-01-20 22:45:00,2025-01-20 15:45:00,-22.3,-42.9,-223.0,-429.0,-206.0
F05,2025-01-21 03:00:00,2025-01-21 03:15:00,-1,standalone,order_closed,order_closed,2025-01-21 11:15:00,2025-01-21 04:15:00,-110.1,-25.8,-1101.0,-258.0,843.0
F05,2025-01-24 13:00:00,2025-01-24 13:15:00,1,same_direction_stack,order_closed,order_closed,2025-01-24 21:15:00,2025-01-24 14:45:00,-57.2,-32.8,-572.0,-328.0,244.0
F05,2025-01-29 05:45:00,2025-01-29 06:00:00,-1,standalone,order_closed,order_closed,2025-01-29 14:00:00,2025-01-29 07:00:00,-41.0,-22.5,-410.0,-225.0,185.0
F05,2025-01-31 06:00:00,2025-01-31 06:15:00,1,same_direction_stack,order_closed,order_closed,2025-01-31 14:15:00,2025-01-31 07:45:00,1.9,-25.6,19.0,-256.0,-275.0
F05,2025-02-06 01:30:00,2025-02-06 01:45:00,-1,standalone,order_closed,order_closed,2025-02-06 09:45:00,2025-02-06 02:45:00,-81.5,-32.5,-815.0,-325.0,490.0
F05,2025-02-06 15:45:00,2025-02-06 16:00:00,-1,opposite_overlap,order_closed,order_closed,2025-02-07 00:00:00,2025-02-06 17:00:00,52.1,-35.8,521.0,-358.0,-879.0
F05,2025-02-12 16:15:00,2025-02-12 16:30:00,1,same_direction_stack,order_closed,order_closed,2025-02-13 00:30:00,2025-02-12 18:00:00,-53.8,-43.0,-538.0,-430.0,108.0
F05,2025-02-19 02:00:00,2025-02-19 02:15:00,1,standalone,order_closed,order_closed,2025-02-19 10:15:00,2025-02-19 03:15:00,-49.4,-30.7,-494.0,-307.0,187.0
F05,2025-02-26 15:00:00,2025-02-26 15:15:00,1,standalone,order_closed,order_closed,2025-02-26 23:15:00,2025-02-26 16:15:00,-91.0,-43.6,-910.0,-436.0,474.0
F05,2025-02-28 08:30:00,2025-02-28 08:45:00,1,same_direction_stack,order_closed,order_closed,2025-02-28 16:45:00,2025-02-28 10:15:00,-10.3,-35.1,-103.0,-351.0,-248.0
F05,2025-03-03 09:00:00,2025-03-03 09:15:00,-1,same_direction_stack,order_closed,order_closed,2025-03-03 17:15:00,2025-03-03 10:45:00,-25.4,-90.8,-254.0,-908.0,-654.0
F05,2025-03-05 01:15:00,2025-03-05 01:30:00,1,standalone,order_closed,order_closed,2025-03-05 09:30:00,2025-03-05 02:30:00,-78.4,-27.1,-784.0,-271.0,513.0
F05,2025-03-06 10:00:00,2025-03-06 10:15:00,-1,same_direction_stack,order_closed,order_closed,2025-03-06 18:15:00,2025-03-06 11:45:00,-6.7,-20.6,-67.0,-206.0,-139.0
F05,2025-03-10 11:15:00,2025-03-10 11:30:00,-1,same_direction_stack,order_closed,order_closed,2025-03-10 19:30:00,2025-03-10 13:00:00,-54.8,-25.9,-548.0,-259.0,289.0
F05,2025-03-10 13:30:00,2025-03-10 13:45:00,-1,same_direction_stack,order_closed,order_closed,2025-03-10 21:45:00,2025-03-10 15:15:00,-43.6,-57.4,-436.0,-574.0,-138.0
F05,2025-03-12 11:45:00,2025-03-12 12:00:00,1,same_direction_stack,order_closed,order_closed,2025-03-12 20:00:00,2025-03-12 13:30:00,-94.3,-52.5,-943.0,-525.0,418.0
F05,2025-03-13 16:15:00,2025-03-13 16:30:00,-1,opposite_overlap,order_closed,order_closed,2025-03-14 00:30:00,2025-03-13 17:30:00,-90.3,-26.6,-903.0,-266.0,637.0
F05,2025-03-19 05:30:00,2025-03-19 05:45:00,1,standalone,order_closed,order_closed,2025-03-19 13:45:00,2025-03-19 06:45:00,-14.1,-74.5,-141.0,-745.0,-604.0
F05,2025-03-19 12:45:00,2025-03-19 13:00:00,1,simultaneous_same_direction,order_closed,order_closed,2025-03-19 21:00:00,2025-03-19 14:30:00,-129.0,-21.2,-1290.0,-212.0,1078.0
F05,2025-03-19 17:30:00,2025-03-19 17:45:00,-1,opposite_overlap,order_closed,order_closed,2025-03-20 01:45:00,2025-03-19 18:45:00,57.1,-13.5,571.0,-135.0,-706.0
F05,2025-03-25 14:15:00,2025-03-25 14:30:00,-1,same_direction_stack,order_closed,order_closed,2025-03-25 22:30:00,2025-03-25 16:00:00,-42.8,-21.9,-428.0,-219.0,209.0
F05,2025-04-09 18:00:00,2025-04-09 18:15:00,1,opposite_overlap,order_closed,order_closed,2025-04-10 02:15:00,2025-04-09 19:15:00,-105.3,-31.7,-1053.0,-317.0,736.0
F05,2025-04-15 12:15:00,2025-04-15 12:30:00,-1,same_direction_stack,order_closed,order_closed,2025-04-15 20:30:00,2025-04-15 14:00:00,-53.0,-39.9,-530.0,-399.0,131.0
F05,2025-05-01 15:30:00,2025-05-01 15:45:00,1,same_direction_stack,order_closed,order_closed,2025-05-01 23:45:00,2025-05-01 17:15:00,-6.4,-18.7,-64.0,-187.0,-123.0
F05,2025-05-15 06:45:00,2025-05-15 07:00:00,-1,standalone,order_closed,order_closed,2025-05-15 15:00:00,2025-05-15 08:00:00,-32.5,-35.1,-325.0,-351.0,-26.0
F05,2025-05-19 00:45:00,2025-05-19 01:00:00,-1,standalone,order_closed,order_closed,2025-05-19 09:00:00,2025-05-19 02:00:00,1.9,-23.3,19.0,-233.0,-252.0
F05,2025-05-20 00:15:00,2025-05-20 00:30:00,1,standalone,order_closed,order_closed,2025-05-20 08:30:00,2025-05-20 01:30:00,-112.2,-66.7,-1122.0,-667.0,455.0
F05,2025-05-21 17:15:00,2025-05-21 17:30:00,-1,standalone,order_closed,order_closed,2025-05-22 01:30:00,2025-05-21 18:30:00,6.7,-23.6,67.0,-236.0,-303.0
F05,2025-05-28 01:00:00,2025-05-28 01:15:00,1,standalone,order_closed,order_closed,2025-05-28 09:15:00,2025-05-28 02:15:00,-42.9,-20.7,-429.0,-207.0,222.0
F05,2025-05-29 00:45:00,2025-05-29 01:00:00,1,standalone,order_closed,order_closed,2025-05-29 09:00:00,2025-05-29 02:00:00,-83.4,-32.5,-834.0,-325.0,509.0
F05,2025-06-06 15:00:00,2025-06-06 15:15:00,1,same_direction_stack,order_closed,order_closed,2025-06-08 23:15:00,2025-06-06 16:45:00,-43.0,-15.7,-430.0,-157.0,273.0
F05,2025-06-16 14:00:00,2025-06-16 14:15:00,-1,standalone,order_closed,order_closed,2025-06-16 22:15:00,2025-06-16 15:15:00,-96.5,-26.9,-965.0,-269.0,696.0
