month,trades,net_jpy,profit_factor
2020-01,68,-555,0.897336
2020-02,77,15222,4.889116
2020-03,73,4697,1.266481
2020-04,63,-4770,0.468168
2020-05,80,583,1.098413
2020-06,74,4437,1.65675
2020-07,101,2456,1.316985
2020-08,94,2432,1.316049
2020-09,66,-5028,0.364831
2020-10,78,1502,1.305533
2020-11,66,3632,1.54947
2020-12,82,-4411,0.515434
2021-01,69,765,1.170265
2021-02,88,-435,0.949804
2021-03,79,2311,1.365433
2021-04,71,-988,0.860413
2021-05,68,-3652,0.571563
2021-06,70,-341,0.944634
2021-07,83,4662,1.980029
2021-08,100,-2829,0.746868
2021-09,102,1687,1.213301
2021-10,84,2732,1.42929
2021-11,74,3059,1.310874
2021-12,70,-3526,0.516523
2022-01,79,-494,0.942323
2022-02,61,1207,1.301373
2022-03,90,9300,2.165122
2022-04,70,9825,2.388104
2022-05,59,-1072,0.90981
2022-06,80,13596,2.105546
2022-07,70,-1494,0.898863
2022-08,76,169,1.009911
2022-09,79,-8962,0.669091
2022-10,86,-5015,0.789224
2022-11,80,-8943,0.725893
2022-12,71,-3122,0.869422
