feature_family,state,fold,trades,strategies,preferred_action,action_advantage_pips,continuation_default_net_pips,continuation_default_profit_factor,continuation_default_win_rate,continuation_default_positive_dates,continuation_default_negative_dates,continuation_default_top_two_positive_date_share,continuation_severe_net_pips,continuation_severe_profit_factor,continuation_severe_win_rate,continuation_severe_positive_dates,continuation_severe_negative_dates,continuation_severe_top_two_positive_date_share,reversal_default_net_pips,reversal_default_profit_factor,reversal_default_win_rate,reversal_default_positive_dates,reversal_default_negative_dates,reversal_default_top_two_positive_date_share,reversal_severe_net_pips,reversal_severe_profit_factor,reversal_severe_win_rate,reversal_severe_positive_dates,reversal_severe_negative_dates,reversal_severe_top_two_positive_date_share
market_direction_agreement,UP_UP,2023H1,806,5,continuation,5429.0,2311.5,1.169898,0.512407,29,47,0.247003,699.5,1.048559,0.495037,28,48,0.255288,-3117.5,0.80913,0.475186,44,32,0.140453,-4729.5,0.724949,0.454094,43,33,0.151384
market_direction_agreement,UP_UP,2023H2,725,5,continuation,2896.4,1085.7,1.126247,0.513103,34,36,0.251493,-364.3,0.9609,0.492414,29,41,0.265797,-1810.7,0.820076,0.470345,35,35,0.26548,-3260.7,0.699497,0.445517,30,40,0.289565
market_direction_agreement,UP_UP,2024H1,1008,5,continuation,14800.9,6815.241483,1.550586,0.534722,40,56,0.209028,4636.82445,1.345021,0.501984,36,60,0.215964,-7985.658517,0.597267,0.443452,55,41,0.163925,-10164.07555,0.51769,0.40873,50,46,0.183613
market_direction_agreement,UP_UP,2024H2,691,5,continuation,14225.1,6660.934677,1.669779,0.589001,33,28,0.167652,5066.70403,1.477202,0.575977,33,28,0.172008,-7564.165323,0.558535,0.402315,25,36,0.267232,-9158.39597,0.494282,0.383502,21,40,0.290478
trade_alignment_agreement,ALIGN_ALIGN,2023H1,674,5,continuation,1347.2,336.6,1.0244,0.504451,29,56,0.19938,-1011.4,0.930123,0.486647,28,57,0.206284,-1010.6,0.930171,0.485163,56,29,0.210734,-2358.6,0.844597,0.468843,55,30,0.221264
trade_alignment_agreement,ALIGN_ALIGN,2023H2,747,5,continuation,8767.4,4010.2,1.362033,0.516734,37,58,0.359966,2516.2,1.213114,0.502008,33,62,0.37787,-4757.2,0.692634,0.473896,58,37,0.18106,-6251.2,0.616067,0.447122,52,43,0.192327
trade_alignment_agreement,ALIGN_ALIGN,2024H1,827,5,continuation,8620.3,3835.644517,1.348981,0.550181,38,62,0.250273,2059.63355,1.174168,0.518742,35,65,0.260297,-4784.655483,0.688469,0.425635,60,40,0.167125,-6560.66645,0.600241,0.385732,55,45,0.179504
trade_alignment_agreement,ALIGN_ALIGN,2024H2,867,5,continuation,16929.2,7872.037975,1.449943,0.575548,42,54,0.205495,5819.913924,1.316454,0.558247,42,54,0.21356,-9057.162025,0.652288,0.419839,53,43,0.133441,-11109.286076,0.59241,0.401384,51,45,0.139483
realized_volatility_ratio_5d_to_20d,NEUTRAL_0_80_TO_1_20,2023H1,1028,5,continuation,1125.6,48.8,1.002311,0.515564,29,57,0.216249,-2007.2,0.909282,0.499027,25,61,0.223348,-1076.8,0.950366,0.475681,54,32,0.158521,-3132.8,0.862549,0.457198,51,35,0.169047
realized_volatility_ratio_5d_to_20d,NEUTRAL_0_80_TO_1_20,2023H2,781,5,continuation,3494.6,1356.8,1.089823,0.498079,32,43,0.41509,-205.2,0.987098,0.477593,30,45,0.434305,-2137.8,0.873156,0.494238,41,34,0.26133,-3699.8,0.790521,0.46863,40,35,0.276522
realized_volatility_ratio_5d_to_20d,NEUTRAL_0_80_TO_1_20,2024H1,898,5,continuation,16174.5,7553.136482,1.629843,0.571269,33,42,0.249703,5586.909446,1.434036,0.544543,29,46,0.261207,-8621.363518,0.572346,0.410913,42,33,0.162543,-10587.590554,0.503841,0.386414,37,38,0.180092
realized_volatility_ratio_5d_to_20d,NEUTRAL_0_80_TO_1_20,2024H2,1115,5,continuation,3603.0,1044.151454,1.038602,0.517489,35,52,0.21376,-1585.545638,0.944045,0.50583,35,52,0.225625,-2558.848546,0.911398,0.475336,52,35,0.180737,-5188.545638,0.828687,0.46278,48,39,0.191578
range_position_20d,UPPER_THIRD,2023H1,917,5,continuation,8641.2,3862.1,1.269027,0.526718,32,47,0.170981,2028.1,1.133095,0.51036,31,48,0.177423,-4779.1,0.744504,0.461287,44,35,0.144667,-6613.1,0.664511,0.441658,42,37,0.158667
range_position_20d,UPPER_THIRD,2023H2,898,5,continuation,5758.6,2430.3,1.222577,0.526726,39,42,0.250485,634.3,1.053834,0.506682,35,46,0.270031,-3328.3,0.759321,0.458797,40,41,0.237314,-5124.3,0.654308,0.433185,35,46,0.256985
range_position_20d,UPPER_THIRD,2024H1,1147,5,continuation,8566.6,3611.616379,1.229468,0.509154,38,59,0.228754,1121.249138,1.065886,0.475153,33,64,0.238805,-4954.983621,0.752765,0.472537,58,39,0.119826,-7445.350862,0.651833,0.442895,54,43,0.134877
range_position_20d,UPPER_THIRD,2024H2,779,5,continuation,15709.2,7345.706414,1.650692,0.563543,33,28,0.236735,5548.919242,1.458942,0.550706,33,28,0.250653,-8363.493586,0.564575,0.424904,27,34,0.248428,-10160.280758,0.498727,0.403081,22,39,0.273625
