feature_family,state,all_four_folds_present,minimum_trades_each_fold_pass,minimum_strategies_each_fold_pass,same_preferred_action_all_four_folds,preferred_action,preferred_action_default_positive_each_fold,preferred_action_severe_positive_each_fold,leave_one_strategy_out_same_action_each_fold,minimum_fold_trades,minimum_fold_strategies,passed
range_position_20d,UPPER_THIRD,True,True,True,True,continuation,True,True,True,779,5,True
market_direction_agreement,DOWN_DOWN,True,True,True,False,,False,False,False,101,5,False
market_direction_agreement,DOWN_UP,True,True,True,False,,False,False,False,196,5,False
market_direction_agreement,UP_DOWN,True,True,True,False,,False,False,True,120,5,False
market_direction_agreement,UP_UP,True,True,True,True,continuation,True,False,True,691,5,False
market_direction_agreement,ZERO_INVOLVED,False,False,False,False,,False,False,False,0,0,False
path_efficiency_20d,LOW_LT_0_20,True,True,True,False,,False,False,False,1400,5,False
path_efficiency_5d,LOW_LT_0_20,True,True,True,False,,False,False,False,1397,5,False
path_efficiency_5d,MID_0_20_TO_0_40,False,False,False,False,,False,False,False,0,0,False
range_position_20d,LOWER_THIRD,True,True,True,False,,False,False,False,127,5,False
range_position_20d,MIDDLE_THIRD,True,True,True,False,,False,False,True,231,5,False
realized_volatility_ratio_5d_to_20d,HIGH_GT_1_20,True,True,True,False,,False,False,False,116,5,False
realized_volatility_ratio_5d_to_20d,LOW_LT_0_80,True,True,True,False,,False,False,True,256,5,False
realized_volatility_ratio_5d_to_20d,NEUTRAL_0_80_TO_1_20,True,True,True,True,continuation,True,False,False,781,5,False
trade_alignment_agreement,ALIGN_ALIGN,True,True,True,True,continuation,True,False,True,674,5,False
trade_alignment_agreement,ALIGN_OPPOSE,True,True,True,False,,False,False,False,196,5,False
trade_alignment_agreement,OPPOSE_ALIGN,True,True,True,False,,False,False,False,165,5,False
trade_alignment_agreement,OPPOSE_OPPOSE,True,True,True,False,,False,False,False,282,5,False
trade_alignment_agreement,ZERO_INVOLVED,False,False,False,False,,False,False,False,0,0,False
