feature_family,state,fold,excluded_candidate_id,excluded_was_present,remaining_trades,remaining_strategies,full_preferred_action,reduced_preferred_action,same_action,reduced_action_advantage_pips
range_position_20d,UPPER_THIRD,2023H1,R1B02_legacy_asia_00_07_breakout,True,854,4,continuation,continuation,True,8500.4
range_position_20d,UPPER_THIRD,2023H1,R1E02_legacy_trend_8h_resumption,True,724,4,continuation,continuation,True,5312.2
range_position_20d,UPPER_THIRD,2023H1,R1E03_trend_12h_resumption,True,544,4,continuation,continuation,True,6591.4
range_position_20d,UPPER_THIRD,2023H1,R1F05_donchian_96,True,709,4,continuation,continuation,True,6834.4
range_position_20d,UPPER_THIRD,2023H1,R1H04_ramom_32_64_z125,True,837,4,continuation,continuation,True,7326.4
range_position_20d,UPPER_THIRD,2023H2,R1B02_legacy_asia_00_07_breakout,True,835,4,continuation,continuation,True,4877.6
range_position_20d,UPPER_THIRD,2023H2,R1E02_legacy_trend_8h_resumption,True,720,4,continuation,continuation,True,4059.4
range_position_20d,UPPER_THIRD,2023H2,R1E03_trend_12h_resumption,True,520,4,continuation,continuation,True,3181.4
range_position_20d,UPPER_THIRD,2023H2,R1F05_donchian_96,True,699,4,continuation,continuation,True,5605.8
range_position_20d,UPPER_THIRD,2023H2,R1H04_ramom_32_64_z125,True,818,4,continuation,continuation,True,5310.2
range_position_20d,UPPER_THIRD,2024H1,R1B02_legacy_asia_00_07_breakout,True,1079,4,continuation,continuation,True,7556.6
range_position_20d,UPPER_THIRD,2024H1,R1E02_legacy_trend_8h_resumption,True,894,4,continuation,continuation,True,6698.9
range_position_20d,UPPER_THIRD,2024H1,R1E03_trend_12h_resumption,True,666,4,continuation,continuation,True,5714.3
range_position_20d,UPPER_THIRD,2024H1,R1F05_donchian_96,True,905,4,continuation,continuation,True,7302.7
range_position_20d,UPPER_THIRD,2024H1,R1H04_ramom_32_64_z125,True,1044,4,continuation,continuation,True,6993.9
range_position_20d,UPPER_THIRD,2024H2,R1B02_legacy_asia_00_07_breakout,True,737,4,continuation,continuation,True,13447.4
range_position_20d,UPPER_THIRD,2024H2,R1E02_legacy_trend_8h_resumption,True,621,4,continuation,continuation,True,12629.8
range_position_20d,UPPER_THIRD,2024H2,R1E03_trend_12h_resumption,True,457,4,continuation,continuation,True,9616.9
range_position_20d,UPPER_THIRD,2024H2,R1F05_donchian_96,True,602,4,continuation,continuation,True,12505.1
range_position_20d,UPPER_THIRD,2024H2,R1H04_ramom_32_64_z125,True,699,4,continuation,continuation,True,14637.6
