feature_family,state,fold,candidate_id,trades,preferred_action,action_advantage_pips,continuation_default_net_pips,continuation_severe_net_pips,reversal_default_net_pips,reversal_severe_net_pips
range_position_20d,UPPER_THIRD,2023H1,R1B02_legacy_asia_00_07_breakout,63,continuation,140.8,38.9,-87.1,-101.9,-227.9
range_position_20d,UPPER_THIRD,2023H1,R1E02_legacy_trend_8h_resumption,193,continuation,3329.0,1568.0,1182.0,-1761.0,-2147.0
range_position_20d,UPPER_THIRD,2023H1,R1E03_trend_12h_resumption,373,continuation,2049.8,838.4,92.4,-1211.4,-1957.4
range_position_20d,UPPER_THIRD,2023H1,R1F05_donchian_96,208,continuation,1806.8,799.4,383.4,-1007.4,-1423.4
range_position_20d,UPPER_THIRD,2023H1,R1H04_ramom_32_64_z125,80,continuation,1314.8,617.4,457.4,-697.4,-857.4
range_position_20d,UPPER_THIRD,2023H2,R1B02_legacy_asia_00_07_breakout,63,continuation,881.0,409.0,283.0,-472.0,-598.0
range_position_20d,UPPER_THIRD,2023H2,R1E02_legacy_trend_8h_resumption,178,continuation,1699.2,760.6,404.6,-938.6,-1294.6
range_position_20d,UPPER_THIRD,2023H2,R1E03_trend_12h_resumption,378,continuation,2577.2,1099.6,343.6,-1477.6,-2233.6
range_position_20d,UPPER_THIRD,2023H2,R1F05_donchian_96,199,continuation,152.8,-23.1,-421.1,-175.9,-573.9
range_position_20d,UPPER_THIRD,2023H2,R1H04_ramom_32_64_z125,80,continuation,448.4,184.2,24.2,-264.2,-424.2
range_position_20d,UPPER_THIRD,2024H1,R1B02_legacy_asia_00_07_breakout,68,continuation,1010.0,466.230779,320.692338,-543.769221,-689.307662
range_position_20d,UPPER_THIRD,2024H1,R1E02_legacy_trend_8h_resumption,253,continuation,1867.7,789.939983,249.119948,-1077.760017,-1618.580052
range_position_20d,UPPER_THIRD,2024H1,R1E03_trend_12h_resumption,481,continuation,2852.3,1144.537882,100.313646,-1707.762118,-2751.986354
range_position_20d,UPPER_THIRD,2024H1,R1F05_donchian_96,242,continuation,1263.9,484.074746,-53.675761,-779.825254,-1317.575761
range_position_20d,UPPER_THIRD,2024H1,R1H04_ramom_32_64_z125,103,continuation,1572.7,726.832989,504.798967,-845.867011,-1067.901033
range_position_20d,UPPER_THIRD,2024H2,R1B02_legacy_asia_00_07_breakout,42,continuation,2261.8,1104.915319,1010.945956,-1156.884681,-1250.854044
range_position_20d,UPPER_THIRD,2024H2,R1E02_legacy_trend_8h_resumption,158,continuation,3079.4,1441.059426,1085.778277,-1638.340574,-1993.621723
range_position_20d,UPPER_THIRD,2024H2,R1E03_trend_12h_resumption,322,continuation,6092.3,2827.379278,2067.837834,-3264.920722,-4024.462166
range_position_20d,UPPER_THIRD,2024H2,R1F05_donchian_96,177,continuation,3204.1,1487.22222,1080.566661,-1716.87778,-2123.533339
range_position_20d,UPPER_THIRD,2024H2,R1H04_ramom_32_64_z125,80,continuation,1071.6,485.130172,303.790515,-586.469828,-767.809485
