year,month,period_role,name,bytes,sha256,release_asset_id,release_asset_url,readback_status,readback_bytes,readback_sha256
2019,10,WARMUP_ONLY,USDJPY_DUKASCOPY_RAW_BI5_2019_10.tar.gz,10986850,9a4c6d243005e0b347d408112901a458218c69cdea17a596026d4339e00cd2cd,494930634,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2019_10.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,10986850,9a4c6d243005e0b347d408112901a458218c69cdea17a596026d4339e00cd2cd
2019,11,WARMUP_ONLY,USDJPY_DUKASCOPY_RAW_BI5_2019_11.tar.gz,6961261,25c4feec02b83262f7fb2de8f2f4ff4af22375de99f7c0a451783371ed2824fb,494918346,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2019_11.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,6961261,25c4feec02b83262f7fb2de8f2f4ff4af22375de99f7c0a451783371ed2824fb
2019,12,WARMUP_ONLY,USDJPY_DUKASCOPY_RAW_BI5_2019_12.tar.gz,5880725,1ea3bb80b2a274a74aabe40ed0998658e2976b4fb95ad383e4233b0abe501d6a,494929999,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2019_12.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,5880725,1ea3bb80b2a274a74aabe40ed0998658e2976b4fb95ad383e4233b0abe501d6a
2020,1,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_01.tar.gz,7576177,6c45afd63159b2161fa15e66e9e96e1533351df69ed50261096f976401ba3612,494940132,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_01.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,7576177,6c45afd63159b2161fa15e66e9e96e1533351df69ed50261096f976401ba3612
2020,2,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_02.tar.gz,11100065,97eef6f9440106882b4b08d404b030e9e66a865526d8f5e40c507bb66dfcf113,494919085,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_02.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,11100065,97eef6f9440106882b4b08d404b030e9e66a865526d8f5e40c507bb66dfcf113
2020,3,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_03.tar.gz,31661158,d11dd26fd8eb6d030556271934322278616500a5c12e7b2304a357733a145d5e,494929990,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_03.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,31661158,d11dd26fd8eb6d030556271934322278616500a5c12e7b2304a357733a145d5e
2020,4,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_04.tar.gz,12779268,1677feb89612de5d8426419563a6b3cab60a7ea55616c302c50dc5c7c57af353,494934730,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_04.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,12779268,1677feb89612de5d8426419563a6b3cab60a7ea55616c302c50dc5c7c57af353
2020,5,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_05.tar.gz,7793857,754595c682d0d7731f7a575b01b662b2ec7a2f3742e2afd6fd33dd5419194213,494924719,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_05.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,7793857,754595c682d0d7731f7a575b01b662b2ec7a2f3742e2afd6fd33dd5419194213
2020,6,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_06.tar.gz,9738645,0433f2e01db05047d8bc0307c1b77548f9b50a7c7d337d3476635af7da5c9376,494926021,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_06.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,9738645,0433f2e01db05047d8bc0307c1b77548f9b50a7c7d337d3476635af7da5c9376
2020,7,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_07.tar.gz,7430078,4910762de1033f863b2b03a33f9b97a0ba1111ce5499a70bea70896d3ec1b71e,494919933,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_07.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,7430078,4910762de1033f863b2b03a33f9b97a0ba1111ce5499a70bea70896d3ec1b71e
2020,8,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_08.tar.gz,8952421,6df0d9726190467a3dbc2cb6813d4ec367a716cd12c6a87d383ee8212880d2aa,494934776,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_08.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,8952421,6df0d9726190467a3dbc2cb6813d4ec367a716cd12c6a87d383ee8212880d2aa
2020,9,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_09.tar.gz,7561697,fbaaab5df66723b909789547d67f441621eaf128c7e76e648cabc9c28677be30,494925823,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_09.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,7561697,fbaaab5df66723b909789547d67f441621eaf128c7e76e648cabc9c28677be30
2020,10,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_10.tar.gz,6525016,a5086c48b4b487b1e1c4f165f6e87e12047233db18b6ade007f56208b78a64cd,494934664,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_10.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,6525016,a5086c48b4b487b1e1c4f165f6e87e12047233db18b6ade007f56208b78a64cd
2020,11,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_11.tar.gz,8476132,2ff8b886ced26cd94d16e2d60a0d142bcdd2c542ddf418766191f8bbe93f1112,494934573,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_11.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,8476132,2ff8b886ced26cd94d16e2d60a0d142bcdd2c542ddf418766191f8bbe93f1112
2020,12,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2020_12.tar.gz,6757701,24d880d3634ec5a5892ed19a9d8882ef6b88e19fb3293508f40f8a732e3791e5,494922389,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2020_12.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,6757701,24d880d3634ec5a5892ed19a9d8882ef6b88e19fb3293508f40f8a732e3791e5
2021,1,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2021_01.tar.gz,6434480,c8a9646cf97e5b873705f4ef3b4ab0dcb9e4ec00af4bee2bb0490f5691ac47fe,494920986,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2021_01.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,6434480,c8a9646cf97e5b873705f4ef3b4ab0dcb9e4ec00af4bee2bb0490f5691ac47fe
2021,2,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2021_02.tar.gz,5332319,2e3da9270de3b7589e4e74df6930b10d2f302224f329bb8b4cc499b13b62ae81,494917583,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2021_02.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,5332319,2e3da9270de3b7589e4e74df6930b10d2f302224f329bb8b4cc499b13b62ae81
2021,3,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2021_03.tar.gz,7410648,d91da71924c2ee1a3bd5dbb48804a7a7a6884556c6e027b1a140be56246d8a90,494925766,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2021_03.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,7410648,d91da71924c2ee1a3bd5dbb48804a7a7a6884556c6e027b1a140be56246d8a90
2021,4,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2021_04.tar.gz,6081035,436385ebae36a4ce0a984d70c8fd907b823be60292d4ce1a22fafa42dfbb1e8e,494917450,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2021_04.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,6081035,436385ebae36a4ce0a984d70c8fd907b823be60292d4ce1a22fafa42dfbb1e8e
2021,5,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2021_05.tar.gz,5740285,bf2088ba7f6343d3cf835e98b84cdecb9d41bd3257008992b261db6022585d33,494917750,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2021_05.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,5740285,bf2088ba7f6343d3cf835e98b84cdecb9d41bd3257008992b261db6022585d33
2021,6,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2021_06.tar.gz,5676766,10e25f0491e30dfbbb419251ccd2bc6ce7755c7c427716d0e7c6da49279abd96,494940418,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2021_06.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,5676766,10e25f0491e30dfbbb419251ccd2bc6ce7755c7c427716d0e7c6da49279abd96
2021,7,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2021_07.tar.gz,6589175,a6bb6681598b4bd0675cf80e719977464f49049aca794d65fb25f8eaa0711f22,494936379,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2021_07.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,6589175,a6bb6681598b4bd0675cf80e719977464f49049aca794d65fb25f8eaa0711f22
2021,8,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2021_08.tar.gz,5511147,c448a4187eafaf537c42162cf28cd931d2916b7421a8d399f6b12152e642a7ac,494932105,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2021_08.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,5511147,c448a4187eafaf537c42162cf28cd931d2916b7421a8d399f6b12152e642a7ac
2021,9,ANALYSIS_PERIOD,USDJPY_DUKASCOPY_RAW_BI5_2021_09.tar.gz,5831062,7892b3e87f901e405aac207183edaada754b55b31a75e13aeee99755cb5e5efc,494927382,https://github.com/mitsuru93/usdjpyea-research/releases/download/usdjpy-2020-2022-source-native-bidask-tick-authority-v1/USDJPY_DUKASCOPY_RAW_BI5_2021_09.tar.gz,PASS_BYTE_IDENTICAL_RELEASE_READBACK,5831062,7892b3e87f901e405aac207183edaada754b55b31a75e13aeee99755cb5e5efc
