year,month,period_role,decision,tick_count,first_timestamp_utc,last_timestamp_utc,resolved_hours,downloaded_hours,missing_404_hours,no_tick_hours,error_hours,download_retry_attempts,duplicate_timestamp_count,complete_duplicate_row_count,ask_less_than_bid_count,zero_spread_count,negative_spread_count,zero_or_negative_price_count,abnormal_spread_count,price_jump_over_50_pips_count,gap_over_15m_count,critical_gap_count,weekend_tick_count,raw_to_normalized_rows_match,normalized_to_bar_tick_counts_match
2019,10,WARMUP_ONLY,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,2050721,2019-10-01T00:00:00.083000Z,2019-10-31T23:59:59.018000Z,744,552,0,192,0,0,0,0,0,0,0,0,10,0,4,0,31053,True,True
2019,11,WARMUP_ONLY,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1286500,2019-11-01T00:00:00.103000Z,2019-11-29T21:59:25.863000Z,720,501,0,219,0,0,0,0,0,0,0,0,0,0,4,0,20504,True,True
2019,12,WARMUP_ONLY,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1084414,2019-12-01T22:00:03.095000Z,2019-12-31T21:59:43.368000Z,744,513,0,231,0,0,0,0,0,0,0,0,112,0,6,0,21664,True,True
2020,1,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1398198,2020-01-01T22:00:00.219000Z,2020-01-31T21:59:56.194000Z,744,528,0,216,0,0,0,0,0,0,0,0,135,0,4,0,36602,True,True
2020,2,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,2190752,2020-02-02T22:00:01.871000Z,2020-02-28T21:59:56.155000Z,696,480,0,216,0,0,0,0,0,0,0,0,17,0,3,0,35863,True,True
2020,3,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,6629455,2020-03-01T22:00:01.673000Z,2020-03-31T23:59:59.966000Z,744,531,0,213,0,0,0,0,0,0,0,0,9985,2,4,0,141705,True,True
2020,4,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,2478845,2020-04-01T00:00:00.067000Z,2020-04-30T23:59:59.508000Z,720,528,0,192,0,0,0,0,0,0,0,0,2748,0,4,0,32284,True,True
2020,5,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1450931,2020-05-01T00:00:00.265000Z,2020-05-31T23:59:57.832000Z,744,504,0,240,0,0,0,0,0,0,0,0,1326,0,5,0,28578,True,True
2020,6,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1798017,2020-06-01T00:00:00.121000Z,2020-06-30T23:59:58.988000Z,720,528,0,192,0,0,0,0,0,0,0,0,181,0,4,0,26972,True,True
2020,7,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1337691,2020-07-01T00:00:00.185000Z,2020-07-31T20:59:50.102000Z,744,549,0,195,0,0,0,0,0,0,0,0,119,0,4,0,15905,True,True
2020,8,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1619097,2020-08-02T21:00:03.531000Z,2020-08-31T23:59:58.319000Z,744,507,0,237,0,0,0,0,0,0,0,0,900,0,4,0,31547,True,True
2020,9,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1358518,2020-09-01T00:00:00.145000Z,2020-09-30T23:59:51.298000Z,720,528,0,192,0,0,0,0,0,0,0,0,133,0,4,0,13045,True,True
2020,10,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1202399,2020-10-01T00:00:00.099000Z,2020-10-30T20:59:59.203000Z,744,525,0,219,0,0,0,0,0,0,0,0,100,0,4,0,24030,True,True
2020,11,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1568143,2020-11-01T22:00:00.280000Z,2020-11-30T23:59:57.287000Z,720,506,0,214,0,0,0,0,0,0,0,0,25,0,4,0,29518,True,True
2020,12,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1289067,2020-12-01T00:00:00.120000Z,2020-12-31T21:59:59.591000Z,744,536,0,208,0,0,0,0,0,0,0,0,346,0,4,0,18522,True,True
2021,1,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1230927,2021-01-03T22:00:00.227000Z,2021-01-31T23:59:56.148000Z,744,482,0,262,0,0,0,0,0,0,0,0,14,0,4,0,17427,True,True
2021,2,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1010644,2021-02-01T00:00:00.301000Z,2021-02-28T23:59:58.137000Z,672,480,0,192,0,0,0,0,0,0,0,0,49,0,4,0,20066,True,True
2021,3,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1333001,2021-03-01T00:00:00.048000Z,2021-03-31T23:59:36.254000Z,744,553,0,191,0,0,0,0,0,0,0,0,33,0,4,0,19726,True,True
2021,4,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1103855,2021-04-01T00:00:00.232000Z,2021-04-30T20:59:59.034000Z,720,525,0,195,0,0,0,0,0,0,0,0,56,0,4,0,12945,True,True
2021,5,ANALYSIS_PERIOD,PASS_2020_2022_TICK_AUTHORITY_CERTIFIED,1063655,2021-05-02T21:00:00.178000Z,2021-05-31T23:59:52.330000Z,744,507,0,237,0,0,0,0,0,0,0,0,127,0,4,0,10022,True,True
