date,fold,asian_session_start,asian_session_end,asian_bar_count,missing_bar_count,extra_or_offgrid_count,asian_high,asian_low,complete_28_bars,post_0700_in_range_count
2023-01-02,2023H1,2023-01-02 00:00:00+00:00,2023-01-02 07:00:00+00:00,8,20,0,131.051,130.907,False,0
2023-01-03,2023H1,2023-01-03 00:00:00+00:00,2023-01-03 07:00:00+00:00,28,0,0,130.904,129.506,True,0
2023-01-04,2023H1,2023-01-04 00:00:00+00:00,2023-01-04 07:00:00+00:00,28,0,0,131.308,130.583,True,0
2023-01-05,2023H1,2023-01-05 00:00:00+00:00,2023-01-05 07:00:00+00:00,28,0,0,132.626,131.679,True,0
2023-01-06,2023H1,2023-01-06 00:00:00+00:00,2023-01-06 07:00:00+00:00,28,0,0,134.368,133.305,True,0
2023-01-08,2023H1,2023-01-08 00:00:00+00:00,2023-01-08 07:00:00+00:00,0,28,0,,,False,0
2023-01-09,2023H1,2023-01-09 00:00:00+00:00,2023-01-09 07:00:00+00:00,28,0,0,132.113,131.304,True,0
2023-01-10,2023H1,2023-01-10 00:00:00+00:00,2023-01-10 07:00:00+00:00,28,0,0,132.221,131.38,True,0
2023-01-11,2023H1,2023-01-11 00:00:00+00:00,2023-01-11 07:00:00+00:00,28,0,0,132.583,132.09,True,0
2023-01-12,2023H1,2023-01-12 00:00:00+00:00,2023-01-12 07:00:00+00:00,28,0,0,132.031,131.361,True,0
2023-01-13,2023H1,2023-01-13 00:00:00+00:00,2023-01-13 07:00:00+00:00,28,0,0,129.347,128.4,True,0
2023-01-15,2023H1,2023-01-15 00:00:00+00:00,2023-01-15 07:00:00+00:00,0,28,0,,,False,0
2023-01-16,2023H1,2023-01-16 00:00:00+00:00,2023-01-16 07:00:00+00:00,28,0,0,128.196,127.218,True,0
2023-01-17,2023H1,2023-01-17 00:00:00+00:00,2023-01-17 07:00:00+00:00,28,0,0,129.155,128.3,True,0
2023-01-18,2023H1,2023-01-18 00:00:00+00:00,2023-01-18 07:00:00+00:00,28,0,0,131.574,128.219,True,0
2023-01-19,2023H1,2023-01-19 00:00:00+00:00,2023-01-19 07:00:00+00:00,28,0,0,128.694,127.761,True,0
