opportunity_id,authority_present,reproduced_present,fold_mismatch,signal_utc_mismatch,entry_utc_mismatch,exit_utc_mismatch,side_mismatch,entry_bid_abs_delta,exit_bid_abs_delta,net_pips_abs_delta,normalized_pl_jpy_abs_delta
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-03T08:45:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,5.551115123125783e-17,4.440892098500626e-16
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-04T12:15:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-05T09:00:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-06T08:15:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-06T14:00:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-09T08:45:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-10T07:30:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-11T08:45:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-13T09:30:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-16T11:30:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-17T14:30:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-18T13:45:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-19T11:45:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-23T07:45:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-24T07:15:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-24T15:15:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-25T09:15:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-26T08:00:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-27T07:15:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,3.552713678800501e-15,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-30T14:30:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-31T08:00:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-01T08:00:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,5.684341886080802e-14
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-02T08:45:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-02T13:45:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-03T11:00:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,2.2737367544323206e-13
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-07T07:15:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-08T09:30:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-08T14:45:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-09T10:30:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-10T16:30:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-14T13:45:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-15T07:15:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-16T08:30:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,2.842170943040401e-14
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-16T13:45:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-17T07:30:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-20T13:45:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-22T12:30:00+00:00|1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
2023H1|F_ASIAN_RANGE_SWEEP|2023-02-23T12:00:00+00:00|-1,True,True,False,False,False,False,False,0.0,0.0,0.0,0.0
