opportunity_id,fold,date,side,side_label,reason,signal_utc,entry_utc,exit_utc,signal_i,entry_i,exit_i,asian_high,asian_low,asian_bar_count,signal_open,signal_high,signal_low,signal_close,entry_bid_atlas,exit_bid_atlas,atlas_net_pips,atlas_normalized_pl_jpy
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-03T08:45:00+00:00|-1,2023H1,2023-01-03,-1,SHORT,asian_high,2023-01-03 08:30:00+00:00,2023-01-03 08:45:00+00:00,2023-01-03 11:45:00+00:00,110,111,123,130.904,129.506,28,130.763,130.958,130.66,130.748,130.748,130.74,0.29999999999813554,2.9999999999813554
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-04T12:15:00+00:00|1,2023H1,2023-01-04,1,LONG,asian_low,2023-01-04 12:00:00+00:00,2023-01-04 12:15:00+00:00,2023-01-04 15:15:00+00:00,220,221,233,131.308,130.583,28,130.535,130.754,130.518,130.741,130.741,131.729,98.29999999999995,982.9999999999995
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-05T09:00:00+00:00|-1,2023H1,2023-01-05,-1,SHORT,asian_high,2023-01-05 08:45:00+00:00,2023-01-05 09:00:00+00:00,2023-01-05 12:00:00+00:00,303,304,316,132.626,131.679,28,132.809,132.84,132.551,132.588,132.588,132.453,12.99999999999909,129.9999999999909
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-06T08:15:00+00:00|-1,2023H1,2023-01-06,-1,SHORT,asian_high,2023-01-06 08:00:00+00:00,2023-01-06 08:15:00+00:00,2023-01-06 11:15:00+00:00,396,397,409,134.368,133.305,28,134.22,134.421,134.213,134.281,134.281,134.349,-7.299999999998363,-72.99999999998363
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-06T14:00:00+00:00|1,2023H1,2023-01-06,1,LONG,asian_low,2023-01-06 13:45:00+00:00,2023-01-06 14:00:00+00:00,2023-01-06 17:00:00+00:00,419,420,432,134.368,133.305,28,133.542,133.593,133.236,133.369,133.369,132.208,-116.60000000000014,-1166.0000000000014
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-09T08:45:00+00:00|-1,2023H1,2023-01-09,-1,SHORT,asian_high,2023-01-09 08:30:00+00:00,2023-01-09 08:45:00+00:00,2023-01-09 11:45:00+00:00,494,495,507,132.113,131.304,28,132.141,132.173,132.065,132.065,132.066,132.433,-37.19999999999902,-371.9999999999902
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-10T07:30:00+00:00|-1,2023H1,2023-01-10,-1,SHORT,asian_high,2023-01-10 07:15:00+00:00,2023-01-10 07:30:00+00:00,2023-01-10 10:30:00+00:00,585,586,598,132.221,131.38,28,132.128,132.248,132.049,132.183,132.183,131.993,18.499999999999773,184.99999999999773
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-11T08:45:00+00:00|-1,2023H1,2023-01-11,-1,SHORT,asian_high,2023-01-11 08:30:00+00:00,2023-01-11 08:45:00+00:00,2023-01-11 11:45:00+00:00,686,687,699,132.583,132.09,28,132.652,132.673,132.537,132.54,132.544,132.548,-0.8999999999990678,-8.999999999990678
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-13T09:30:00+00:00|1,2023H1,2023-01-13,1,LONG,asian_low,2023-01-13 09:15:00+00:00,2023-01-13 09:30:00+00:00,2023-01-13 12:30:00+00:00,881,882,894,129.347,128.4,28,128.25,128.719,128.231,128.629,128.629,128.72,8.600000000000819,86.00000000000819
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-16T11:30:00+00:00|-1,2023H1,2023-01-16,-1,SHORT,asian_high,2023-01-16 11:15:00+00:00,2023-01-16 11:30:00+00:00,2023-01-16 14:30:00+00:00,985,986,998,128.196,127.218,28,128.379,128.384,128.144,128.171,128.171,128.392,-22.600000000000364,-226.00000000000364
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-17T14:30:00+00:00|1,2023H1,2023-01-17,1,LONG,asian_low,2023-01-17 14:15:00+00:00,2023-01-17 14:30:00+00:00,2023-01-17 17:30:00+00:00,1093,1094,1106,129.155,128.3,28,128.413,128.535,128.279,128.441,128.441,128.266,-18.000000000001137,-180.00000000001137
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-18T13:45:00+00:00|1,2023H1,2023-01-18,1,LONG,asian_low,2023-01-18 13:30:00+00:00,2023-01-18 13:45:00+00:00,2023-01-18 16:45:00+00:00,1186,1187,1199,131.574,128.219,28,128.736,128.736,128.136,128.257,128.258,128.589,32.599999999998886,325.99999999998886
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-19T11:45:00+00:00|-1,2023H1,2023-01-19,-1,SHORT,asian_high,2023-01-19 11:30:00+00:00,2023-01-19 11:45:00+00:00,2023-01-19 14:45:00+00:00,1274,1275,1287,128.694,127.761,28,128.576,128.718,128.573,128.692,128.692,128.35,33.700000000001296,337.00000000001296
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-23T07:45:00+00:00|-1,2023H1,2023-01-23,-1,SHORT,asian_high,2023-01-23 07:30:00+00:00,2023-01-23 07:45:00+00:00,2023-01-23 10:45:00+00:00,1450,1451,1463,130.171,129.041,28,130.24,130.297,130.114,130.119,130.117,129.927,18.499999999999773,184.99999999999773
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-24T07:15:00+00:00|1,2023H1,2023-01-24,1,LONG,asian_low,2023-01-24 07:00:00+00:00,2023-01-24 07:15:00+00:00,2023-01-24 10:15:00+00:00,1544,1545,1557,130.729,130.044,28,130.049,130.2,129.93,130.189,130.189,130.198,0.4000000000014552,4.000000000014552
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-24T15:15:00+00:00|-1,2023H1,2023-01-24,-1,SHORT,asian_high,2023-01-24 15:00:00+00:00,2023-01-24 15:15:00+00:00,2023-01-24 18:15:00+00:00,1576,1577,1589,130.729,130.044,28,131.064,131.106,130.641,130.672,130.671,129.989,67.6999999999988,676.999999999988
