opportunity_id,fold,date,side,side_label,reason,signal_utc,entry_utc,exit_utc,signal_i,entry_i,exit_i,asian_high,asian_low,asian_bar_count,signal_open,signal_high,signal_low,signal_close,entry_bid_atlas,exit_bid_atlas,atlas_net_pips,atlas_normalized_pl_jpy,raw_asian_bar_count,raw_missing_bar_count,raw_asian_high,raw_asian_low,raw_signal_resolved,raw_signal_open,raw_signal_high,raw_signal_low,raw_signal_close,raw_signal_first_tick,raw_signal_last_tick,raw_signal_ticks,raw_signal_side,raw_side_match,execution_resolved,entry_execution_time,exit_execution_time,entry_bid,entry_ask,exit_bid,exit_ask,entry_spread_pips,exit_spread_pips,pnl_pips,pnl_jpy,mfe_pips,mae_pips,time_to_mfe_seconds,time_to_mae_seconds,holding_seconds,accepted_missing_bar_count,range_size_pips,sweep_depth_pips,close_back_inside_depth_pips,signal_body_pips,signal_wick_pips,decision_time,exit_boundary,candidate_id,data_quality_flags,baseline_daily_pl_jpy,baseline_drawdown_state_jpy,concurrent_exposure_count,B02_overlap,F05_overlap,same_direction_exposure,opposite_direction_exposure
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-03T08:45:00+00:00|-1,2023H1,2023-01-03,-1,SHORT,asian_high,2023-01-03 08:30:00+00:00,2023-01-03 08:45:00+00:00,2023-01-03 11:45:00+00:00,110,111,123,130.904,129.506,28,130.763,130.958,130.66,130.748,130.748,130.74,0.29999999999813554,2.9999999999813554,28,0,130.903,129.507,True,130.757,130.956,130.658,130.745,2023-01-03 08:30:00.032000+00:00,2023-01-03 08:44:59.842000+00:00,5307,-1,True,True,2023-01-03 08:45:00.559000+00:00,2023-01-03 11:45:00.122000+00:00,130.746,130.754,130.734,130.742,0.7999999999981355,0.7999999999981355,0.40000000000190994,4.000000000019099,43.00000000000068,-12.09999999999809,2091.839,296.809,10799.563,0,139.7999999999996,5.400000000000205,15.600000000000591,1.500000000001478,19.499999999999318,2023-01-03 08:45:00+00:00,2023-01-03 11:45:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-129.0,0.0,0,False,False,0,0
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-04T12:15:00+00:00|1,2023H1,2023-01-04,1,LONG,asian_low,2023-01-04 12:00:00+00:00,2023-01-04 12:15:00+00:00,2023-01-04 15:15:00+00:00,220,221,233,131.308,130.583,28,130.535,130.754,130.518,130.741,130.741,131.729,98.29999999999995,982.9999999999995,28,0,131.304,130.577,True,130.531,130.75,130.515,130.737,2023-01-04 12:00:00.051000+00:00,2023-01-04 12:14:59.670000+00:00,3022,1,True,True,2023-01-04 12:15:00.069000+00:00,2023-01-04 15:15:00.051000+00:00,130.737,130.744,131.73,131.737,0.7000000000005002,0.7000000000005002,98.599999999999,985.99999999999,100.7000000000005,-16.30000000000109,10598.405,5761.961,10799.982,0,72.49999999999943,6.499999999999773,15.800000000001546,20.600000000001728,1.6999999999995907,2023-01-04 12:15:00+00:00,2023-01-04 15:15:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-1599.0,0.0,1,True,False,0,1
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-05T09:00:00+00:00|-1,2023H1,2023-01-05,-1,SHORT,asian_high,2023-01-05 08:45:00+00:00,2023-01-05 09:00:00+00:00,2023-01-05 12:00:00+00:00,303,304,316,132.626,131.679,28,132.809,132.84,132.551,132.588,132.588,132.453,12.99999999999909,129.9999999999909,28,0,132.623,131.681,True,132.811,132.84,132.552,132.588,2023-01-05 08:45:00.098000+00:00,2023-01-05 08:59:59.894000+00:00,3074,-1,True,True,2023-01-05 09:00:00.320000+00:00,2023-01-05 12:00:00.104000+00:00,132.589,132.595,132.452,132.457,0.6000000000000227,0.49999999999954525,13.2000000000005,132.000000000005,25.99999999999909,-11.299999999999955,7787.454,720.991,10799.784,0,94.70000000000027,21.399999999999864,3.8000000000010914,22.100000000000364,3.100000000000591,2023-01-05 09:00:00+00:00,2023-01-05 12:00:00+00:00,A_EXACT_EXECUTABLE_12BAR,,1001.0,1599.0,2,True,True,0,2
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-06T08:15:00+00:00|-1,2023H1,2023-01-06,-1,SHORT,asian_high,2023-01-06 08:00:00+00:00,2023-01-06 08:15:00+00:00,2023-01-06 11:15:00+00:00,396,397,409,134.368,133.305,28,134.22,134.421,134.213,134.281,134.281,134.349,-7.299999999998363,-72.99999999998363,28,0,134.368,133.301,True,134.22,134.421,134.213,134.282,2023-01-06 08:00:00.088000+00:00,2023-01-06 08:14:59.962000+00:00,4745,-1,True,True,2023-01-06 08:15:00.013000+00:00,2023-01-06 11:15:00.281000+00:00,134.281,134.288,134.349,134.354,0.7000000000005002,0.5000000000023874,-7.30000000000075,-73.0000000000075,12.5,-31.799999999998363,207.57,4031.434,10800.268,0,106.29999999999882,5.299999999999727,8.699999999998909,6.100000000000705,13.999999999998636,2023-01-06 08:15:00+00:00,2023-01-06 11:15:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-6930.0,695.0,3,True,True,0,3
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-06T14:00:00+00:00|1,2023H1,2023-01-06,1,LONG,asian_low,2023-01-06 13:45:00+00:00,2023-01-06 14:00:00+00:00,2023-01-06 17:00:00+00:00,419,420,432,134.368,133.305,28,133.542,133.593,133.236,133.369,133.369,132.208,-116.60000000000014,-1166.0000000000014,28,0,134.368,133.301,True,133.544,133.592,133.231,133.371,2023-01-06 13:45:00.026000+00:00,2023-01-06 13:59:59.946000+00:00,8267,1,True,True,2023-01-06 14:00:00.099000+00:00,2023-01-06 17:00:00.063000+00:00,133.37,133.376,132.21,132.216,0.6000000000000227,0.6000000000000227,-116.59999999999968,-1165.9999999999968,72.20000000000084,-119.40000000000168,2721.648,10751.501,10799.964,0,106.29999999999882,6.900000000001683,6.399999999999295,17.300000000000182,13.300000000000978,2023-01-06 14:00:00+00:00,2023-01-06 17:00:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-6930.0,1498.0,4,True,True,3,1
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-09T08:45:00+00:00|-1,2023H1,2023-01-09,-1,SHORT,asian_high,2023-01-09 08:30:00+00:00,2023-01-09 08:45:00+00:00,2023-01-09 11:45:00+00:00,494,495,507,132.113,131.304,28,132.141,132.173,132.065,132.065,132.066,132.433,-37.19999999999902,-371.9999999999902,28,0,132.112,131.304,True,132.143,132.176,132.065,132.067,2023-01-09 08:30:00.050000+00:00,2023-01-09 08:44:59.920000+00:00,4012,-1,True,True,2023-01-09 08:45:00.066000+00:00,2023-01-09 11:45:00.128000+00:00,132.066,132.072,132.435,132.442,0.6000000000000227,0.7000000000005002,-37.60000000000048,-376.0000000000048,7.099999999999795,-59.499999999999886,283.486,7323.17,10800.062,0,80.89999999999975,6.000000000000227,4.800000000000182,7.599999999999341,3.2000000000010687,2023-01-09 08:45:00+00:00,2023-01-09 11:45:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-3903.0,8047.0,4,True,True,3,1
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-10T07:30:00+00:00|-1,2023H1,2023-01-10,-1,SHORT,asian_high,2023-01-10 07:15:00+00:00,2023-01-10 07:30:00+00:00,2023-01-10 10:30:00+00:00,585,586,598,132.221,131.38,28,132.128,132.248,132.049,132.183,132.183,131.993,18.499999999999773,184.99999999999773,28,0,132.221,131.38,True,132.126,132.245,132.048,132.178,2023-01-10 07:15:00.142000+00:00,2023-01-10 07:29:59.763000+00:00,4334,-1,True,True,2023-01-10 07:30:00.099000+00:00,2023-01-10 10:30:01.388000+00:00,132.179,132.187,131.995,132.0,0.8000000000009777,0.49999999999954525,17.900000000000205,179.00000000000205,48.40000000000089,-11.599999999998545,7136.014,1693.398,10801.289,0,84.10000000000082,2.6999999999986812,3.8000000000010914,5.500000000000682,6.499999999999773,2023-01-10 07:30:00+00:00,2023-01-10 10:30:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-154.0,11528.0,1,True,False,0,1
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-11T08:45:00+00:00|-1,2023H1,2023-01-11,-1,SHORT,asian_high,2023-01-11 08:30:00+00:00,2023-01-11 08:45:00+00:00,2023-01-11 11:45:00+00:00,686,687,699,132.583,132.09,28,132.652,132.673,132.537,132.54,132.544,132.548,-0.8999999999990678,-8.999999999990678,28,0,132.578,132.089,True,132.649,132.673,132.534,132.537,2023-01-11 08:30:00.216000+00:00,2023-01-11 08:44:59.160000+00:00,3147,-1,True,True,2023-01-11 08:45:00.404000+00:00,2023-01-11 11:45:00.284000+00:00,132.541,132.545,132.544,132.55,0.39999999999906777,0.6000000000000227,-0.9000000000014552,-9.000000000014552,22.399999999998954,-21.100000000001273,5193.935,915.941,10799.88,0,49.2999999999995,9.000000000000341,4.300000000000637,11.199999999999477,2.1000000000015007,2023-01-11 08:45:00+00:00,2023-01-11 11:45:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-703.0,11682.0,3,True,True,0,3
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-13T09:30:00+00:00|1,2023H1,2023-01-13,1,LONG,asian_low,2023-01-13 09:15:00+00:00,2023-01-13 09:30:00+00:00,2023-01-13 12:30:00+00:00,881,882,894,129.347,128.4,28,128.25,128.719,128.231,128.629,128.629,128.72,8.600000000000819,86.00000000000819,28,0,129.346,128.397,True,128.249,128.721,128.231,128.626,2023-01-13 09:15:00.053000+00:00,2023-01-13 09:29:59.216000+00:00,3177,1,True,True,2023-01-13 09:30:00.337000+00:00,2023-01-13 12:30:00.052000+00:00,128.628,128.637,128.717,128.729,0.9000000000014552,1.2000000000000455,8.00000000000125,80.0000000000125,15.899999999999181,-36.7999999999995,9964.181,3277.407,10799.715,0,94.70000000000027,16.900000000001114,22.8999999999985,37.89999999999907,1.9000000000005457,2023-01-13 09:30:00+00:00,2023-01-13 12:30:00+00:00,A_EXACT_EXECUTABLE_12BAR,,1724.0,4224.0,3,True,True,0,3
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-16T11:30:00+00:00|-1,2023H1,2023-01-16,-1,SHORT,asian_high,2023-01-16 11:15:00+00:00,2023-01-16 11:30:00+00:00,2023-01-16 14:30:00+00:00,985,986,998,128.196,127.218,28,128.379,128.384,128.144,128.171,128.171,128.392,-22.600000000000364,-226.00000000000364,28,0,128.195,127.218,True,128.375,128.38,128.139,128.166,2023-01-16 11:15:00.297000+00:00,2023-01-16 11:29:59.644000+00:00,1891,-1,True,True,2023-01-16 11:30:01.230000+00:00,2023-01-16 14:30:00.100000+00:00,128.166,128.174,128.388,128.397,0.8000000000009777,0.899999999998613,-23.099999999999454,-230.99999999999454,4.599999999999227,-40.29999999999916,107.461,6603.211,10798.87,0,97.79999999999944,18.799999999998818,2.5000000000005684,20.79999999999984,0.49999999999954525,2023-01-16 11:30:00+00:00,2023-01-16 14:30:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-1059.0,3589.0,1,True,False,0,1
