event_id,date,fold,side,side_label,reason,session,signal_bar_start,decision_time,entry_time,exit_boundary,exit_time,asian_high,asian_low,signal_open,signal_high,signal_low,signal_close,range_size_pips,sweep_depth_pips,close_back_inside_pips,entry_bid,entry_ask,exit_bid,exit_ask,entry_spread_pips,exit_spread_pips,pnl_pips,pnl_jpy,signal_global_i,entry_delay_1s_pnl_jpy,exit_delay_1s_pnl_jpy,entry_delay_5s_pnl_jpy,exit_delay_5s_pnl_jpy,entry_delay_15s_pnl_jpy,exit_delay_15s_pnl_jpy,H4_information_time,H4_bucket_start_server,H4_fast_value,H4_slow_value,H4_slope,H4_raw_state,H4_previous_raw_state,H4_state,H4_state_start,H4_state_duration_hours,H4_last_state_change,D1_information_time,D1_bucket_start_server,D1_fast_value,D1_slow_value,D1_slope,D1_raw_state,D1_previous_raw_state,D1_state,D1_state_start,D1_state_duration_hours,D1_last_state_change,H4D_state,D1D_state,H4D_fast_value,D1D_fast_value,H4D_slow_value,D1D_slow_value,schedule_class
RAW|2023-01-02|2023-01-02T11:00:00Z|1,2023-01-02,2023H1,1,LONG,asian_low,LONDON,2023-01-02 11:00:00+00:00,2023-01-02 11:15:00+00:00,2023-01-02 11:15:04.096000+00:00,2023-01-02 14:15:00+00:00,2023-01-02 14:15:11.384000+00:00,131.041,130.785,130.778,130.876,130.776,130.826,25.600000000000023,0.899999999998613,4.099999999999682,130.827,130.849,130.669,130.685,2.199999999999136,1.5999999999991132,-17.99999999999784,-179.9999999999784,52,-179.9999999999784,-179.9999999999784,-182.99999999999272,-179.9999999999784,-182.99999999999272,-179.00000000000205,2023-01-02 10:00:00+00:00,2023-01-02 08:00:00+00:00,130.9035306122449,130.91461920000003,-1.1088587755125445,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,Neutral,,130.91814285714287,,130.91876000000002,,raw_only
RAW|2023-01-03|2023-01-03T08:30:00Z|-1,2023-01-03,2023H1,-1,SHORT,asian_high,LONDON,2023-01-03 08:30:00+00:00,2023-01-03 08:45:00+00:00,2023-01-03 08:45:00.559000+00:00,2023-01-03 11:45:00+00:00,2023-01-03 11:45:00.122000+00:00,130.903,129.507,130.757,130.956,130.658,130.745,139.59999999999866,5.299999999999727,15.799999999998704,130.746,130.754,130.734,130.742,0.7999999999981355,0.7999999999981355,0.40000000000190994,4.000000000019099,138,4.000000000019099,1.0000000000047748,2.0000000000095497,2.0000000000095497,12.000000000000455,10.000000000019327,2023-01-03 06:00:00+00:00,2023-01-03 04:00:00+00:00,130.36101321849617,130.72448454958962,-36.34713310934501,Neutral,Neutral,Neutral,,,,2023-01-02 22:00:00+00:00,2023-01-02 00:00:00+00:00,130.608,130.608,0.0,Neutral,Neutral,Neutral,,,,Neutral,,130.58021850589466,,130.80374407564088,,common_intersection
RAW|2023-01-04|2023-01-04T12:00:00Z|1,2023-01-04,2023H1,1,LONG,asian_low,LONDON_NY_OVERLAP,2023-01-04 12:00:00+00:00,2023-01-04 12:15:00+00:00,2023-01-04 12:15:00.069000+00:00,2023-01-04 15:15:00+00:00,2023-01-04 15:15:00.051000+00:00,131.304,130.577,130.531,130.75,130.515,130.737,72.70000000000039,6.200000000001182,15.999999999999659,130.737,130.744,131.73,131.737,0.7000000000005002,0.7000000000005002,98.599999999999,985.99999999999,248,975.9999999999991,986.9999999999948,997.9999999999905,1014.00000000001,993.9999999999998,1030.0000000000011,2023-01-04 10:00:00+00:00,2023-01-04 08:00:00+00:00,130.63460794602713,130.70625955060112,-7.165160457398656,Neutral,Neutral,Neutral,,,,2023-01-03 22:00:00+00:00,2023-01-03 00:00:00+00:00,130.722,130.63992000000002,8.20799999999906,Neutral,Neutral,Neutral,,,,Neutral,Neutral,130.72125112443797,130.608,130.73132559847946,130.608,common_intersection
RAW|2023-01-05|2023-01-05T08:45:00Z|-1,2023-01-05,2023H1,-1,SHORT,asian_high,LONDON,2023-01-05 08:45:00+00:00,2023-01-05 09:00:00+00:00,2023-01-05 09:00:00.320000+00:00,2023-01-05 12:00:00+00:00,2023-01-05 12:00:00.104000+00:00,132.623,131.681,132.811,132.84,132.552,132.588,94.19999999999789,21.700000000001296,3.499999999999659,132.589,132.595,132.452,132.457,0.6000000000000227,0.49999999999954525,13.2000000000005,132.000000000005,331,135.00000000001933,133.99999999998613,170.00000000001592,138.00000000000523,175.00000000001137,131.00000000000023,2023-01-05 06:00:00+00:00,2023-01-05 04:00:00+00:00,131.92747259066667,131.18510590163916,74.23666890275058,Neutral,Neutral,Neutral,,,,2023-01-04 22:00:00+00:00,2023-01-04 00:00:00+00:00,131.2617142857143,130.7976064,46.41078857142986,Neutral,Neutral,Neutral,,,,Neutral,Neutral,131.70606162693335,130.722,131.07241945830344,130.63992000000002,common_intersection
RAW|2023-01-06|2023-01-06T08:00:00Z|-1,2023-01-06,2023H1,-1,SHORT,asian_high,LONDON,2023-01-06 08:00:00+00:00,2023-01-06 08:15:00+00:00,2023-01-06 08:15:00.013000+00:00,2023-01-06 11:15:00+00:00,2023-01-06 11:15:00.281000+00:00,134.368,133.301,134.22,134.421,134.213,134.282,106.70000000000073,5.299999999999727,8.599999999998431,134.281,134.288,134.349,134.354,0.7000000000005002,0.5000000000023874,-7.30000000000075,-73.0000000000075,424,-71.00000000002638,-69.99999999999318,-73.0000000000075,-73.99999999998386,-70.0000000000216,-79.99999999998408,2023-01-06 06:00:00+00:00,2023-01-06 04:00:00+00:00,133.46134322628467,132.10791325480676,135.3429971477908,Up,Up,Up,2023-01-05 22:00:00+00:00,8.0,2023-01-05 22:00:00+00:00,2023-01-05 22:00:00+00:00,2023-01-05 00:00:00+00:00,131.8723673469388,131.005717888,86.66494589388094,Neutral,Neutral,Neutral,,,,Up,Neutral,133.18388051679855,131.2617142857143,131.92990571174647,130.7976064,common_intersection
RAW|2023-01-06|2023-01-06T13:45:00Z|1,2023-01-06,2023H1,1,LONG,asian_low,LONDON_NY_OVERLAP,2023-01-06 13:45:00+00:00,2023-01-06 14:00:00+00:00,2023-01-06 14:00:00.099000+00:00,2023-01-06 17:00:00+00:00,2023-01-06 17:00:00.063000+00:00,134.368,133.301,133.544,133.592,133.231,133.371,106.70000000000073,6.999999999999318,7.00000000000216,133.37,133.376,132.21,132.216,0.6000000000000227,0.6000000000000227,-116.59999999999968,-1165.9999999999968,447,-1156.9999999999823,-1164.999999999992,-1192.9999999999836,-1147.9999999999961,-1117.999999999995,-1173.0000000000018,2023-01-06 14:00:00+00:00,2023-01-06 12:00:00+00:00,133.62913429912484,132.37839377886846,125.0740520256386,Up,Up,Up,2023-01-05 22:00:00+00:00,16.0,2023-01-05 22:00:00+00:00,2023-01-05 22:00:00+00:00,2023-01-05 00:00:00+00:00,131.8723673469388,131.005717888,86.66494589388094,Neutral,Neutral,Neutral,,,,Up,Neutral,133.73238801877477,131.2617142857143,132.29208019442223,130.7976064,common_intersection
RAW|2023-01-09|2023-01-09T08:30:00Z|-1,2023-01-09,2023H1,-1,SHORT,asian_high,LONDON,2023-01-09 08:30:00+00:00,2023-01-09 08:45:00+00:00,2023-01-09 08:45:00.066000+00:00,2023-01-09 11:45:00+00:00,2023-01-09 11:45:00.128000+00:00,132.112,131.304,132.143,132.176,132.065,132.067,80.79999999999927,6.399999999999295,4.4999999999987494,132.066,132.072,132.435,132.442,0.6000000000000227,0.7000000000005002,-37.60000000000048,-376.0000000000048,522,-377.00000000000955,-379.99999999999545,-394.00000000000546,-383.0000000000098,-408.00000000001546,-379.99999999999545,2023-01-09 06:00:00+00:00,2023-01-09 04:00:00+00:00,132.341673026636,132.24807956856918,9.359345806680608,Up,Up,Up,2023-01-05 22:00:00+00:00,80.0,2023-01-05 22:00:00+00:00,2023-01-06 22:00:00+00:00,2023-01-06 00:00:00+00:00,131.91740524781343,131.08766045696,82.97447908534252,Neutral,Neutral,Neutral,,,,Up,Neutral,132.5411422372904,131.8723673469388,132.28330387887954,131.005717888,common_intersection
RAW|2023-01-10|2023-01-10T07:15:00Z|-1,2023-01-10,2023H1,-1,SHORT,asian_high,LONDON,2023-01-10 07:15:00+00:00,2023-01-10 07:30:00+00:00,2023-01-10 07:30:00.099000+00:00,2023-01-10 10:30:00+00:00,2023-01-10 10:30:01.388000+00:00,132.221,131.38,132.126,132.245,132.048,132.178,84.10000000000082,2.400000000000091,4.300000000000637,132.179,132.187,131.995,132.0,0.8000000000009777,0.49999999999954525,17.900000000000205,179.00000000000205,613,180.00000000000682,179.00000000000205,171.99999999999704,180.00000000000682,169.9999999999875,174.0000000000066,2023-01-10 06:00:00+00:00,2023-01-10 04:00:00+00:00,131.84468103461302,132.0834633415307,-23.878230691767044,Down,Down,Down,2023-01-09 14:00:00+00:00,16.0,2023-01-09 14:00:00+00:00,2023-01-09 22:00:00+00:00,2023-01-09 00:00:00+00:00,131.90300374843815,131.15000762040322,75.29961280349369,Neutral,Neutral,Neutral,,,,Down,Neutral,131.87375344845822,131.91740524781343,132.11054711035942,131.08766045696,common_intersection
RAW|2023-01-11|2023-01-11T08:30:00Z|-1,2023-01-11,2023H1,-1,SHORT,asian_high,LONDON,2023-01-11 08:30:00+00:00,2023-01-11 08:45:00+00:00,2023-01-11 08:45:00.404000+00:00,2023-01-11 11:45:00+00:00,2023-01-11 11:45:00.284000+00:00,132.578,132.089,132.649,132.673,132.534,132.537,48.90000000000043,9.499999999999886,4.099999999999682,132.541,132.545,132.544,132.55,0.39999999999906777,0.6000000000000227,-0.9000000000014552,-9.000000000014552,714,-14.000000000010004,-10.99999999999568,-6.000000000000227,-9.000000000014552,-8.000000000009777,-0.0,2023-01-11 06:00:00+00:00,2023-01-11 04:00:00+00:00,132.20184623044673,132.13649974162396,6.534648882276883,Up,Up,Up,2023-01-11 02:00:00+00:00,4.0,2023-01-11 02:00:00+00:00,2023-01-10 22:00:00+00:00,2023-01-10 00:00:00+00:00,132.0001455345987,131.23744701077095,76.2698523827737,Neutral,Neutral,Neutral,,,,Transition,Neutral,132.17898472262544,131.90300374843815,132.12584754524343,131.15000762040322,common_intersection
RAW|2023-01-13|2023-01-13T09:15:00Z|1,2023-01-13,2023H1,1,LONG,asian_low,LONDON,2023-01-13 09:15:00+00:00,2023-01-13 09:30:00+00:00,2023-01-13 09:30:00.337000+00:00,2023-01-13 12:30:00+00:00,2023-01-13 12:30:00.052000+00:00,129.346,128.397,128.249,128.721,128.231,128.626,94.90000000000123,16.59999999999968,22.90000000000134,128.628,128.637,128.717,128.729,0.9000000000014552,1.2000000000000455,8.00000000000125,80.0000000000125,909,88.00000000002228,82.99999999999841,80.0000000000125,86.99999999998909,55.00000000000682,127.00000000000955,2023-01-13 06:00:00+00:00,2023-01-13 04:00:00+00:00,129.6478948888798,131.09129509605827,-144.34002071784846,Down,Down,Down,2023-01-12 06:00:00+00:00,24.0,2023-01-12 06:00:00+00:00,2023-01-12 22:00:00+00:00,2023-01-12 00:00:00+00:00,131.3151762931626,131.17047274991657,14.470354324603818,Neutral,Neutral,Neutral,,,,Down,Neutral,129.8430528444317,132.13324681042764,131.25923380006333,131.3357312499093,common_intersection
