regime,transition_timestamp,previous_state,new_state,state_duration_hours,pre_5bd_trades,pre_5bd_net_jpy,post_5bd_trades,post_5bd_net_jpy,cluster_5bd_net_jpy,cluster_5bd_mdd_jpy,time_to_first_post_entry_hours_5bd,pre_10bd_trades,pre_10bd_net_jpy,post_10bd_trades,post_10bd_net_jpy,cluster_10bd_net_jpy,cluster_10bd_mdd_jpy,time_to_first_post_entry_hours_10bd,candidate_id
H4,2023-01-05T22:00:00Z,Neutral,Up,0.0,0,0.0,2,-986.9999999999948,-986.9999999999948,1165.9999999999968,16.0000275,0,0.0,4,-954.0000000000077,-954.0000000000077,1217.9999999999893,16.0000275,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-01-09T14:00:00Z,Up,Down,0.0,1,-1165.9999999999968,2,-51.9999999999925,-1217.9999999999893,1217.9999999999893,17.5000275,1,-1165.9999999999968,3,211.9999999999891,-954.0000000000077,1217.9999999999893,17.5000275,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-01-11T02:00:00Z,Down,Up,0.0,2,-986.9999999999948,1,-230.99999999999454,-1217.9999999999893,1217.9999999999893,129.50034166666666,2,-986.9999999999948,3,36.99999999997772,-950.000000000017,1217.9999999999893,129.50034166666666,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-01-12T06:00:00Z,Up,Down,0.0,2,-986.9999999999948,1,-230.99999999999454,-1217.9999999999893,1217.9999999999893,101.50034166666666,2,-986.9999999999948,4,-286.0000000000298,-1273.0000000000246,1273.0000000000246,101.50034166666666,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-01-20T10:00:00Z,Down,Up,0.0,2,32.99999999998704,3,-523.0000000000246,-490.0000000000375,527.0000000000152,93.25053805555555,4,-954.0000000000077,5,-289.0000000000157,-1243.0000000000234,1477.0000000000323,93.25053805555555,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-01-26T02:00:00Z,Up,Down,0.0,3,-55.00000000003524,2,37.00000000000614,-18.000000000029104,527.0000000000152,6.000022499999999,4,-286.0000000000298,5,-295.99999999999227,-582.000000000022,628.9999999999907,6.000022499999999,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-01-26T18:00:00Z,Down,Up,0.0,3,-523.0000000000246,2,234.00000000000887,-289.0000000000157,527.0000000000152,110.00000972222222,5,-490.0000000000375,5,-125.99999999997635,-616.0000000000139,652.9999999999916,110.00000972222222,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-02-01T14:00:00Z,Up,Down,0.0,2,37.00000000000614,3,-332.9999999999984,-295.99999999999227,342.9999999999893,18.750060555555553,5,-18.000000000029104,4,-366.9999999999902,-385.0000000000193,652.9999999999916,18.750060555555553,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-02-03T18:00:00Z,Down,Up,0.0,2,234.00000000000887,3,-359.9999999999852,-125.99999999997635,366.9999999999902,85.25002194444446,5,-289.0000000000157,4,-118.99999999997135,-407.99999999998704,652.9999999999916,85.25002194444446,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-02-09T14:00:00Z,Up,Down,0.0,3,-359.9999999999852,1,241.00000000001387,-118.99999999997135,359.9999999999852,162.50005333333334,5,-125.99999999997635,3,384.000000000043,258.0000000000666,366.9999999999902,162.50005333333334,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-02-09T22:00:00Z,Down,Up,0.0,3,-359.9999999999852,1,241.00000000001387,-118.99999999997135,359.9999999999852,154.50005333333334,5,-125.99999999997635,4,451.00000000005025,325.0000000000739,366.9999999999902,154.50005333333334,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-02-10T14:00:00Z,Up,Down,0.0,3,-359.9999999999852,1,241.00000000001387,-118.99999999997135,359.9999999999852,138.50005333333334,5,-125.99999999997635,4,451.00000000005025,325.0000000000739,366.9999999999902,138.50005333333334,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-02-10T18:00:00Z,Down,Up,0.0,3,-359.9999999999852,1,241.00000000001387,-118.99999999997135,359.9999999999852,134.50005333333334,5,-125.99999999997635,4,451.00000000005025,325.0000000000739,366.9999999999902,134.50005333333334,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-03-03T22:00:00Z,Up,Down,0.0,4,-353.999999999985,5,-1382.999999999953,-1736.999999999938,2106.999999999971,60.25004722222223,7,-143.9999999999486,8,-1154.9999999999727,-1298.9999999999216,2778.999999999968,60.25004722222223,R1_H4_SYMMETRIC_TRANSITION_BLOCK
H4,2023-03-07T18:00:00Z,Down,Up,0.0,5,-1142.9999999999723,4,-1560.9999999999786,-2703.999999999951,2778.999999999968,18.0000125,8,-753.9999999999338,7,-1241.9999999999902,-1995.9999999999243,2778.999999999968,18.0000125,R1_H4_SYMMETRIC_TRANSITION_BLOCK
