population,regime,side_label,state,trades,net_jpy,gross_profit_jpy,gross_loss_jpy,pf,mdd_jpy,recovery_factor,win_rate,average_trade_jpy,median_trade_jpy,positive_folds,positive_months,minimum_fold_net_jpy,spread_plus_1pip_net_jpy,spread_plus_2pip_net_jpy,source_native_match_rate,B02_F05_negative_day_contribution_jpy
RAW_NATIVE,H4,LONG,Up,147,2974.000000000303,16818.0000000003,13843.999999999996,1.2148223056920184,3187.9999999999027,0.93287327478055,0.5510204081632653,20.231292517008864,24.00000000000091,3,15,-2901.999999999902,1504.0000000003029,34.0000000003015,1.0,845.000000000141
RAW_NATIVE,H4,LONG,Down,79,8383.000000000011,16582.00000000005,8199.00000000004,2.0224417611903855,1667.000000000029,5.028794241151688,0.569620253164557,106.11392405063305,80.99999999998886,4,16,64.9999999999693,7593.000000000009,6803.000000000009,1.0,10422.000000000055
RAW_NATIVE,H4,LONG,Neutral,2,806.0000000000116,985.99999999999,179.9999999999784,5.477777777778379,179.9999999999784,4.477777777778379,0.5,403.0000000000058,403.0000000000058,1,1,806.0000000000116,786.0000000000116,766.0000000000116,1.0,985.99999999999
RAW_NATIVE,H4,LONG,Transition,11,1013.0000000000337,1538.0000000000393,525.0000000000057,2.929523809523853,246.00000000000932,4.117886178861769,0.6363636363636364,92.09090909091215,37.00000000000614,2,6,-105.99999999999454,903.0000000000337,793.0000000000337,1.0,1224.000000000018
RAW_NATIVE,H4,SHORT,Up,180,-11005.000000000337,10873.999999999882,21879.00000000022,0.4970062617121337,12055.000000000262,-0.912899211945259,0.38333333333333336,-61.13888888889076,-27.50000000000341,0,6,-4113.000000000085,-12805.000000000337,-14605.000000000337,1.0,-510.00000000018986
RAW_NATIVE,H4,SHORT,Down,116,1866.9999999999616,16844.999999999884,14977.999999999922,1.12464948591267,2715.99999999998,0.6874079528718613,0.45689655172413796,16.094827586206566,-16.999999999995907,2,9,-1684.0000000000543,706.9999999999618,-453.0000000000382,1.0,3728.999999999928
RAW_NATIVE,H4,SHORT,Neutral,2,136.0000000000241,136.0000000000241,-0.0,,0.0,,1.0,68.00000000001205,68.00000000001205,1,1,136.0000000000241,116.0000000000241,96.0000000000241,1.0,4.000000000019099
RAW_NATIVE,H4,SHORT,Transition,7,349.0000000000464,567.0000000000357,217.9999999999893,2.600917431192952,164.99999999999204,2.1151515151518985,0.7142857142857143,49.85714285714948,54.000000000002046,2,4,-61.9999999999834,279.0000000000464,209.00000000004638,1.0,327.0000000000266
RAW_NATIVE,D1,LONG,Up,161,3400.0000000003192,18929.000000000367,15529.000000000055,1.2189451993045464,4254.000000000047,0.7992477668077765,0.5403726708074534,21.11801242236223,19.000000000005457,3,14,-2736.9999999999663,1790.0000000003183,180.00000000031832,1.0,3536.0000000002005
RAW_NATIVE,D1,LONG,Down,58,6597.999999999985,11504.999999999967,4906.999999999982,2.344609741186063,1039.9999999999918,6.344230769230805,0.5862068965517241,113.75862068965492,54.000000000002046,4,10,840.9999999999798,6017.999999999985,5437.999999999985,1.0,6187.999999999988
RAW_NATIVE,D1,LONG,Neutral,10,35.00000000005343,1888.0000000000337,1852.9999999999802,1.0188882892606874,1269.9999999999818,0.027559055118152705,0.6,3.5000000000053433,42.00000000000159,1,1,35.00000000005343,-64.99999999994657,-164.99999999994657,1.0,458.00000000002683
RAW_NATIVE,D1,LONG,Transition,10,3143.0000000000005,3602.0000000000045,459.0000000000032,7.847494553376862,335.9999999999843,9.354166666667105,0.7,314.30000000000007,134.50000000000273,4,7,219.99999999999886,3043.0000000000005,2943.0000000000005,1.0,3294.9999999999877
RAW_NATIVE,D1,SHORT,Up,206,-8254.000000000218,14269.99999999981,22524.00000000003,0.6335464393535691,9121.000000000182,-0.9049446332639024,0.38349514563106796,-40.0679611650496,-27.000000000015234,0,6,-2985.000000000042,-10314.000000000218,-12374.000000000218,1.0,2104.9999999998763
RAW_NATIVE,D1,SHORT,Down,78,-2415.00000000002,10925.999999999987,13341.000000000007,0.8189790870249593,3830.99999999996,-0.6303837118246007,0.48717948717948717,-30.96153846153872,-9.000000000000341,1,6,-1272.9999999999677,-3195.000000000021,-3975.000000000021,1.0,1298.9999999999784
RAW_NATIVE,D1,SHORT,Neutral,15,1027.9999999999632,2057.0000000000164,1029.0000000000532,1.9990281827015646,510.0000000000193,2.015686274509655,0.5333333333333333,68.53333333333087,4.000000000019099,1,2,1027.9999999999632,877.9999999999632,727.9999999999632,1.0,-173.00000000003024
RAW_NATIVE,D1,SHORT,Transition,6,987.9999999999711,1169.0000000000111,181.00000000004002,6.458563535910236,134.00000000001455,7.373134328357192,0.6666666666666666,164.66666666666185,91.99999999999875,3,4,-134.00000000001455,927.9999999999711,867.9999999999711,1.0,318.99999999996
