signal_utc,canonical_side,opportunity_id,raw_side,event_id,schedule_class
2023-01-02 11:00:00+00:00,,,1.0,RAW|2023-01-02|2023-01-02T11:00:00Z|1,raw_only
2023-01-03 08:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-03T08:45:00+00:00|-1,-1.0,RAW|2023-01-03|2023-01-03T08:30:00Z|-1,common_intersection
2023-01-04 12:00:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-04T12:15:00+00:00|1,1.0,RAW|2023-01-04|2023-01-04T12:00:00Z|1,common_intersection
2023-01-05 08:45:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-05T09:00:00+00:00|-1,-1.0,RAW|2023-01-05|2023-01-05T08:45:00Z|-1,common_intersection
2023-01-06 08:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-06T08:15:00+00:00|-1,-1.0,RAW|2023-01-06|2023-01-06T08:00:00Z|-1,common_intersection
2023-01-06 13:45:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-06T14:00:00+00:00|1,1.0,RAW|2023-01-06|2023-01-06T13:45:00Z|1,common_intersection
2023-01-09 08:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-09T08:45:00+00:00|-1,-1.0,RAW|2023-01-09|2023-01-09T08:30:00Z|-1,common_intersection
2023-01-10 07:15:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-10T07:30:00+00:00|-1,-1.0,RAW|2023-01-10|2023-01-10T07:15:00Z|-1,common_intersection
2023-01-11 08:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-11T08:45:00+00:00|-1,-1.0,RAW|2023-01-11|2023-01-11T08:30:00Z|-1,common_intersection
2023-01-13 09:15:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-13T09:30:00+00:00|1,1.0,RAW|2023-01-13|2023-01-13T09:15:00Z|1,common_intersection
2023-01-16 11:15:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-16T11:30:00+00:00|-1,-1.0,RAW|2023-01-16|2023-01-16T11:15:00Z|-1,common_intersection
2023-01-17 14:15:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-17T14:30:00+00:00|1,1.0,RAW|2023-01-17|2023-01-17T14:15:00Z|1,common_intersection
2023-01-18 13:30:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-18T13:45:00+00:00|1,1.0,RAW|2023-01-18|2023-01-18T13:30:00Z|1,common_intersection
2023-01-19 11:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-01-19T11:45:00+00:00|-1,,,canonical_only
