family_id,variant_id,observed_bid_ask_net_jpy,spread_plus_0_5_pip_net_jpy,spread_plus_1_0_pip_net_jpy,spread_plus_2_0_pip_net_jpy,entry_delay_5s_net_jpy,entry_delay_15s_net_jpy,adverse_slippage_0_5_pip_each_execution_net_jpy,mean_observed_spread_pips,maximum_entry_execution_delay_seconds,maximum_exit_execution_delay_seconds
A,A_FALSE_BREAKOUT_REVERSAL,-36694.0000000000,-42444.0000000000,-48194.0000000000,-59694.0000000000,-38048.9999999996,-37591.0000000002,-48194.0000000000,0.8213913043,241.5700000000,261.3500000000
B,B_BALANCE_MEAN_REVERSION,-6749.0000000000,-8494.0000000000,-10239.0000000000,-13729.0000000000,-7083.0000000000,-6679.0000000003,-10239.0000000000,0.8074498567,28.1410000000,266.2770000000
C,C_SHOCK_CONTINUATION,6092.0000000001,2842.0000000001,-407.9999999999,-6907.9999999999,6789.9999999998,6518.0000000002,-407.9999999999,0.8670769231,52.7010000000,39.2590000000
E,E_TOKYO_LONDON,1466.0000000000,861.0000000000,256.0000000000,-954.0000000000,1150.0000000002,937.9999999999,256.0000000000,0.6033057851,6.2740000000,7.7800000000
E,E_LONDON_NY,68.0000000001,-636.9999999999,-1341.9999999999,-2751.9999999999,239.0000000002,325.0000000003,-1341.9999999999,0.6347517730,15.1950000000,9.5780000000
E,E_NY_TOKYO,-2649.0000000000,-3114.0000000000,-3579.0000000000,-4509.0000000000,-2717.0000000001,-2737.0000000000,-3579.0000000000,3.5322580645,62.3230000000,32.0440000000
G,G_TREND_EXHAUSTION,-13749.9999999997,-19944.9999999997,-26139.9999999997,-38529.9999999997,-14289.0000000002,-15435.0000000007,-26139.9999999997,1.0861178370,208.6710000000,775.9690000000
H,H_COMPRESSION_BREAKOUT,-833.9999999999,-2608.9999999999,-4383.9999999999,-7933.9999999999,-730.9999999999,-1086.9999999998,-4383.9999999999,1.6135211268,243.1860000000,79.7480000000
I,I_FAILED_TREND_CONTINUATION,-2124.9999999999,-2439.9999999999,-2754.9999999999,-3384.9999999999,-2741.0000000000,-2925.0000000000,-2754.9999999999,1.7777777778,33.2130000000,23.3850000000
K,K_LONDON_OPENING_RANGE_BREAKOUT,2342.9999999998,-692.0000000002,-3727.0000000002,-9797.0000000002,1381.9999999996,1584.0000000000,-3727.0000000002,0.6303130148,12.7320000000,35.6520000000
K,K_ROUND_NUMBER_REJECTION,-17785.9999999998,-24230.9999999998,-30675.9999999998,-43565.9999999998,-17804.9999999999,-17590.0000000000,-30675.9999999998,0.9743987587,241.2200000000,78.2820000000
K,K_DAILY_TIME_SERIES_MOMENTUM,2173.0000000002,-56.9999999998,-2286.9999999998,-6746.9999999998,1890.0000000001,1552.0000000003,-2286.9999999998,0.7170403587,21.1270000000,100.5140000000
