family_id,variant_id,winner_median_15m_pips,loser_median_15m_pips,winner_minus_loser_15m_pips,winner_median_30m_pips,loser_median_30m_pips,winner_minus_loser_30m_pips,winner_median_60m_pips,loser_median_60m_pips,winner_minus_loser_60m_pips,winner_median_120m_pips,loser_median_120m_pips,winner_minus_loser_120m_pips,winner_median_240m_pips,loser_median_240m_pips,winner_minus_loser_240m_pips,entry_signal_strength_winner_median,entry_signal_strength_loser_median,entry_time_distinct_hypothesis
A,A_FALSE_BREAKOUT_REVERSAL,1.1000000000,-2.0000000000,3.1000000000,2.4000000000,-3.5000000000,5.9000000000,5.4000000000,-6.0000000000,11.4000000000,9.7000000000,-11.0000000000,20.7000000000,16.2000000000,-18.5000000000,34.7000000000,2.0000000000,2.2000000000,Test whether sweep depth and close-back-inside acceptance identify genuine rejection at entry time.
B,B_BALANCE_MEAN_REVERSION,0.6000000000,-0.6500000000,1.2500000000,2.2000000000,-3.0000000000,5.2000000000,6.4000000000,-6.0500000000,12.4500000000,7.4000000000,-13.0000000000,20.4000000000,16.2000000000,-20.0500000000,36.2500000000,2.3558579803,2.3903729999,Test whether balance persistence and standardized excursion magnitude identify reversion capacity at entry time.
C,C_SHOCK_CONTINUATION,1.9000000000,-4.5000000000,6.4000000000,4.7000000000,-6.9000000000,11.6000000000,9.1000000000,-11.1000000000,20.2000000000,17.0000000000,-17.7000000000,34.7000000000,19.9500000000,-21.2000000000,41.1500000000,2.6961325967,2.5744680851,"Test whether shock body dominance, close extremity and immediate liquidity continuity identify continuation at entry time."
E,E_TOKYO_LONDON,1.5000000000,-3.9500000000,5.4500000000,4.5000000000,-3.0500000000,7.5500000000,7.4000000000,-6.6500000000,14.0500000000,14.9000000000,-10.2000000000,25.1000000000,17.7000000000,-10.6500000000,28.3500000000,0.7994428969,0.7397346590,Test whether Tokyo displacement efficiency and transition liquidity continuity identify portable continuation at 07:00 UTC.
E,E_LONDON_NY,0.3500000000,-3.7000000000,4.0500000000,2.8000000000,-7.3000000000,10.1000000000,8.6000000000,-19.5000000000,28.1000000000,21.2500000000,-19.9000000000,41.1500000000,16.5500000000,-16.3000000000,32.8500000000,0.7813926710,0.7487437186,Test whether London displacement efficiency and transition liquidity continuity identify portable continuation at 13:00 UTC.
E,E_NY_TOKYO,-2.9000000000,-3.2000000000,0.3000000000,-2.7000000000,-3.9000000000,1.2000000000,2.3000000000,-6.2000000000,8.5000000000,7.7000000000,-8.8500000000,16.5500000000,8.1000000000,-5.3000000000,13.4000000000,0.8005390836,0.7759781725,Test whether New York displacement efficiency and rollover acceptance identify portable continuation at 21:00 UTC.
G,G_TREND_EXHAUSTION,0.8000000000,-2.9000000000,3.7000000000,2.3000000000,-4.7000000000,7.0000000000,5.4000000000,-6.9500000000,12.3500000000,11.8000000000,-11.8500000000,23.6500000000,15.5000000000,-17.4000000000,32.9000000000,2.9002900138,2.8104517432,"Test whether trend age, expansion intensity and opposite close acceptance distinguish genuine exhaustion from temporary retracement."
H,H_COMPRESSION_BREAKOUT,-0.8000000000,-2.5500000000,1.7500000000,-0.7000000000,-2.9500000000,2.2500000000,0.1000000000,-5.5000000000,5.6000000000,4.4000000000,-9.9000000000,14.3000000000,15.1000000000,-14.8000000000,29.9000000000,1.9204244032,1.9490293501,Test whether compression duration and breakout acceptance distinguish expansion from false release at entry time.
I,I_FAILED_TREND_CONTINUATION,-1.0000000000,-6.3000000000,5.3000000000,0.2500000000,-8.7000000000,8.9500000000,7.3500000000,-10.2000000000,17.5500000000,14.0500000000,-13.1000000000,27.1500000000,17.4500000000,-15.4000000000,32.8500000000,2.7299936759,2.3526238898,Test whether failed-extreme depth and EMA20 recross acceptance identify a causal continuation failure at entry time.
K,K_LONDON_OPENING_RANGE_BREAKOUT,0.9000000000,-2.1500000000,3.0500000000,1.4000000000,-3.5500000000,4.9500000000,6.1000000000,-7.3000000000,13.4000000000,12.8000000000,-12.2500000000,25.0500000000,14.5000000000,-15.3500000000,29.8500000000,4.1000000000,3.4500000000,Test whether opening-range displacement and post-break acceptance identify durable London expansion at entry time.
K,K_ROUND_NUMBER_REJECTION,0.6000000000,-2.3000000000,2.9000000000,3.1000000000,-4.1000000000,7.2000000000,6.0000000000,-7.1500000000,13.1500000000,12.4000000000,-13.3000000000,25.7000000000,17.6500000000,-20.1000000000,37.7500000000,0.5675675676,0.5597619048,"Test whether penetration depth, wick dominance and close recovery identify causal half-yen rejection at entry time."
K,K_DAILY_TIME_SERIES_MOMENTUM,1.6000000000,-2.0000000000,3.6000000000,3.1000000000,-3.5000000000,6.6000000000,7.2000000000,-6.3000000000,13.5000000000,8.3500000000,-8.5500000000,16.9000000000,14.4000000000,-10.8000000000,25.2000000000,5.7083592489,5.6304247073,Test whether four-day displacement persistence relative to ATR96 identifies daily momentum continuation at entry time.
