variant_id,family_id,old_atlas_events,dukascopy_native_events,common_signal_side_events,exact_common_events,old_atlas_only,dukascopy_only,side_mismatch_timestamps,entry_exit_boundary_mismatch,pl_mismatch,signal_side_match_rate_vs_old,exact_match_rate_vs_old,old_2023_events,new_2023_events,old_2024_events,new_2024_events,identity_is_selection_gate
A_FALSE_BREAKOUT_REVERSAL,A,1139,1150,1040,1036,99,110,0,4,895,0.9130816506,0.9095697981,558,569,581,581,False
B_BALANCE_MEAN_REVERSION,B,347,349,325,324,22,24,0,1,280,0.9365994236,0.9337175793,178,180,169,169,False
C_SHOCK_CONTINUATION,C,643,650,600,600,43,50,0,0,521,0.9331259720,0.9331259720,325,332,318,318,False
E_TOKYO_LONDON,E,119,121,117,117,2,4,0,0,104,0.9831932773,0.9831932773,60,62,59,59,False
E_LONDON_NY,E,139,141,137,137,2,4,0,0,116,0.9856115108,0.9856115108,67,69,72,72,False
E_NY_TOKYO,E,78,93,75,74,3,18,0,1,71,0.9615384615,0.9487179487,38,53,40,40,False
G_TREND_EXHAUSTION,G,1241,1239,1132,1130,109,107,0,2,976,0.9121676068,0.9105560032,618,616,623,623,False
H_COMPRESSION_BREAKOUT,H,347,355,308,305,39,47,0,3,266,0.8876080692,0.8789625360,166,174,181,181,False
I_FAILED_TREND_CONTINUATION,I,63,63,58,57,5,5,0,1,50,0.9206349206,0.9047619048,34,34,29,29,False
K_LONDON_OPENING_RANGE_BREAKOUT,K,607,607,586,585,21,21,0,1,497,0.9654036244,0.9637561779,299,299,308,308,False
K_ROUND_NUMBER_REJECTION,K,1286,1289,1163,1160,123,126,0,3,1010,0.9043545879,0.9020217729,628,631,658,658,False
K_DAILY_TIME_SERIES_MOMENTUM,K,445,446,444,443,1,2,0,1,387,0.9977528090,0.9955056180,224,225,221,221,False
