family_id,variant_id,event_lower_95_jpy,event_median_jpy,event_upper_95_jpy,event_p_non_positive,date_lower_95_jpy,date_median_jpy,date_upper_95_jpy,date_p_non_positive,session_block_lower_95_jpy,session_block_median_jpy,session_block_upper_95_jpy,session_block_p_non_positive,reps,seed
A,A_FALSE_BREAKOUT_REVERSAL,-64223.1750000001,-36693.9999999999,-9703.2750000005,0.9964000000,-63673.4750000007,-36370.4999999999,-9854.7500000004,0.9966000000,-63948.8750000003,-36446.5000000002,-9916.6500000003,0.9958000000,5000,41041
B,B_BALANCE_MEAN_REVERSION,-23152.9500000003,-6817.5000000001,8984.2999999998,0.7912000000,-22577.1749999997,-6665.9999999999,8635.8500000002,0.8044000000,-22834.7999999999,-6519.4999999999,8565.8249999998,0.7964000000,5000,41041
C,C_SHOCK_CONTINUATION,-11981.2000000001,6215.5000000000,24589.2500000001,0.2542000000,-11934.8500000001,5971.5000000000,24242.6499999998,0.2570000000,-11932.2499999996,6118.0000000002,24384.3999999993,0.2548000000,5000,41041
E,E_TOKYO_LONDON,-4171.0000000000,1355.5000000001,7305.1000000002,0.3126000000,-4138.1000000001,1376.9999999999,7179.2250000001,0.3166000000,-4213.1750000001,1416.0000000000,7407.3749999999,0.3086000000,5000,41041
E,E_LONDON_NY,-8326.8749999998,193.0000000000,8850.0750000000,0.4830000000,-8844.9249999998,81.5000000000,8596.0500000001,0.4918000000,-8926.1249999997,70.5000000002,8642.6250000001,0.4924000000,5000,41041
E,E_NY_TOKYO,-5597.0250000000,-2632.5000000001,617.0499999999,0.9472000000,-5753.0499999999,-2655.0000000001,495.0500000000,0.9534000000,-5625.3250000001,-2679.0000000000,510.0750000002,0.9480000000,5000,41041
G,G_TREND_EXHAUSTION,-38363.0749999996,-13653.9999999993,10660.8750000005,0.8592000000,-38819.9999999999,-13868.5000000000,12859.9250000007,0.8538000000,-37503.1500000005,-13983.5000000002,10838.7250000001,0.8670000000,5000,41041
H,H_COMPRESSION_BREAKOUT,-11775.4749999994,-872.5000000000,9928.6500000000,0.5630000000,-11782.2749999994,-1018.4999999999,9782.0749999998,0.5762000000,-11758.3000000002,-827.9999999997,10105.2500000000,0.5600000000,5000,41041
I,I_FAILED_TREND_CONTINUATION,-9142.4499999997,-2206.9999999999,5193.4000000000,0.7372000000,-8984.3000000000,-2418.9999999997,5159.6000000001,0.7444000000,-9225.3499999999,-2388.4999999999,5398.4500000001,0.7420000000,5000,41041
K,K_LONDON_OPENING_RANGE_BREAKOUT,-9927.7000000005,2561.4999999997,14492.1999999996,0.3448000000,-10067.6250000005,2370.4999999999,14553.6749999994,0.3568000000,-9773.7750000000,2569.4999999997,14713.1249999995,0.3472000000,5000,41041
K,K_ROUND_NUMBER_REJECTION,-45123.8250000000,-17989.5000000001,9075.3000000003,0.9006000000,-42909.3750000002,-17978.5000000003,6814.6250000000,0.9152000000,-44078.9999999998,-17462.9999999999,8349.3250000005,0.9102000000,5000,41041
K,K_DAILY_TIME_SERIES_MOMENTUM,-19322.6249999999,2286.0000000005,24068.9250000004,0.4214000000,-20033.0499999996,1735.5000000001,23851.2250000003,0.4356000000,-19799.3500000002,2097.0000000003,24848.7250000004,0.4210000000,5000,41041
