improvement_rank,overall_rank,family_id,family,opportunity_count,annualized_opportunity_count,winner_count,loser_count,win_rate,expected_profit_contribution_jpy,net_pips,profit_factor,expected_coverage,weak_market_net_contribution_jpy,negative_day_loss_reduction_jpy,baseline_net_jpy,theoretical_combined_net_jpy,baseline_max_drawdown_jpy,theoretical_combined_max_drawdown_jpy,max_drawdown_improvement_jpy,correlation_to_B02,correlation_to_F05,near_entry_overlap_B02,near_entry_overlap_F05,simultaneous_holding_rate_B02,simultaneous_holding_rate_F05,simultaneous_holding_rate_any,winner_damage_jpy,winner_damage_risk,portfolio_diversification,independence_raw,positive_folds,worst_fold_jpy,best_fold_jpy,fold_portability,positive_sides,long_short_symmetry,session_robustness,primary_session,primary_volatility_state,primary_market_state,practical_implementability,data_authority,robustness_raw,improvement_potential_score,independence_score,coverage_score,robustness_score,simplicity_score,data_authority_score,economic_viability_factor,overall_score
1,3,J,Pullback Continuation,1333,666.5,661,672,0.495873968492123,20751.999999999258,2075.199999999926,1.1358533056633857,0.09597611581575995,-39589.00000000055,-59733.000000000466,51627,72378.99999999926,40487.0,33228.000000000226,7258.999999999774,0.3412597119905901,0.4497003621527524,0.05701425356339085,0.13878469617404351,0.495873968492123,0.68192048012003,0.7839459864966242,23004.000000000095,0.0723596466946831,0.6045199629283288,0.41028698821585236,4,150.9999999995748,9507.999999999918,1.0,2,1.0,0.75,LONDON,NORMAL,DOWN_TREND,0.87,0.85,0.95,50.0,41.02869882158524,9.597611581575995,95.0,87,85.0,0.75,42.071536126165086
2,1,D,Shock Failure,114,57.0,71,43,0.6228070175438597,12846.999999999887,1284.6999999999887,2.4367031983896137,0.05186923784666767,9643.999999999836,7301.9999999998545,51627,64473.99999999988,40487.0,37851.99999999998,2635.000000000022,0.06845521679535727,-0.06355497308408557,0.10526315789473684,0.41228070175438597,0.6491228070175439,0.7719298245614035,0.868421052631579,4016.999999999949,0.01263557210800457,0.9339949050602786,0.5327869262143498,3,-580.9999999999775,8293.999999999969,0.75,2,1.0,1.0,TOKYO,HIGH,DOWN_TREND,0.88,0.85,0.8749999999999999,100.0,53.27869262143498,5.186923784666767,87.49999999999999,88,85.0,1.0,71.85877709198701
3,2,F,Liquidity Sweep,934,467.0,463,471,0.49571734475374735,7707.999999999747,770.7999999999744,1.0721189382385667,0.23029836453423877,30620.99999999963,12145.999999999796,51627,59334.999999999745,40487.0,32284.00000000017,8202.999999999829,-0.2516959353785627,-0.2464705745761339,0.25910064239828695,0.35974304068522484,0.5674518201284796,0.671306209850107,0.8372591006423983,49307.99999999997,0.1550995243966883,0.7509167450226517,0.4568288221901267,2,-2948.0000000002246,9094.000000000102,0.5,1,0.5,0.5,NEW_YORK,HIGH,BALANCE,0.9,0.85,0.5499999999999999,50.0,45.68288221901267,23.029836453423876,54.99999999999999,90,85.0,1.0,53.34105191181611
4,4,C,Shock Continuation,643,321.5,322,321,0.5007776049766719,7545.000000000117,754.5000000000119,1.1000053018052662,0.11714891939087821,-5984.00000000016,-14882.000000000233,51627,59172.00000000012,40487.0,40082.99999999998,404.0000000000218,-0.0009591039502780844,0.1489619467129032,0.16640746500777606,0.47900466562986005,0.583203732503888,0.7636080870917574,0.8740279937791602,17297.999999999913,0.05441128362565714,0.9250394746684094,0.5255057404446246,2,-5056.999999999979,7056.000000000181,0.5,2,1.0,0.75,NEW_YORK,HIGH,TRANSITION,0.9,0.85,0.7000000000000001,50.0,52.550574044462465,11.71489193908782,70.0,90,85.0,0.75,41.450511449816744
5,5,E,Session Transition,336,168.0,161,175,0.4791666666666667,2484.000000000101,248.4000000000101,1.0749434303816594,0.03400867491597339,-10502.000000000044,-13991.000000000116,51627,54111.0000000001,40487.0,38734.000000000065,1752.9999999999345,0.2937969111340321,0.3450482593408938,0.28869047619047616,0.4107142857142857,0.6666666666666666,0.7351190476190477,0.8630952380952381,9735.999999999869,0.030624826996149466,0.6805774147625371,0.4087410883336495,3,-1013.999999999985,3442.9999999999905,0.75,2,1.0,0.6666666666666666,NEW_YORK,LOW,UP_TREND,0.84,0.85,0.8083333333333332,50.0,40.87410883336495,3.400867491597339,80.83333333333333,84,85.0,0.75,39.532463917809444
6,6,H,Volatility Compression Breakout,347,173.5,165,182,0.4755043227665706,1406.9999999998254,140.69999999998254,1.0390085669134113,0.049777494038342106,-5949.000000000124,-15162.000000000233,51627,53033.999999999825,40487.0,40727.000000000204,-240.00000000020373,0.09156891773779267,0.09923683680759321,0.05187319884726225,0.11815561959654179,0.30835734870317005,0.4755043227665706,0.6195965417867435,9086.000000000062,0.02858023604016225,0.9045971227273071,0.6425002904702818,1,-725.0000000000102,2462.0000000000628,0.25,1,0.5,0.5,TOKYO,LOW,UP_TREND,0.91,0.85,0.42500000000000004,50.0,64.25002904702818,4.977749403834211,42.50000000000001,91,85.0,0.75,39.42875116498558
7,10,I,Failed Trend Continuation,63,31.5,26,37,0.4126984126984127,-1981.0000000000532,-198.10000000000537,0.7959625090122519,0.01647858497474503,-673.0000000000041,-2672.000000000058,51627,49645.99999999995,40487.0,40466.00000000003,20.999999999970896,0.0040136052183898565,-0.007976991783925046,0.12698412698412698,0.2698412698412698,0.3968253968253968,0.6666666666666666,0.746031746031746,3081.000000000039,0.009691361131382392,0.9940047014988426,0.6239864777335482,2,-3127.9999999999736,1644.9999999999513,0.5,1,0.5,0.5,TOKYO,LOW,DOWN_TREND,0.8,0.85,0.44999999999999996,50.0,62.398647773354824,1.647858497474503,44.99999999999999,80,85.0,0.4,20.390763331716858
8,7,B,Balance Mean Reversion,347,173.5,185,162,0.5331412103746398,-7005.999999999929,-700.599999999993,0.8652147982839238,0.0988339560996681,1762.0000000001028,-7085.999999999884,51627,44621.00000000007,40487.0,41504.99999999994,-1017.9999999999418,-0.0032177680793196266,-0.021007360942614104,0.23631123919308358,0.2276657060518732,0.5648414985590778,0.5100864553314121,0.7348703170028819,22256.999999999956,0.07000993985757051,0.9878874354890331,0.6265085592430757,1,-4637.000000000084,1928.0000000001519,0.25,0,0.0,0.5,NEW_YORK,LOW,TRANSITION,0.86,0.85,0.225,50.0,62.65085592430757,9.88339560996681,22.5,86,85.0,0.75,37.1157603947674
9,9,G,Trend Exhaustion,1241,620.5,584,657,0.47058823529411764,-9438.999999999864,-943.8999999999867,0.9369956279411281,0.2570253675573172,49122.000000000495,26479.000000000466,51627,42188.00000000014,40487.0,37655.00000000024,2831.99999999976,-0.34995707342113563,-0.5625345068013576,0.088638195004029,0.28203062046736505,0.5060435132957293,0.717163577759871,0.8033843674456084,73559.00000000033,0.2313816402023212,0.5437542098887533,0.3701849212215725,1,-7183.999999999583,1712.9999999998245,0.25,0,0.0,0.25,TOKYO,LOW,BALANCE,0.82,0.85,0.175,50.0,37.01849212215725,25.70253675573172,17.5,82,85.0,0.75,34.18805920334341
10,11,K,Other Literature- and Practice-Led Families,1698,849.0,823,875,0.48468786808009423,-14735.999999999955,-1473.5999999999954,0.9340166301734214,0.1890267945997701,-26385.000000000065,-59175.99999999988,51627,36891.000000000044,40487.0,58109.999999999614,-17622.999999999614,0.04203619653364106,0.1968090257423793,0.15371024734982333,0.22732626619552415,0.5730270906949352,0.6183745583038869,0.7879858657243817,44850.999999999935,0.1410799214877071,0.8805773888619899,0.5462957615688041,1,-17275.99999999965,13667.99999999992,0.25,0,0.0,0.5,TOKYO,HIGH,TRANSITION,0.86,0.85,0.225,50.0,54.62957615688041,18.90267945997701,22.5,86,85.0,0.4,19.694526860149054
