overall_rank,variant,family_id,family,opportunity_count,annualized_opportunity_count,winner_count,loser_count,win_rate,expected_profit_contribution_jpy,net_pips,profit_factor,expected_coverage,weak_market_net_contribution_jpy,negative_day_loss_reduction_jpy,baseline_net_jpy,theoretical_combined_net_jpy,baseline_max_drawdown_jpy,theoretical_combined_max_drawdown_jpy,max_drawdown_improvement_jpy,correlation_to_B02,correlation_to_F05,near_entry_overlap_B02,near_entry_overlap_F05,simultaneous_holding_rate_B02,simultaneous_holding_rate_F05,simultaneous_holding_rate_any,winner_damage_jpy,winner_damage_risk,portfolio_diversification,independence_raw,positive_folds,worst_fold_jpy,best_fold_jpy,fold_portability,positive_sides,long_short_symmetry,session_robustness,primary_session,primary_volatility_state,primary_market_state,practical_implementability,data_authority,robustness_raw,improvement_potential_score,independence_score,coverage_score,robustness_score,simplicity_score,data_authority_score,economic_viability_factor,overall_score
1,D_SHOCK_FAILURE,D,Shock Failure,114,57.0,71,43,0.6228070175438597,12846.999999999887,1284.6999999999887,2.4367031983896137,0.05186923784666767,9643.999999999836,7301.9999999998545,51627,64473.99999999988,40487.0,37851.99999999998,2635.000000000022,0.06845521679535754,-0.06355497308408577,0.10526315789473684,0.41228070175438597,0.6491228070175439,0.7719298245614035,0.868421052631579,4016.999999999949,0.01263557210800457,0.9339949050602784,0.5327869262143496,3,-580.9999999999775,8293.999999999969,0.75,2,1.0,1.0,TOKYO,HIGH,DOWN_TREND,0.88,0.85,0.8749999999999999,100.0,53.27869262143496,5.186923784666767,87.49999999999999,88,85.0,1.0,71.85877709198701
2,F_ASIAN_RANGE_SWEEP,F,Liquidity Sweep,545,272.5,269,276,0.4935779816513762,8708.00000000022,870.800000000022,1.1472064914208484,0.16744465516270055,19511.999999999876,9959.000000000058,51627,60335.00000000022,40487.0,40026.999999999935,460.0000000000655,-0.2786536045643581,-0.10538674529359653,0.44587155963302755,0.28440366972477066,0.7651376146788991,0.6128440366972477,0.8623853211009175,28631.999999999734,0.09006265884898883,0.8079798250710226,0.47279725198505257,4,697.0000000001232,3736.999999999948,1.0,1,0.5,1.0,NEW_YORK,NORMAL,BALANCE,0.9,0.85,0.9,50.0,47.279725198505254,16.744465516270054,90.0,90,85.0,1.0,57.967614867141556
3,F_PREVIOUS_DAY_SWEEP,F,Liquidity Sweep,527,263.5,266,261,0.5047438330170778,2762.9999999996435,276.29999999996426,1.0441465480051708,0.1590363708057149,18918.999999999825,6409.999999999825,51627,54389.99999999964,40487.0,30381.000000000095,10105.999999999905,-0.07432388485749239,-0.24723683890557535,0.1062618595825427,0.45161290322580644,0.4155597722960152,0.7609108159392789,0.8368121442125237,31203.000000000087,0.09814980246105869,0.8392196381184661,0.5012037469529711,3,-7627.0000000001655,8569.999999999993,0.75,1,0.5,0.5,NEW_YORK,HIGH,UP_TREND,0.9,0.85,0.6749999999999999,50.0,50.12037469529711,15.903637080571489,67.5,90,85.0,1.0,55.03462050114515
4,J_PULLBACK_CONTINUATION,J,Pullback Continuation,1333,666.5,661,672,0.495873968492123,20751.999999999258,2075.199999999926,1.1358533056633857,0.09597611581575995,-39589.00000000055,-59733.000000000466,51627,72378.99999999926,40487.0,33228.000000000226,7258.999999999774,0.3412597119905901,0.4497003621527522,0.05701425356339085,0.13878469617404351,0.495873968492123,0.68192048012003,0.7839459864966242,23004.000000000095,0.0723596466946831,0.6045199629283289,0.41028698821585236,4,150.9999999995748,9507.999999999918,1.0,2,1.0,0.75,LONDON,NORMAL,DOWN_TREND,0.87,0.85,0.95,50.0,41.02869882158524,9.597611581575995,95.0,87,85.0,0.75,42.071536126165086
5,C_SHOCK_CONTINUATION,C,Shock Continuation,643,321.5,322,321,0.5007776049766719,7545.000000000117,754.5000000000119,1.1000053018052662,0.11714891939087821,-5984.00000000016,-14882.000000000233,51627,59172.00000000012,40487.0,40082.99999999998,404.0000000000218,-0.000959103950277848,0.14896194671290366,0.16640746500777606,0.47900466562986005,0.583203732503888,0.7636080870917574,0.8740279937791602,17297.999999999913,0.05441128362565714,0.9250394746684092,0.5255057404446245,2,-5056.999999999979,7056.000000000181,0.5,2,1.0,0.75,NEW_YORK,HIGH,TRANSITION,0.9,0.85,0.7000000000000001,50.0,52.55057404446245,11.71489193908782,70.0,90,85.0,0.75,41.450511449816744
6,K_DAILY_TIME_SERIES_MOMENTUM,K,Other Literature- and Practice-Led Families,445,222.5,220,225,0.4943820224719101,1711.9999999998968,171.1999999999898,1.021116771304872,0.11058076872523782,-16470.00000000006,-29783.999999999884,51627,53338.9999999999,40487.0,42325.00000000012,-1838.0000000001164,0.009348379365675924,0.22809292553779176,0.0,0.22696629213483147,0.451685393258427,0.6494382022471911,0.7775280898876404,30483.000000000106,0.09588502478673376,0.8812793475482662,0.5518756288303128,2,-4666.999999999953,4431.999999999773,0.5,1,0.5,1.0,TOKYO,NORMAL,DOWN_TREND,0.86,0.85,0.65,50.0,55.18756288303128,11.058076872523783,65.0,86,85.0,0.75,40.90966808061362
7,E_LONDON_NY,E,Session Transition,139,69.5,75,64,0.539568345323741,2154.0000000000755,215.40000000000748,1.123821568176597,0.019768293369885614,-7765.9999999999745,-8873.0,51627,53781.00000000007,40487.0,40528.000000000095,-41.00000000009459,0.30444766787528116,0.2550839302076213,0.18705035971223022,0.5539568345323741,0.8489208633093526,0.7913669064748201,0.920863309352518,3799.99999999995,0.011952993281159409,0.7202342009585487,0.39968544580301535,3,-380.0000000000409,2033.0000000001462,0.75,2,1.0,1.0,NEW_YORK,LOW,UP_TREND,0.84,0.85,0.8749999999999999,50.0,39.96854458030153,1.9768293369885614,87.49999999999999,84,85.0,0.75,39.986424987456445
8,H_COMPRESSION_BREAKOUT,H,Volatility Compression Breakout,347,173.5,165,182,0.4755043227665706,1406.9999999998254,140.69999999998254,1.0390085669134113,0.049777494038342106,-5949.000000000124,-15162.000000000233,51627,53033.999999999825,40487.0,40727.000000000204,-240.00000000020373,0.0915689177377927,0.09923683680759311,0.05187319884726225,0.11815561959654179,0.30835734870317005,0.4755043227665706,0.6195965417867435,9086.000000000062,0.02858023604016225,0.9045971227273071,0.6425002904702818,1,-725.0000000000102,2462.0000000000628,0.25,1,0.5,0.5,TOKYO,LOW,UP_TREND,0.91,0.85,0.42500000000000004,50.0,64.25002904702818,4.977749403834211,42.50000000000001,91,85.0,0.75,39.42875116498558
9,K_LONDON_OPENING_RANGE_BREAKOUT,K,Other Literature- and Practice-Led Families,607,303.5,301,306,0.4958813838550247,1070.0000000001028,107.00000000001035,1.0200254529121149,0.08622340725162884,-6702.000000000038,-13985.000000000116,51627,52697.0000000001,40487.0,44675.99999999977,-4188.999999999767,0.16765570838629404,0.12713025392165042,0.42504118616144976,0.2685337726523888,0.685337726523888,0.586490939044481,0.8154859967051071,14472.999999999849,0.0455251767784791,0.8526070188460277,0.5185605110704603,2,-6418.9999999996735,8172.000000000035,0.5,1,0.5,0.5,LONDON,HIGH,DOWN_TREND,0.86,0.85,0.5499999999999999,50.0,51.85605110704603,8.622340725162884,54.99999999999999,86,85.0,0.75,39.010920997637726
10,E_TOKYO_LONDON,E,Session Transition,119,59.5,53,66,0.44537815126050423,1147.9999999999948,114.7999999999995,1.1093541626976573,0.009418480199785674,-3405.0000000000673,-4936.000000000058,51627,52774.99999999999,40487.0,38327.00000000006,2159.999999999942,0.21574393796366526,0.2192956832232587,0.5966386554621849,0.5126050420168067,0.6638655462184874,0.6638655462184874,0.8319327731092437,4098.999999999889,0.012893505120913614,0.7824801894065381,0.47527370814864717,2,-1528.9999999999668,2889.999999999992,0.5,1,0.5,1.0,LONDON,NORMAL,UP_TREND,0.84,0.85,0.65,50.0,47.52737081486472,0.9418480199785674,65.0,84,85.0,0.75,38.4725635244773
