opportunity_id,source_relation,chronology_status,material_predicate_contradiction,midpoint_first_cross_utc,first_executable_tick_utc,entry_before_failure_close,shock_open,shock_high,shock_low,shock_close,shock_tr_pips,shock_median_tr96,shock_ratio,raw_up_shock,raw_down_shock,raw_shock_direction,failure_open,failure_high,failure_low,failure_close,failure_short,failure_long,midpoint,shock_ticks,failure_ticks
2023H1|D_SHOCK_FAILURE|2023-01-03T06:30:00+00:00|1,DUKASCOPY_RAW_VS_RAKUTEN_ACCEPTED_BAR,BOUNDED_SOURCE_MISMATCH,False,2023-01-03 06:25:12.241000+00:00,2023-01-03 06:30:00.171000+00:00,False,129.812,129.816,129.644,129.646,17.199999999999704,6.599999999998829,2.606060606061024,False,True,DOWN,129.647,129.809,129.613,129.787,False,True,129.73000000000002,2982,2821
2023H1|D_SHOCK_FAILURE|2023-01-12T14:15:00+00:00|1,DUKASCOPY_RAW_VS_RAKUTEN_ACCEPTED_BAR,BOUNDED_SOURCE_MISMATCH,False,2023-01-12 14:07:17.062000+00:00,2023-01-12 14:15:00.003000+00:00,False,130.247,130.252,129.497,129.645,75.49999999999955,13.100000000000023,5.76335877862591,False,True,DOWN,129.643,130.248,129.577,130.19,False,True,129.8745,9597,7692
2023H1|D_SHOCK_FAILURE|2023-01-24T15:15:00+00:00|-1,DUKASCOPY_RAW_VS_RAKUTEN_ACCEPTED_BAR,BOUNDED_SOURCE_MISMATCH,False,2023-01-24 15:10:58.664000+00:00,2023-01-24 15:15:00.071000+00:00,False,130.44,131.116,130.44,131.068,71.30000000000223,10.550000000000637,6.758293838862363,True,False,UP,131.067,131.106,130.641,130.674,True,False,130.77800000000002,6658,5344
2023H1|D_SHOCK_FAILURE|2023-02-01T15:15:00+00:00|1,DUKASCOPY_RAW_VS_RAKUTEN_ACCEPTED_BAR,BOUNDED_SOURCE_MISMATCH,False,2023-02-01 15:00:01.232000+00:00,2023-02-01 15:15:00.085000+00:00,False,129.522,129.539,129.315,129.315,22.399999999998954,8.399999999998897,2.666666666666892,False,True,DOWN,129.314,129.68,129.256,129.499,False,True,129.427,3363,5560
2023H1|D_SHOCK_FAILURE|2023-02-01T20:30:00+00:00|-1,DUKASCOPY_RAW_VS_RAKUTEN_ACCEPTED_BAR,BOUNDED_SOURCE_MISMATCH,False,2023-02-01 20:19:30.869000+00:00,2023-02-01 20:30:00.052000+00:00,False,128.761,129.024,128.663,128.974,36.099999999999,8.599999999999852,4.197674418604607,False,False,UP,128.972,129.151,128.686,128.725,True,False,128.8435,7181,5717
2023H1|D_SHOCK_FAILURE|2023-02-07T18:15:00+00:00|1,DUKASCOPY_RAW_VS_RAKUTEN_ACCEPTED_BAR,BOUNDED_SOURCE_MISMATCH,False,2023-02-07 18:11:19.180000+00:00,2023-02-07 18:15:00.108000+00:00,False,131.113,131.127,130.472,130.565,65.50000000000011,12.199999999999989,5.3688524590164075,False,True,DOWN,130.568,130.949,130.491,130.931,False,True,130.79950000000002,9725,8555
2023H1|D_SHOCK_FAILURE|2023-02-09T18:00:00+00:00|-1,DUKASCOPY_RAW_VS_RAKUTEN_ACCEPTED_BAR,BOUNDED_SOURCE_MISMATCH,False,2023-02-09 17:59:31.596000+00:00,2023-02-09 18:00:00.189000+00:00,False,131.002,131.309,131.002,131.267,30.699999999998795,11.899999999999977,2.579831932773013,True,False,UP,131.267,131.304,131.147,131.15,True,False,131.15550000000002,2104,2037
2023H1|D_SHOCK_FAILURE|2023-03-01T16:00:00+00:00|1,DUKASCOPY_RAW_VS_RAKUTEN_ACCEPTED_BAR,BOUNDED_SOURCE_MISMATCH,False,2023-03-01 15:50:49.896000+00:00,2023-03-01 16:00:00.037000+00:00,False,136.192,136.212,135.938,135.994,27.40000000000009,10.39999999999992,2.6346153846154134,False,False,DOWN,135.993,136.177,135.883,136.109,False,True,136.075,3837,4222
2023H1|D_SHOCK_FAILURE|2023-03-15T12:30:00+00:00|1,DUKASCOPY_RAW_VS_RAKUTEN_ACCEPTED_BAR,UNRESOLVED,True,2023-03-15 12:15:00.014000+00:00,2023-03-15 12:30:00.081000+00:00,False,133.53,133.593,133.013,133.049,57.99999999999841,15.550000000000352,3.729903536977305,False,True,DOWN,133.048,133.174,132.969,133.102,False,False,133.303,6964,6271
2023H1|D_SHOCK_FAILURE|2023-03-23T06:45:00+00:00|1,DUKASCOPY_RAW_VS_RAKUTEN_ACCEPTED_BAR,UNRESOLVED,True,2023-03-23 06:32:13.895000+00:00,2023-03-23 06:45:03.444000+00:00,False,130.639,130.76,130.625,130.686,13.49999999999909,13.049999999998363,1.0344827586207497,False,False,UP,130.685,130.813,130.685,130.725,False,True,130.6925,2673,2696
2023H1|D_SHOCK_FAILURE|2023-04-25T07:15:00+00:00|-1,DUKASCOPY_RAW_VS_RAKUTEN_ACCEPTED_BAR,BOUNDED_SOURCE_MISMATCH,False,2023-04-25 07:04:41.168000+00:00,2023-04-25 07:15:00.256000+00:00,False,134.195,134.479,134.184,134.451,29.50000000000159,7.399999999999807,3.9864864864868057,True,False,UP,134.45,134.46,134.197,134.223,True,False,134.3315,2522,4228
