failure_i,shock_i,entry_i,exit_i,side,reason,opportunity_id,fold,signal_utc,entry_utc,exit_utc,entry_bid,exit_bid,normalized_pl_jpy,net_pips,near_entry_B02,near_entry_F05,simultaneous_B02,simultaneous_F05,simultaneous_any_baseline,shock_start_utc,shock_end_utc,failure_start_utc,failure_end_utc,shock_direction,side_label,session,shock_midpoint,shock_ratio,shock_tr_pips,shock_body_pips,impulse_run_bars,shock_size_bucket,shock_duration_bucket,exit4_utc,baseline_day_pnl_jpy,baseline_day_state,baseline_existing_drawdown_jpy,b02_active,f05_active,both_active,neither_active,active_count,same_direction_overlap,opposite_direction_overlap,active_trade_ids,loss_cluster_nearby
101,100,102,110,1,down_shock_failed,2023H1|D_SHOCK_FAILURE|2023-01-03T06:30:00+00:00|1,2023H1,2023-01-03 06:15:00+00:00,2023-01-03 06:30:00+00:00,2023-01-03 08:30:00+00:00,129.794,130.763,963.999999999994,96.3999999999994,False,False,False,False,False,2023-01-03 06:00:00+00:00,2023-01-03 06:15:00+00:00,2023-01-03 06:15:00+00:00,2023-01-03 06:30:00+00:00,DOWN,LONG,TOKYO,129.733,2.7076923076922137,17.599999999998772,16.40000000000157,1,2.50_to_lt_3.00,1_BAR,2023-01-03 07:30:00+00:00,-129.0,NEGATIVE,0.0,False,False,False,True,0,False,False,,False
804,803,805,813,1,down_shock_failed,2023H1|D_SHOCK_FAILURE|2023-01-12T14:15:00+00:00|1,2023H1,2023-01-12 14:00:00+00:00,2023-01-12 14:15:00+00:00,2023-01-12 16:15:00+00:00,130.195,129.735,-464.99999999997954,-46.499999999997954,False,True,True,True,True,2023-01-12 13:45:00+00:00,2023-01-12 14:00:00+00:00,2023-01-12 14:00:00+00:00,2023-01-12 14:15:00+00:00,DOWN,LONG,LONDON_NY_OVERLAP,129.8785,5.937254901960268,75.7000000000005,60.80000000000041,2,ge_4.00,2_BARS,2023-01-12 15:15:00+00:00,8161.0,POSITIVE,11689.0,True,True,True,False,5,False,True,2023H1|F05|2023-01-12T09:30:00+00:00|-1;2023H1|F05|2023-01-12T12:15:00+00:00|-1;2023H1|F05|2023-01-12T13:15:00+00:00|-1;2023H1|B02|2023-01-12T09:30:00+00:00|-1;2023H1|F05|2023-01-12T13:45:00+00:00|-1,False
1576,1575,1577,1585,-1,up_shock_failed,2023H1|D_SHOCK_FAILURE|2023-01-24T15:15:00+00:00|-1,2023H1,2023-01-24 15:00:00+00:00,2023-01-24 15:15:00+00:00,2023-01-24 17:15:00+00:00,130.671,130.042,623.9999999999907,62.39999999999907,False,True,True,True,True,2023-01-24 14:45:00+00:00,2023-01-24 15:00:00+00:00,2023-01-24 15:00:00+00:00,2023-01-24 15:15:00+00:00,UP,SHORT,LONDON_NY_OVERLAP,130.797,6.813397129186395,71.19999999999891,59.39999999999941,2,ge_4.00,2_BARS,2023-01-24 16:15:00+00:00,-1062.0,NEGATIVE,7682.0,True,True,True,False,2,True,True,2023H1|B02|2023-01-24T07:30:00+00:00|-1;2023H1|F05|2023-01-24T15:00:00+00:00|1,False
2152,2151,2153,2161,1,down_shock_failed,2023H1|D_SHOCK_FAILURE|2023-02-01T15:15:00+00:00|1,2023H1,2023-02-01 15:00:00+00:00,2023-02-01 15:15:00+00:00,2023-02-01 17:15:00+00:00,129.498,129.295,-208.00000000000296,-20.800000000000296,False,True,True,True,True,2023-02-01 14:45:00+00:00,2023-02-01 15:00:00+00:00,2023-02-01 15:00:00+00:00,2023-02-01 15:15:00+00:00,DOWN,LONG,LONDON_NY_OVERLAP,129.42700000000002,2.581395348837778,22.20000000000084,19.10000000000025,1,2.50_to_lt_3.00,1_BAR,2023-02-01 16:15:00+00:00,1614.0,POSITIVE,10653.0,True,True,True,False,5,True,True,2023H1|B02|2023-02-01T07:15:00+00:00|1;2023H1|B02|2023-02-01T09:30:00+00:00|-1;2023H1|F05|2023-02-01T13:30:00+00:00|-1;2023H1|F05|2023-02-01T14:00:00+00:00|-1;2023H1|F05|2023-02-01T15:45:00+00:00|-1,False
2173,2172,2174,2182,-1,up_shock_failed,2023H1|D_SHOCK_FAILURE|2023-02-01T20:30:00+00:00|-1,2023H1,2023-02-01 20:15:00+00:00,2023-02-01 20:30:00+00:00,2023-02-01 22:30:00+00:00,128.721,128.937,-221.00000000000816,-22.10000000000082,False,True,True,True,True,2023-02-01 20:00:00+00:00,2023-02-01 20:15:00+00:00,2023-02-01 20:15:00+00:00,2023-02-01 20:30:00+00:00,UP,SHORT,NEW_YORK,128.8555,3.762711864406921,33.29999999999984,21.700000000001296,2,3.00_to_lt_4.00,2_BARS,2023-02-01 21:30:00+00:00,1614.0,POSITIVE,11518.0,True,True,True,False,5,True,False,2023H1|B02|2023-02-01T09:30:00+00:00|-1;2023H1|F05|2023-02-01T13:30:00+00:00|-1;2023H1|F05|2023-02-01T14:00:00+00:00|-1;2023H1|F05|2023-02-01T15:45:00+00:00|-1;2023H1|F05|2023-02-01T19:45:00+00:00|-1,False
2548,2547,2549,2557,1,down_shock_failed,2023H1|D_SHOCK_FAILURE|2023-02-07T18:15:00+00:00|1,2023H1,2023-02-07 18:00:00+00:00,2023-02-07 18:15:00+00:00,2023-02-07 20:15:00+00:00,130.933,131.211,273.00000000002,27.300000000002,False,True,True,True,True,2023-02-07 17:45:00+00:00,2023-02-07 18:00:00+00:00,2023-02-07 18:00:00+00:00,2023-02-07 18:15:00+00:00,DOWN,LONG,NEW_YORK,130.802,5.478991596638555,65.19999999999868,54.80000000000018,5,ge_4.00,GE_3_BARS,2023-02-07 19:15:00+00:00,1350.0,POSITIVE,9598.0,True,True,True,False,3,False,True,2023H1|B02|2023-02-07T08:30:00+00:00|-1;2023H1|F05|2023-02-07T15:45:00+00:00|-1;2023H1|F05|2023-02-07T17:45:00+00:00|-1,False
2739,2738,2740,2748,-1,up_shock_failed,2023H1|D_SHOCK_FAILURE|2023-02-09T18:00:00+00:00|-1,2023H1,2023-02-09 17:45:00+00:00,2023-02-09 18:00:00+00:00,2023-02-09 20:00:00+00:00,131.152,131.572,-425.0000000000159,-42.50000000000159,False,False,False,True,True,2023-02-09 17:30:00+00:00,2023-02-09 17:45:00+00:00,2023-02-09 17:45:00+00:00,2023-02-09 18:00:00+00:00,UP,SHORT,NEW_YORK,131.1595,2.785388127853657,30.500000000000682,26.099999999999568,1,2.50_to_lt_3.00,1_BAR,2023-02-09 19:00:00+00:00,-1855.0,NEGATIVE,9943.0,False,True,False,False,1,True,False,2023H1|F05|2023-02-09T13:45:00+00:00|-1,False
4075,4074,4076,4084,1,down_shock_failed,2023H1|D_SHOCK_FAILURE|2023-03-01T16:00:00+00:00|1,2023H1,2023-03-01 15:45:00+00:00,2023-03-01 16:00:00+00:00,2023-03-01 18:00:00+00:00,136.112,135.94,-176.99999999999704,-17.699999999999704,False,False,True,True,True,2023-03-01 15:30:00+00:00,2023-03-01 15:45:00+00:00,2023-03-01 15:45:00+00:00,2023-03-01 16:00:00+00:00,DOWN,LONG,NEW_YORK,136.078,2.6473429951688088,27.40000000000009,19.80000000000075,2,2.50_to_lt_3.00,2_BARS,2023-03-01 17:00:00+00:00,-1782.0,NEGATIVE,10835.0,True,True,True,False,4,False,True,2023H1|F05|2023-03-01T09:15:00+00:00|-1;2023H1|F05|2023-03-01T11:15:00+00:00|-1;2023H1|B02|2023-03-01T08:00:00+00:00|-1;2023H1|F05|2023-03-01T12:00:00+00:00|-1,False
5025,5024,5026,5034,1,down_shock_failed,2023H1|D_SHOCK_FAILURE|2023-03-15T12:30:00+00:00|1,2023H1,2023-03-15 12:15:00+00:00,2023-03-15 12:30:00+00:00,2023-03-15 14:30:00+00:00,132.647,132.866,214.0000000000225,21.40000000000225,False,True,True,True,True,2023-03-15 12:00:00+00:00,2023-03-15 12:15:00+00:00,2023-03-15 12:15:00+00:00,2023-03-15 12:30:00+00:00,DOWN,LONG,LONDON_NY_OVERLAP,132.49450000000002,3.4753086419755843,56.30000000000166,40.19999999999868,3,3.00_to_lt_4.00,GE_3_BARS,2023-03-15 13:30:00+00:00,-848.0,NEGATIVE,11990.0,True,True,True,False,5,False,True,2023H1|F05|2023-03-15T09:15:00+00:00|-1;2023H1|F05|2023-03-15T11:15:00+00:00|-1;2023H1|F05|2023-03-15T11:45:00+00:00|-1;2023H1|F05|2023-03-15T12:15:00+00:00|-1;2023H1|B02|2023-03-15T09:15:00+00:00|-1,False
5574,5573,5575,5583,1,down_shock_failed,2023H1|D_SHOCK_FAILURE|2023-03-23T06:45:00+00:00|1,2023H1,2023-03-23 06:30:00+00:00,2023-03-23 06:45:00+00:00,2023-03-23 08:45:00+00:00,130.905,131.265,354.9999999999852,35.49999999999852,True,False,True,True,True,2023-03-23 06:15:00+00:00,2023-03-23 06:30:00+00:00,2023-03-23 06:30:00+00:00,2023-03-23 06:45:00+00:00,DOWN,LONG,TOKYO,130.75549999999998,3.1274131274133037,40.500000000000114,29.400000000001114,1,3.00_to_lt_4.00,1_BAR,2023-03-23 07:45:00+00:00,-2070.0,NEGATIVE,20629.0,True,True,True,False,4,True,True,2023H1|F05|2023-03-23T00:00:00+00:00|-1;2023H1|F05|2023-03-23T01:30:00+00:00|-1;2023H1|F05|2023-03-23T02:30:00+00:00|-1;2023H1|B02|2023-03-23T07:30:00+00:00|1,False
