candidate_id,scenario,event_count,trades,gross_profit_jpy,gross_loss_jpy,net_profit_jpy,profit_factor,win_rate,average_pnl_jpy,median_pnl_jpy,maximum_win_jpy,maximum_loss_jpy,average_mfe_pips,average_mae_pips,median_holding_minutes,maximum_drawdown_jpy,recovery_hours,active_months,positive_months,month_breadth,positive_folds,positive_side_fold_cells,positive_session_cells,top_date_concentration,top_event_concentration,fold
A_CSOS_FIXED_BAR,BASELINE,21,21,4644.9999999999745,-1684.000000000001,2960.9999999999736,2.7583135391923825,0.6666666666666666,140.99999999999875,91.99999999998,963.999999999994,-464.99999999997954,,,120.0,758.0000000000041,2207.5,6,5,0.8333333333333334,1,2,3,0.20753498385360586,0.20753498385360586,2023H1
A_CSOS_FIXED_BAR,BASELINE,35,35,2572.0000000000105,-3152.999999999988,-580.9999999999775,0.8157310497938535,0.4857142857142857,-16.59999999999936,-14.000000000014552,354.00000000000887,-628.0000000000189,,,120.0,1336.999999999989,3169.5,6,2,0.3333333333333333,0,0,2,0.23094867807154393,0.13763608087092047,2023H2
A_CSOS_FIXED_BAR,BASELINE,30,30,3335.9999999998936,-1162.9999999999711,2172.9999999999227,2.868443680137555,0.6666666666666666,72.43333333333075,69.50000000000045,564.9999999999932,-194.99999999999773,,,120.0,181.99999999999704,308.25,6,5,0.8333333333333334,1,2,4,0.16936450839328873,0.16936450839328873,2024H1
A_CSOS_FIXED_BAR,BASELINE,28,28,11235.999999999987,-2942.0000000000155,8293.999999999969,3.8191706322229533,0.7142857142857143,296.2142857142846,104.00000000000887,3104.000000000009,-1229.000000000018,,,120.0,1229.000000000018,481.75,6,5,0.8333333333333334,1,2,3,0.2762548949804212,0.2762548949804212,2024H2
B_EXECUTABLE_T0_8BAR,BASELINE,21,21,4522.0000000001055,-1746.0000000000662,2776.000000000039,2.589919816723903,0.6666666666666666,132.19047619047805,55.00000000000682,960.000000000008,-469.99999999999886,33.82857142857122,-21.614285714285653,120.00101666666666,807.0000000000448,2207.5,6,5,0.8333333333333334,1,2,3,0.2122954444935837,0.2122954444935837,2023H1
B_EXECUTABLE_T0_8BAR,BASELINE,35,35,2522.999999999996,-3185.000000000031,-662.0000000000346,0.7921507064364117,0.4857142857142857,-18.914285714286702,-14.999999999986358,332.9999999999984,-629.9999999999955,19.537142857142435,-19.76857142857138,120.00028333333333,1359.9999999999852,3169.5,6,2,0.3333333333333333,0,0,2,0.2239397542608001,0.13198573127229446,2023H2
B_EXECUTABLE_T0_8BAR,BASELINE,30,30,3320.9999999999127,-1167.999999999978,2152.9999999999354,2.8433219178081983,0.6666666666666666,71.76666666666452,70.49999999999557,556.999999999988,-194.99999999999318,20.159999999999627,-18.27000000000017,120.00251666666666,183.9999999999975,160.5,6,5,0.8333333333333334,1,2,4,0.1677205660945506,0.1677205660945506,2024H1
B_EXECUTABLE_T0_8BAR,BASELINE,28,28,11190.999999999889,-2956.0000000000455,8234.999999999842,3.7858592692827187,0.7142857142857143,294.1071428571372,103.49999999999682,3098.9999999999895,-1231.9999999999993,53.80714285714246,-23.821428571428832,120.00005833333333,1231.9999999999993,481.75,6,5,0.8333333333333334,1,2,3,0.27691895272987405,0.27691895272987405,2024H2
C_M1_ACCEPTANCE_8BAR,BASELINE,12,12,3577.000000000055,-762.0000000000289,2815.000000000026,4.6942257217846715,0.6666666666666666,234.5833333333355,237.00000000000898,941.0000000000025,-271.000000000015,39.48333333333286,-17.68333333333345,119.00080833333332,486.0000000000184,2207.5,6,4,0.6666666666666666,1,2,3,0.263069611406203,0.263069611406203,2023H1
C_M1_ACCEPTANCE_8BAR,BASELINE,17,17,1097.0000000000368,-1409.9999999999966,-312.99999999995975,0.7780141843971912,0.4117647058823529,-18.411764705879985,-34.99999999999659,301.00000000001614,-453.00000000000296,22.888235294117262,-17.882352941176258,118.99929999999999,852.9999999999802,2734.75,5,3,0.6,0,1,3,0.27438468550593076,0.27438468550593076,2023H2
C_M1_ACCEPTANCE_8BAR,BASELINE,12,12,1201.9999999999982,-778.9999999999964,423.0000000000018,1.5430038510911475,0.5833333333333334,35.25000000000015,42.00000000000159,469.99999999999886,-299.99999999998295,20.566666666667288,-24.766666666665788,119.00070833333332,189.99999999999773,1004.5,6,3,0.5,1,1,4,0.391014975041597,0.391014975041597,2024H1
C_M1_ACCEPTANCE_8BAR,BASELINE,17,17,5890.000000000015,-1354.0000000000418,4535.999999999973,4.350073855243599,0.6470588235294118,266.8235294117631,106.99999999999932,1424.0000000000066,-658.9999999999918,47.87058823529431,-20.035294117646927,119.00051666666667,956.9999999999936,1311.5,6,4,0.6666666666666666,1,2,3,0.24176570458404126,0.24176570458404126,2024H2
D_EXECUTABLE_T0_4BAR,BASELINE,21,21,2396.000000000015,-2037.0000000000346,358.99999999998045,1.1762395679921327,0.47619047619047616,17.095238095237164,-14.999999999986358,634.9999999999909,-478.00000000000864,23.890476190476306,-18.12380952380958,59.99988333333333,1291.0000000000537,3417.25,6,3,0.5,1,2,2,0.2650250417362216,0.2650250417362216,2023H1
D_EXECUTABLE_T0_4BAR,BASELINE,35,35,2406.9999999999823,-1995.0000000000045,411.9999999999777,1.2065162907268054,0.4857142857142857,11.771428571427935,-8.99999999998613,368.9999999999998,-566.9999999999789,14.562857142856842,-15.622857142857113,60.000483333333335,984.0000000000373,3169.5,6,3,0.5,1,1,4,0.15454923140839918,0.15330286663897072,2023H2
D_EXECUTABLE_T0_4BAR,BASELINE,30,30,2842.9999999999327,-1860.000000000042,982.9999999998904,1.5284946236558432,0.5,32.76666666666301,3.9999999999906777,545.9999999999923,-339.00000000002706,16.15999999999995,-16.393333333333544,59.99985,574.0000000000407,1697.25,6,4,0.6666666666666666,1,1,4,0.1920506507210711,0.1920506507210711,2024H1
D_EXECUTABLE_T0_4BAR,BASELINE,28,28,7784.99999999994,-2013.0000000000337,5771.999999999905,3.867362146050576,0.6785714285714286,206.14285714285376,85.99999999999852,2680.999999999983,-850.9999999999991,38.37499999999951,-19.90357142857176,60.00045,850.9999999999991,672.75,6,5,0.8333333333333334,1,2,3,0.3443802183686582,0.3443802183686582,2024H2
