b02_active,f05_active,same_direction_overlap,opposite_direction_overlap,trades,net_jpy,mean_jpy,candidate_id
False,False,False,False,15,1403.9999999999395,93.59999999999597,B_EXECUTABLE_T0_8BAR
False,True,False,True,15,337.999999999937,22.533333333329136,B_EXECUTABLE_T0_8BAR
False,True,True,False,7,-523.0000000000246,-74.71428571428922,B_EXECUTABLE_T0_8BAR
False,True,True,True,3,2173.000000000002,724.3333333333339,B_EXECUTABLE_T0_8BAR
True,False,False,True,6,-80.99999999998886,-13.499999999998144,B_EXECUTABLE_T0_8BAR
True,False,True,False,4,-1232.9999999999757,-308.2499999999939,B_EXECUTABLE_T0_8BAR
True,False,True,True,1,-94.99999999999886,-94.99999999999886,B_EXECUTABLE_T0_8BAR
True,True,False,True,24,538.9999999999873,22.458333333332803,B_EXECUTABLE_T0_8BAR
True,True,True,False,23,4595.999999999918,199.82608695651817,B_EXECUTABLE_T0_8BAR
True,True,True,True,16,5383.999999999985,336.4999999999991,B_EXECUTABLE_T0_8BAR
False,False,False,False,4,319.9999999999932,79.9999999999983,C_M1_ACCEPTANCE_8BAR
False,True,False,True,7,5.000000000023874,0.7142857142891249,C_M1_ACCEPTANCE_8BAR
False,True,True,False,4,-206.00000000001728,-51.50000000000432,C_M1_ACCEPTANCE_8BAR
False,True,True,True,1,1424.0000000000066,1424.0000000000066,C_M1_ACCEPTANCE_8BAR
True,False,False,True,3,-369.0000000000282,-123.0000000000094,C_M1_ACCEPTANCE_8BAR
True,False,True,False,1,7.000000000005002,7.000000000005002,C_M1_ACCEPTANCE_8BAR
True,False,True,True,1,-98.99999999998954,-98.99999999998954,C_M1_ACCEPTANCE_8BAR
True,True,False,True,12,1483.000000000004,123.58333333333367,C_M1_ACCEPTANCE_8BAR
True,True,True,False,16,3036.00000000003,189.75000000000188,C_M1_ACCEPTANCE_8BAR
True,True,True,True,9,1860.0000000000136,206.6666666666682,C_M1_ACCEPTANCE_8BAR
False,False,False,False,15,-4.000000000047521,-0.26666666666983474,D_EXECUTABLE_T0_4BAR
False,True,False,True,15,-58.00000000007799,-3.866666666671866,D_EXECUTABLE_T0_4BAR
False,True,True,False,7,-34.000000000020236,-4.857142857145748,D_EXECUTABLE_T0_4BAR
False,True,True,True,3,1578.000000000003,526.000000000001,D_EXECUTABLE_T0_4BAR
True,False,False,True,6,539.999999999992,89.99999999999868,D_EXECUTABLE_T0_4BAR
True,False,True,False,4,-816.9999999999789,-204.2499999999947,D_EXECUTABLE_T0_4BAR
True,False,True,True,1,78.00000000000296,78.00000000000296,D_EXECUTABLE_T0_4BAR
True,True,False,True,24,-574.0000000000975,-23.916666666670732,D_EXECUTABLE_T0_4BAR
True,True,True,False,23,2862.999999999971,124.47826086956395,D_EXECUTABLE_T0_4BAR
True,True,True,True,16,3954.0000000000073,247.12500000000045,D_EXECUTABLE_T0_4BAR
