fold,net_improvement_jpy,realized_dd_reduction_jpy,M15_snapshot_dd_reduction_jpy,candidate_id
2023H1,1023.0,1023.0,1023.0,C1_SHORT_SHARED_SESSION_LOSS_CAP_2
2023H2,2908.0,2477.0,2477.0,C1_SHORT_SHARED_SESSION_LOSS_CAP_2
2024H1,213.0,213.0,213.0,C1_SHORT_SHARED_SESSION_LOSS_CAP_2
2024H2,3011.0,0.0,0.0,C1_SHORT_SHARED_SESSION_LOSS_CAP_2
2023H1,1177.0,1177.0,1177.0,C2_F05_SHORT_SHARED_SESSION_LOSS_CAP_2
2023H2,2523.0,2477.0,2477.0,C2_F05_SHORT_SHARED_SESSION_LOSS_CAP_2
2024H1,0.0,0.0,0.0,C2_F05_SHORT_SHARED_SESSION_LOSS_CAP_2
2024H2,1698.0,0.0,0.0,C2_F05_SHORT_SHARED_SESSION_LOSS_CAP_2
2023H1,1177.0,1177.0,1177.0,C3_F05_SHORT_OWN_LOSS_CAP_2
2023H2,46.0,0.0,0.0,C3_F05_SHORT_OWN_LOSS_CAP_2
2024H1,0.0,0.0,0.0,C3_F05_SHORT_OWN_LOSS_CAP_2
2024H2,1057.0,0.0,0.0,C3_F05_SHORT_OWN_LOSS_CAP_2
