trade_id,fold,strategy,entry_utc,close_utc,side,lot,normalized_exposure,entry_price,realized_pl_jpy,mfe_pips,mae_pips,session,month,winner,portfolio_event_id,loss_cluster_id,loss_cluster_size,open_position_count,B02_position_count,F05_position_count,gross_exposure,net_directional_exposure,long_exposure,short_exposure,same_direction_entry_count,opposite_direction_entry_count,cross_strategy_open,strategy_concentration,entry_price_dispersion_pips,average_entry_age_min,maximum_entry_age_min,unrealized_pnl_jpy,realized_pnl_jpy,portfolio_realized_drawdown_jpy,portfolio_snapshot_equity_delta_jpy,current_loss_streak,time_since_previous_entry_min,time_since_previous_loss_min,same_session_entry_count,same_session_prior_loss_count,recovery_interference,recovering_open_position_count,volatility_state,shock_elapsed_min,shock,entry_cluster_1m,entry_cluster_5m,entry_cluster_15m,entry_cluster_30m,entry_cluster_60m,standalone_60m,concurrent_exposure,same_direction_overlap,opposite_direction_overlap,B02_F05_overlap,drawdown_add,drawdown_band,session_loss_chain_id,session_loss_chain_position,session_loss_chain_size,entry_session_key,exit_session_key,side_label,entry_month,allow,prior_relevant_loss_count,C1_allow,C1_prior_relevant_loss_count,C2_allow,C2_prior_relevant_loss_count,C3_allow,C3_prior_relevant_loss_count,native_chronology_availability,chronology_unresolved_flag,chronology_class
2023H1|B02|2023-03-08 12:15:00+00:00|-1,2023H1,B02,2023-03-08 12:15:00+00:00,2023-03-09 00:15:00+00:00,-1,0.01,1.0,137.191,154.0,56.1,-21.5,London,2023-03,True,42,,0,1,0,1,1.0,1.0,1.0,0.0,0,1,True,1.0,65.89999999999918,450.0,450.0,-664.0,-9763.0,9763.0,-10427.0,2,450.0,15.0,0,2,False,0,normal,555.0,False,False,False,False,False,False,False,True,False,True,True,True,extreme,,0,0.0,2023-03-08|London,2023-03-09|Tokyo,SHORT,2023-03,False,2,False,2,True,2,True,0,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2023H1|F05|2023-03-20 05:30:00+00:00|-1,2023H1,F05,2023-03-20 05:30:00+00:00,2023-03-20 13:30:00+00:00,-1,0.01,1.0,131.487,-251.0,84.7,-25.1,Tokyo,2023-03,False,50,83.0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,-16451.0,16451.0,-16451.0,2,3570.0,150.0,0,2,False,0,normal,3900.0,False,False,False,False,False,True,False,False,False,False,False,True,extreme,79.0,1,3.0,2023-03-20|Tokyo,2023-03-20|London_NY_overlap,SHORT,2023-03,False,2,False,2,False,2,False,2,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2023H1|F05|2023-03-20 06:30:00+00:00|-1,2023H1,F05,2023-03-20 06:30:00+00:00,2023-03-20 14:30:00+00:00,-1,0.01,1.0,130.876,-926.0,23.6,-92.6,Tokyo,2023-03,False,50,83.0,3,1,0,1,1.0,-1.0,0.0,1.0,1,0,False,1.0,61.099999999999,60.0,60.0,606.0,-16451.0,16451.0,-15845.0,2,60.0,210.0,1,2,False,0,expansion,3960.0,False,False,False,False,False,True,False,True,True,False,False,True,extreme,79.0,2,3.0,2023-03-20|Tokyo,2023-03-20|London_NY_overlap,SHORT,2023-03,False,2,False,2,False,2,False,2,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2023H1|F05|2023-06-23 05:45:00+00:00|1,2023H1,F05,2023-06-23 05:45:00+00:00,2023-06-23 13:45:00+00:00,1,0.01,1.0,143.378,-453.0,1.9,-54.7,Tokyo,2023-06,False,111,206.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,-25348.0,25348.0,-25348.0,2,615.0,135.0,0,2,False,0,shock,0.0,True,False,False,False,False,False,True,False,False,False,False,True,extreme,192.0,1,1.0,2023-06-23|Tokyo,2023-06-23|London_NY_overlap,LONG,2023-06,False,2,True,2,True,2,True,0,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2023H2|B02|2023-07-14 09:45:00+00:00|1,2023H2,B02,2023-07-14 09:45:00+00:00,2023-07-16 23:30:00+00:00,1,0.01,1.0,138.463,236.0,44.7,-7.7,London,2023-07,True,125,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,-17828.0,17828.0,-17828.0,3,495.0,15.0,0,3,False,0,expansion,180.0,False,False,False,False,False,False,True,False,False,False,False,True,extreme,,0,0.0,2023-07-14|London,2023-07-16|session_transition,LONG,2023-07,False,3,True,3,True,3,True,3,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2023H2|F05|2023-07-28 04:15:00+00:00|-1,2023H2,F05,2023-07-28 04:15:00+00:00,2023-07-28 12:15:00+00:00,-1,0.01,1.0,138.113,-1289.0,-0.5,-188.3,Tokyo,2023-07,False,134,238.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,-26344.0,26344.0,-26344.0,6,525.0,45.0,0,2,False,0,shock,0.0,True,False,False,False,False,False,True,False,False,False,False,True,extreme,224.0,1,1.0,2023-07-28|Tokyo,2023-07-28|London,SHORT,2023-07,False,2,False,2,False,2,True,1,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2023H2|F05|2023-09-11 03:30:00+00:00|-1,2023H2,F05,2023-09-11 03:30:00+00:00,2023-09-11 11:30:00+00:00,-1,0.01,1.0,146.454,-418.0,50.1,-52.3,Tokyo,2023-09,False,159,292.0,4,1,0,1,1.0,-1.0,0.0,1.0,1,0,False,1.0,18.299999999999272,45.0,45.0,178.0,-32679.0,32679.0,-32501.0,3,45.0,30.0,1,2,False,0,expansion,315.0,False,False,False,False,False,True,False,True,True,False,False,True,extreme,278.0,2,3.0,2023-09-11|Tokyo,2023-09-11|London,SHORT,2023-09,False,2,False,2,False,2,True,0,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2023H2|F05|2023-09-11 04:30:00+00:00|-1,2023H2,F05,2023-09-11 04:30:00+00:00,2023-09-11 12:30:00+00:00,-1,0.01,1.0,146.268,-207.0,31.5,-70.9,Tokyo,2023-09,False,159,292.0,4,2,0,2,2.0,-2.0,0.0,2.0,2,0,False,1.0,36.89999999999998,82.5,105.0,545.0,-32679.0,32679.0,-32134.0,3,60.0,90.0,2,2,False,0,shock,0.0,True,False,False,False,True,True,False,True,True,False,False,True,extreme,278.0,3,3.0,2023-09-11|Tokyo,2023-09-11|London,SHORT,2023-09,False,2,False,2,False,2,True,0,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2023H2|F05|2023-09-11 05:00:00+00:00|-1,2023H2,F05,2023-09-11 05:00:00+00:00,2023-09-11 13:00:00+00:00,-1,0.01,1.0,146.197,-301.0,24.4,-78.0,Tokyo,2023-09,False,159,292.0,4,3,0,3,3.0,-3.0,0.0,3.0,3,0,False,1.0,43.99999999999977,85.0,135.0,753.0,-32679.0,32679.0,-31926.0,3,30.0,120.0,3,2,False,0,post_shock,30.0,False,False,False,False,True,True,False,True,True,False,False,True,extreme,279.0,1,2.0,2023-09-11|Tokyo,2023-09-11|London_NY_overlap,SHORT,2023-09,False,2,False,2,False,2,True,0,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
2023H2|F05|2023-09-11 06:15:00+00:00|-1,2023H2,F05,2023-09-11 06:15:00+00:00,2023-09-11 14:15:00+00:00,-1,0.01,1.0,145.948,-262.0,-0.5,-102.9,Tokyo,2023-09,False,159,293.0,1,4,0,4,4.0,-4.0,0.0,4.0,4,0,False,1.0,68.8999999999993,138.75,210.0,1744.0,-32679.0,32679.0,-30935.0,3,75.0,195.0,4,2,False,0,shock,0.0,True,False,False,False,False,False,False,True,True,False,False,True,extreme,279.0,2,2.0,2023-09-11|Tokyo,2023-09-11|London_NY_overlap,SHORT,2023-09,False,2,False,2,False,2,True,0,True,False,SAME_TICK_DETERMINISTIC_EA_ORDER
