opportunity_id,fold_canonical,date_canonical,side_canonical,side_label_canonical,reason,signal_utc,entry_utc,exit_utc,signal_i,entry_i,exit_i,asian_high_canonical,asian_low_canonical,asian_bar_count,signal_open_canonical,signal_high_canonical,signal_low_canonical,signal_close_canonical,entry_bid_atlas,exit_bid_atlas,atlas_net_pips,atlas_normalized_pl_jpy,raw_asian_bar_count,raw_missing_bar_count,raw_asian_high,raw_asian_low,raw_signal_resolved,raw_signal_open,raw_signal_high,raw_signal_low,raw_signal_close,raw_signal_first_tick,raw_signal_last_tick,raw_signal_ticks,raw_signal_side,raw_side_match,execution_resolved,entry_execution_time,exit_execution_time,entry_bid_canonical,entry_ask_canonical,exit_bid_canonical,exit_ask_canonical,entry_spread_pips_canonical,exit_spread_pips,pnl_pips_canonical,pnl_jpy_canonical,mfe_pips_canonical,mae_pips_canonical,time_to_mfe_seconds_canonical,time_to_mae_seconds_canonical,holding_seconds,accepted_missing_bar_count,range_size_pips,sweep_depth_pips,close_back_inside_depth_pips,signal_body_pips,signal_wick_pips,decision_time_canonical,exit_boundary_canonical,candidate_id,data_quality_flags,baseline_daily_pl_jpy,baseline_drawdown_state_jpy,concurrent_exposure_count,B02_overlap,F05_overlap,same_direction_exposure,opposite_direction_exposure,event_id,date_raw,fold_raw,month,side_raw,side_label_raw,session,signal_bar_start,decision_time_raw,exit_boundary_raw,asian_high_raw,asian_low_raw,asian_range_width_pips,sweep_distance_pips,sweep_distance_range_ratio,signal_open_raw,signal_high_raw,signal_low_raw,signal_close_raw,sweep_timestamp,maximum_overshoot_pips,first_close_back_inside_timestamp,first_executable_reclaim_timestamp,reclaim_speed_seconds,reclaim_retained_seconds,reentry_outside_count,second_sweep_occurrence,entry_time,entry_bid_raw,entry_ask_raw,pre_sweep_return_toward_boundary_15m_pips,pre_sweep_volatility_15m_pips,tick_velocity_60s_ticks_per_second,recent_local_excursion_5m_pips,asian_range_formation_speed_pips_per_hour,asian_boundary_formation_time,asian_boundary_touches,seconds_since_boundary_formation,seconds_from_sweep_to_london_open,entry_spread_pips_raw,exit_time,exit_bid_raw,exit_ask_raw,pnl_pips_raw,pnl_jpy_raw,mfe_pips_raw,mae_pips_raw,time_to_mfe_seconds_raw,time_to_mae_seconds_raw,return_5m_pips,return_15m_pips,return_30m_pips,return_60m_pips,return_120m_pips,return_180m_pips,range_midpoint_reached,opposite_boundary_reached,range_outside_redeparture,tp10_sl20_order,entry_delay_5s_pnl_jpy,entry_delay_10s_pnl_jpy,_merge
,,,,,,2023-01-02 11:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAW|2023-01-02|2023-01-02T11:00:00Z|1,2023-01-02,2023H1,2023-01,1.0,LONG,LONDON,2023-01-02 11:00:00+00:00,2023-01-02 11:15:00+00:00,2023-01-02 14:15:00+00:00,131.041,130.785,25.600000000000023,0.899999999998613,0.03515624999994579,130.778,130.876,130.776,130.826,2023-01-02 11:00:00.244000+00:00,0.899999999998613,2023-01-02 11:15:00+00:00,2023-01-02 11:01:01.392000+00:00,61.148,0.735,2.0,True,2023-01-02 11:15:04.096000+00:00,130.827,130.849,-0.49999999999954525,3.6000000000001364,1.3,3.2000000000010687,31.424752448239207,2023-01-02 01:02:49.958000+00:00,1.0,35830.286,-10800.244,2.199999999999136,2023-01-02 14:15:11.384000+00:00,130.669,130.685,-17.99999999999784,-179.9999999999784,2.899999999999636,-23.199999999999932,278.529,9076.332,0.9000000000014552,-4.2999999999977945,-3.7999999999982492,-13.199999999997658,-16.899999999998272,-17.99999999999784,False,False,True,SL_ONLY,-182.99999999999272,-182.99999999999272,right_only
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-03T08:45:00+00:00|-1,2023H1,2023-01-03,-1.0,SHORT,asian_high,2023-01-03 08:30:00+00:00,2023-01-03 08:45:00+00:00,2023-01-03 11:45:00+00:00,110.0,111.0,123.0,130.904,129.506,28.0,130.763,130.958,130.66,130.748,130.748,130.74,0.2999999999981355,2.999999999981356,28.0,0.0,130.903,129.507,True,130.757,130.956,130.658,130.745,2023-01-03 08:30:00.032000+00:00,2023-01-03 08:44:59.842000+00:00,5307.0,-1.0,True,True,2023-01-03 08:45:00.559000+00:00,2023-01-03 11:45:00.122000+00:00,130.746,130.754,130.734,130.742,0.7999999999981355,0.7999999999981355,0.4000000000019099,4.000000000019099,43.00000000000068,-12.09999999999809,2091.839,296.809,10799.563,0.0,139.7999999999996,5.400000000000205,15.600000000000591,1.500000000001478,19.49999999999932,2023-01-03 08:45:00+00:00,2023-01-03 11:45:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-129.0,0.0,0.0,False,False,0.0,0.0,RAW|2023-01-03|2023-01-03T08:30:00Z|-1,2023-01-03,2023H1,2023-01,-1.0,SHORT,LONDON,2023-01-03 08:30:00+00:00,2023-01-03 08:45:00+00:00,2023-01-03 11:45:00+00:00,130.903,129.507,139.59999999999866,5.299999999999727,0.037965616045843684,130.757,130.956,130.658,130.745,2023-01-03 08:30:39.024000+00:00,5.299999999999727,2023-01-03 08:45:00+00:00,2023-01-03 08:30:39.890000+00:00,0.866,0.408,8.0,True,2023-01-03 08:45:00.559000+00:00,130.746,130.754,56.49999999999977,56.60000000000025,6.616666666666666,31.900000000001683,33.491427318184435,2023-01-03 00:02:15.210000+00:00,1.0,30503.814,-1839.024,0.7999999999981355,2023-01-03 11:45:00.122000+00:00,130.734,130.742,0.40000000000190994,4.000000000019099,43.00000000000068,-12.09999999999809,2091.839,296.809,-11.7999999999995,-3.6000000000001364,24.200000000001864,28.400000000002024,13.400000000001455,,False,False,False,TP_ONLY,2.0000000000095497,4.000000000019099,both
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-04T12:15:00+00:00|1,2023H1,2023-01-04,1.0,LONG,asian_low,2023-01-04 12:00:00+00:00,2023-01-04 12:15:00+00:00,2023-01-04 15:15:00+00:00,220.0,221.0,233.0,131.308,130.583,28.0,130.535,130.754,130.518,130.741,130.741,131.729,98.29999999999995,982.9999999999995,28.0,0.0,131.304,130.577,True,130.531,130.75,130.515,130.737,2023-01-04 12:00:00.051000+00:00,2023-01-04 12:14:59.670000+00:00,3022.0,1.0,True,True,2023-01-04 12:15:00.069000+00:00,2023-01-04 15:15:00.051000+00:00,130.737,130.744,131.73,131.737,0.7000000000005002,0.7000000000005002,98.599999999999,985.99999999999,100.7000000000005,-16.30000000000109,10598.405,5761.961,10799.982,0.0,72.49999999999943,6.499999999999773,15.800000000001546,20.600000000001728,1.6999999999995907,2023-01-04 12:15:00+00:00,2023-01-04 15:15:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-1599.0,0.0,1.0,True,False,0.0,1.0,RAW|2023-01-04|2023-01-04T12:00:00Z|1,2023-01-04,2023H1,2023-01,1.0,LONG,LONDON_NY_OVERLAP,2023-01-04 12:00:00+00:00,2023-01-04 12:15:00+00:00,2023-01-04 15:15:00+00:00,131.304,130.577,72.70000000000039,6.200000000001182,0.08528198074279435,130.531,130.75,130.515,130.737,2023-01-04 12:00:00.051000+00:00,6.200000000001182,2023-01-04 12:15:00+00:00,2023-01-04 12:01:46.804000+00:00,106.753,1.968,11.0,True,2023-01-04 12:15:00.069000+00:00,130.737,130.744,3.700000000000614,8.699999999998909,2.816666666666667,6.000000000000227,37.1515234793315,2023-01-04 01:57:24.983000+00:00,1.0,36155.068,-14400.051,0.7000000000005002,2023-01-04 15:15:00.051000+00:00,131.73,131.737,98.599999999999,985.99999999999,100.7000000000005,-16.30000000000109,10598.405,5761.961,3.8999999999987267,10.300000000000864,13.2000000000005,15.299999999999159,-0.899999999998613,,True,True,False,TP_ONLY,997.9999999999905,986.9999999999948,both
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-05T09:00:00+00:00|-1,2023H1,2023-01-05,-1.0,SHORT,asian_high,2023-01-05 08:45:00+00:00,2023-01-05 09:00:00+00:00,2023-01-05 12:00:00+00:00,303.0,304.0,316.0,132.626,131.679,28.0,132.809,132.84,132.551,132.588,132.588,132.453,12.99999999999909,129.9999999999909,28.0,0.0,132.623,131.681,True,132.811,132.84,132.552,132.588,2023-01-05 08:45:00.098000+00:00,2023-01-05 08:59:59.894000+00:00,3074.0,-1.0,True,True,2023-01-05 09:00:00.320000+00:00,2023-01-05 12:00:00.104000+00:00,132.589,132.595,132.452,132.457,0.6000000000000227,0.4999999999995452,13.2000000000005,132.000000000005,25.99999999999909,-11.299999999999956,7787.454,720.991,10799.784,0.0,94.70000000000029,21.399999999999864,3.8000000000010914,22.100000000000364,3.100000000000591,2023-01-05 09:00:00+00:00,2023-01-05 12:00:00+00:00,A_EXACT_EXECUTABLE_12BAR,,1001.0,1599.0,2.0,True,True,0.0,2.0,RAW|2023-01-05|2023-01-05T08:45:00Z|-1,2023-01-05,2023H1,2023-01,-1.0,SHORT,LONDON,2023-01-05 08:45:00+00:00,2023-01-05 09:00:00+00:00,2023-01-05 12:00:00+00:00,132.623,131.681,94.19999999999789,21.700000000001296,0.23036093418260917,132.811,132.84,132.552,132.588,2023-01-05 08:45:00.098000+00:00,21.700000000001296,2023-01-05 09:00:00+00:00,2023-01-05 08:53:18.815000+00:00,498.717,1.738,1.0,True,2023-01-05 09:00:00.320000+00:00,132.589,132.595,2.899999999999636,14.19999999999959,2.85,9.299999999998931,21.67989524708268,2023-01-05 05:34:06.139000+00:00,1.0,11453.959,-2700.098,0.6000000000000227,2023-01-05 12:00:00.104000+00:00,132.452,132.457,13.2000000000005,132.000000000005,25.99999999999909,-11.299999999999955,7787.454,720.991,-9.600000000000364,-9.000000000000341,4.4999999999987494,6.800000000001205,10.599999999999454,,False,False,True,TP_ONLY,170.00000000001592,175.00000000001137,both
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-06T08:15:00+00:00|-1,2023H1,2023-01-06,-1.0,SHORT,asian_high,2023-01-06 08:00:00+00:00,2023-01-06 08:15:00+00:00,2023-01-06 11:15:00+00:00,396.0,397.0,409.0,134.368,133.305,28.0,134.22,134.421,134.213,134.281,134.281,134.349,-7.299999999998363,-72.99999999998363,28.0,0.0,134.368,133.301,True,134.22,134.421,134.213,134.282,2023-01-06 08:00:00.088000+00:00,2023-01-06 08:14:59.962000+00:00,4745.0,-1.0,True,True,2023-01-06 08:15:00.013000+00:00,2023-01-06 11:15:00.281000+00:00,134.281,134.288,134.349,134.354,0.7000000000005002,0.5000000000023874,-7.30000000000075,-73.0000000000075,12.5,-31.799999999998363,207.57,4031.434,10800.268,0.0,106.29999999999882,5.299999999999727,8.699999999998909,6.100000000000705,13.999999999998636,2023-01-06 08:15:00+00:00,2023-01-06 11:15:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-6930.0,695.0,3.0,True,True,0.0,3.0,RAW|2023-01-06|2023-01-06T08:00:00Z|-1,2023-01-06,2023H1,2023-01,-1.0,SHORT,LONDON,2023-01-06 08:00:00+00:00,2023-01-06 08:15:00+00:00,2023-01-06 11:15:00+00:00,134.368,133.301,106.70000000000073,5.299999999999727,0.049671977507026156,134.22,134.421,134.213,134.282,2023-01-06 08:01:10.404000+00:00,5.299999999999727,2023-01-06 08:15:00+00:00,2023-01-06 08:01:10.506000+00:00,0.102,0.359,8.0,True,2023-01-06 08:15:00.013000+00:00,134.281,134.288,15.999999999999659,23.900000000000432,5.516666666666667,18.39999999999975,18.301440330786797,2023-01-06 05:50:02.484000+00:00,1.0,7867.92,-70.404,0.7000000000005002,2023-01-06 11:15:00.281000+00:00,134.349,134.354,-7.30000000000075,-73.0000000000075,12.5,-31.799999999998363,207.57,4031.434,5.400000000000205,-10.599999999999454,-3.7999999999982492,-10.899999999998045,3.0000000000001137,-7.30000000000075,False,False,True,TP_FIRST,-73.0000000000075,-70.0000000000216,both
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-06T14:00:00+00:00|1,2023H1,2023-01-06,1.0,LONG,asian_low,2023-01-06 13:45:00+00:00,2023-01-06 14:00:00+00:00,2023-01-06 17:00:00+00:00,419.0,420.0,432.0,134.368,133.305,28.0,133.542,133.593,133.236,133.369,133.369,132.208,-116.60000000000014,-1166.0000000000014,28.0,0.0,134.368,133.301,True,133.544,133.592,133.231,133.371,2023-01-06 13:45:00.026000+00:00,2023-01-06 13:59:59.946000+00:00,8267.0,1.0,True,True,2023-01-06 14:00:00.099000+00:00,2023-01-06 17:00:00.063000+00:00,133.37,133.376,132.21,132.216,0.6000000000000227,0.6000000000000227,-116.59999999999968,-1165.9999999999968,72.20000000000084,-119.40000000000168,2721.648,10751.501,10799.964,0.0,106.29999999999882,6.900000000001683,6.399999999999295,17.300000000000182,13.300000000000978,2023-01-06 14:00:00+00:00,2023-01-06 17:00:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-6930.0,1498.0,4.0,True,True,3.0,1.0,RAW|2023-01-06|2023-01-06T13:45:00Z|1,2023-01-06,2023H1,2023-01,1.0,LONG,LONDON_NY_OVERLAP,2023-01-06 13:45:00+00:00,2023-01-06 14:00:00+00:00,2023-01-06 17:00:00+00:00,134.368,133.301,106.70000000000073,6.999999999999318,0.06560449859418248,133.544,133.592,133.231,133.371,2023-01-06 13:48:17.348000+00:00,6.999999999999318,2023-01-06 14:00:00+00:00,2023-01-06 13:48:17.774000+00:00,0.426,0.995,5.0,True,2023-01-06 14:00:00.099000+00:00,133.37,133.376,81.69999999999789,96.39999999999986,10.033333333333333,49.19999999999902,18.301440330786797,2023-01-06 00:00:13.972000+00:00,1.0,49683.376,-20897.348,0.6000000000000227,2023-01-06 17:00:00.063000+00:00,132.21,132.216,-116.59999999999968,-1165.9999999999968,72.20000000000084,-119.40000000000168,2721.648,10751.501,3.1999999999982265,29.90000000000066,37.60000000000048,59.499999999999886,-94.5999999999998,,True,False,True,TP_FIRST,-1192.9999999999836,-1134.999999999991,both
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-09T08:45:00+00:00|-1,2023H1,2023-01-09,-1.0,SHORT,asian_high,2023-01-09 08:30:00+00:00,2023-01-09 08:45:00+00:00,2023-01-09 11:45:00+00:00,494.0,495.0,507.0,132.113,131.304,28.0,132.141,132.173,132.065,132.065,132.066,132.433,-37.19999999999902,-371.9999999999902,28.0,0.0,132.112,131.304,True,132.143,132.176,132.065,132.067,2023-01-09 08:30:00.050000+00:00,2023-01-09 08:44:59.920000+00:00,4012.0,-1.0,True,True,2023-01-09 08:45:00.066000+00:00,2023-01-09 11:45:00.128000+00:00,132.066,132.072,132.435,132.442,0.6000000000000227,0.7000000000005002,-37.60000000000048,-376.0000000000048,7.099999999999795,-59.499999999999886,283.486,7323.17,10800.062,0.0,80.89999999999975,6.000000000000227,4.800000000000182,7.599999999999341,3.2000000000010687,2023-01-09 08:45:00+00:00,2023-01-09 11:45:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-3903.0,8047.0,4.0,True,True,3.0,1.0,RAW|2023-01-09|2023-01-09T08:30:00Z|-1,2023-01-09,2023H1,2023-01,-1.0,SHORT,LONDON,2023-01-09 08:30:00+00:00,2023-01-09 08:45:00+00:00,2023-01-09 11:45:00+00:00,132.112,131.304,80.79999999999927,6.399999999999295,0.0792079207920712,132.143,132.176,132.065,132.067,2023-01-09 08:30:00.050000+00:00,6.399999999999295,2023-01-09 08:45:00+00:00,2023-01-09 08:30:32.472000+00:00,32.422,0.102,69.0,True,2023-01-09 08:45:00.066000+00:00,132.066,132.072,-0.9999999999990905,22.49999999999943,5.183333333333334,13.700000000000045,35.606861469624896,2023-01-09 00:45:33.625000+00:00,1.0,27866.425,-1800.05,0.6000000000000227,2023-01-09 11:45:00.128000+00:00,132.435,132.442,-37.60000000000048,-376.0000000000048,7.099999999999795,-59.499999999999886,283.486,7323.17,1.5999999999991132,-8.899999999999864,-22.399999999998954,-45.300000000000296,-54.30000000000064,-37.60000000000048,False,False,True,SL_ONLY,-394.00000000000546,-402.00000000001523,both
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-10T07:30:00+00:00|-1,2023H1,2023-01-10,-1.0,SHORT,asian_high,2023-01-10 07:15:00+00:00,2023-01-10 07:30:00+00:00,2023-01-10 10:30:00+00:00,585.0,586.0,598.0,132.221,131.38,28.0,132.128,132.248,132.049,132.183,132.183,131.993,18.499999999999773,184.99999999999773,28.0,0.0,132.221,131.38,True,132.126,132.245,132.048,132.178,2023-01-10 07:15:00.142000+00:00,2023-01-10 07:29:59.763000+00:00,4334.0,-1.0,True,True,2023-01-10 07:30:00.099000+00:00,2023-01-10 10:30:01.388000+00:00,132.179,132.187,131.995,132.0,0.8000000000009777,0.4999999999995452,17.900000000000205,179.00000000000205,48.40000000000089,-11.599999999998545,7136.014,1693.398,10801.289,0.0,84.10000000000082,2.699999999998681,3.8000000000010914,5.500000000000682,6.499999999999773,2023-01-10 07:30:00+00:00,2023-01-10 10:30:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-154.0,11528.0,1.0,True,False,0.0,1.0,RAW|2023-01-10|2023-01-10T07:15:00Z|-1,2023-01-10,2023H1,2023-01,-1.0,SHORT,LONDON,2023-01-10 07:15:00+00:00,2023-01-10 07:30:00+00:00,2023-01-10 10:30:00+00:00,132.221,131.38,84.10000000000082,2.400000000000091,0.028537455410226724,132.126,132.245,132.048,132.178,2023-01-10 07:29:18.326000+00:00,2.400000000000091,2023-01-10 07:30:00+00:00,2023-01-10 07:29:21.814000+00:00,3.488,38.186,0.0,False,2023-01-10 07:30:00.099000+00:00,132.179,132.187,6.30000000000166,17.500000000001137,4.283333333333333,17.500000000001137,73.93942857394124,2023-01-10 00:27:21.885000+00:00,1.0,25316.441,1841.674,0.8000000000009777,2023-01-10 10:30:01.388000+00:00,131.995,132.0,17.900000000000205,179.00000000000205,48.40000000000089,-11.599999999998545,7136.014,1693.398,2.899999999999636,13.2000000000005,-4.800000000000182,18.199999999998795,43.70000000000118,17.900000000000205,True,False,True,TP_ONLY,171.99999999999704,173.00000000000182,both
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-11T08:45:00+00:00|-1,2023H1,2023-01-11,-1.0,SHORT,asian_high,2023-01-11 08:30:00+00:00,2023-01-11 08:45:00+00:00,2023-01-11 11:45:00+00:00,686.0,687.0,699.0,132.583,132.09,28.0,132.652,132.673,132.537,132.54,132.544,132.548,-0.8999999999990678,-8.999999999990678,28.0,0.0,132.578,132.089,True,132.649,132.673,132.534,132.537,2023-01-11 08:30:00.216000+00:00,2023-01-11 08:44:59.160000+00:00,3147.0,-1.0,True,True,2023-01-11 08:45:00.404000+00:00,2023-01-11 11:45:00.284000+00:00,132.541,132.545,132.544,132.55,0.3999999999990677,0.6000000000000227,-0.9000000000014552,-9.000000000014552,22.399999999998958,-21.100000000001277,5193.935,915.941,10799.88,0.0,49.2999999999995,9.000000000000341,4.300000000000637,11.199999999999475,2.1000000000015007,2023-01-11 08:45:00+00:00,2023-01-11 11:45:00+00:00,A_EXACT_EXECUTABLE_12BAR,,-703.0,11682.0,3.0,True,True,0.0,3.0,RAW|2023-01-11|2023-01-11T08:30:00Z|-1,2023-01-11,2023H1,2023-01,-1.0,SHORT,LONDON,2023-01-11 08:30:00+00:00,2023-01-11 08:45:00+00:00,2023-01-11 11:45:00+00:00,132.578,132.089,48.90000000000043,9.499999999999886,0.1942740286298528,132.649,132.673,132.534,132.537,2023-01-11 08:30:00.216000+00:00,9.499999999999886,2023-01-11 08:45:00+00:00,2023-01-11 08:39:25.823000+00:00,565.607,0.458,12.0,True,2023-01-11 08:45:00.404000+00:00,132.541,132.545,14.6000000000015,28.199999999998226,3.4,10.999999999998522,17.41497610782818,2023-01-11 02:49:01.225000+00:00,1.0,20458.991,-1800.216,0.39999999999906777,2023-01-11 11:45:00.284000+00:00,132.544,132.55,-0.9000000000014552,-9.000000000014552,22.399999999998954,-21.100000000001273,5193.935,915.941,0.7000000000005002,-14.699999999999136,-6.499999999999773,0.9999999999990905,2.000000000001023,,True,False,True,SL_FIRST,-6.000000000000227,-7.000000000005002,both
2023H1|F_ASIAN_RANGE_SWEEP|2023-01-13T09:30:00+00:00|1,2023H1,2023-01-13,1.0,LONG,asian_low,2023-01-13 09:15:00+00:00,2023-01-13 09:30:00+00:00,2023-01-13 12:30:00+00:00,881.0,882.0,894.0,129.347,128.4,28.0,128.25,128.719,128.231,128.629,128.629,128.72,8.600000000000819,86.00000000000819,28.0,0.0,129.346,128.397,True,128.249,128.721,128.231,128.626,2023-01-13 09:15:00.053000+00:00,2023-01-13 09:29:59.216000+00:00,3177.0,1.0,True,True,2023-01-13 09:30:00.337000+00:00,2023-01-13 12:30:00.052000+00:00,128.628,128.637,128.717,128.729,0.9000000000014552,1.2000000000000457,8.00000000000125,80.0000000000125,15.89999999999918,-36.7999999999995,9964.181,3277.407,10799.715,0.0,94.70000000000029,16.900000000001114,22.8999999999985,37.89999999999907,1.9000000000005457,2023-01-13 09:30:00+00:00,2023-01-13 12:30:00+00:00,A_EXACT_EXECUTABLE_12BAR,,1724.0,4224.0,3.0,True,True,0.0,3.0,RAW|2023-01-13|2023-01-13T09:15:00Z|1,2023-01-13,2023H1,2023-01,1.0,LONG,LONDON,2023-01-13 09:15:00+00:00,2023-01-13 09:30:00+00:00,2023-01-13 12:30:00+00:00,129.346,128.397,94.90000000000123,16.59999999999968,0.17492096944151178,128.249,128.721,128.231,128.626,2023-01-13 09:15:00.053000+00:00,16.59999999999968,2023-01-13 09:30:00+00:00,2023-01-13 09:19:00.370000+00:00,240.317,0.052,4.0,True,2023-01-13 09:30:00.337000+00:00,128.628,128.637,8.00000000000125,13.49999999999909,2.0833333333333335,9.100000000000819,16.104185273362905,2023-01-13 06:56:35.125000+00:00,1.0,8304.928,-4500.053,0.9000000000014552,2023-01-13 12:30:00.052000+00:00,128.717,128.729,8.00000000000125,80.0000000000125,15.899999999999181,-36.7999999999995,9964.181,3277.407,-11.899999999999977,-9.200000000001296,-11.50000000000091,-22.30000000000132,-7.400000000001228,,False,False,True,SL_FIRST,80.0000000000125,51.00000000001614,both
