candidate_id,scope,exact_variant,hard_pass,candidate_freeze_eligible,admitted_trades,net_jpy,pf,positive_folds,minimum_fold_net_jpy,negative_baseline_day_contribution_jpy,combined_full_equity_dd_jpy,combined_worst_5d_jpy,combined_worst_20d_jpy,combined_worst_month_jpy,top5_retention,top_decile_retention,avoided_loss_jpy,sacrificed_profit_jpy,right_tail_pass
C1_ENTRY_TIME_ADMISSION,OOF,C1_E2_SEP_GE_2_0,False,False,278,10684.99999999976,1.2864764866748803,4,1320.0000000000216,-9062.00000000007,39628.00000000012,-12427.000000000013,-15530.999999999985,-12859.000000000084,0.5955532574974133,0.6166118705658432,27514.9999999998,34509.00000000004,False
C1_ENTRY_TIME_ADMISSION,FULL_EXACT,C1_E2_SEP_GE_2_0,False,False,288,16611.99999999998,1.4857167919066672,4,41.000000000110504,-6015.999999999878,37184.0,-12427.000000000013,-15530.999999999985,-10042.00000000002,0.5139607032057881,0.6844436753763633,30611.999999999894,31678.999999999913,False
C2_30_MIN_FAILURE_EXIT,OOF,C2_F30_M10,False,False,500,13744.999999999622,1.2197301531476732,4,1157.0000000000107,-11247.000000000156,36818.00000000023,-11770.000000000002,-15396.00000000005,-11408.000000000091,0.9999999999999987,0.9733517909672955,8306.999999999745,6193.000000000065,True
C2_30_MIN_FAILURE_EXIT,FULL_EXACT,C2_F30_M10,False,False,500,13744.999999999622,1.2197301531476732,4,1157.0000000000107,-11247.000000000156,36818.00000000023,-11770.000000000002,-15396.00000000005,-11408.000000000091,0.9999999999999987,0.9733517909672955,8306.999999999745,6193.000000000065,True
C3_60_MIN_NO_PROGRESS_EXIT,OOF,C3_NP60_MFE10_PL0,False,False,500,12904.999999999533,1.2341977750757573,4,1756.9999999998345,-12492.000000000247,39175.00000000012,-11759.000000000007,-15719.0,-13648.000000000071,0.8258531540847972,0.9417200207648387,17400.99999999954,14484.00000000016,False
C3_60_MIN_NO_PROGRESS_EXIT,FULL_EXACT,C3_NP60_MFE10_PL0,False,False,500,12904.999999999533,1.2341977750757573,4,1756.9999999998345,-12492.000000000247,39175.00000000012,-11759.000000000007,-15719.0,-13648.000000000071,0.8258531540847972,0.9417200207648387,17400.99999999954,14484.00000000016,False
C4_CONTINUATION_ALIVE_STATE_MACHINE,OOF,C4_S3_EMA_RECROSS,False,False,500,3791.9999999995025,1.0621863622945895,2,-1500.0000000001705,-13952.000000000167,42246.00000000023,-11792.999999999998,-16601.000000000116,-14536.000000000106,0.6109617373319531,0.869804464440215,13981.999999999529,17721.99999999999,False
C4_CONTINUATION_ALIVE_STATE_MACHINE,FULL_EXACT,C4_S3_EMA_RECROSS,False,False,500,8264.999999999574,1.1467819847978886,3,-17.000000000208956,-10399.000000000115,42246.00000000023,-11792.999999999998,-14874.000000000002,-11810.00000000005,0.6109617373319531,0.869804464440215,18474.999999999578,17919.000000000022,False
C5_PORTFOLIO_LOSS_DECOUPLING,OOF,C5_COEXPOSURE_SKIP,False,False,176,1626.9999999996398,1.0705795592573149,3,-5777.0000000001,1423.9999999999493,38103.00000000023,-11701.000000000015,-18257.000000000036,-15940.000000000015,0.1741468459152014,0.23197785083924466,41760.99999999975,57813.00000000012,False
C5_PORTFOLIO_LOSS_DECOUPLING,FULL_EXACT,C5_COEXPOSURE_SKIP,False,False,176,1626.9999999996398,1.0705795592573149,3,-5777.0000000001,1423.9999999999493,38103.00000000023,-11701.000000000015,-18257.000000000036,-15940.000000000015,0.1741468459152014,0.23197785083924466,41760.99999999975,57813.00000000012,False
C6_BEST_ADMISSIBLE_COMBINED,OOF,C6_K3_E3_NP60_3,False,False,274,3910.9999999998454,1.1115611718059109,3,-425.0000000000682,-8997.000000000071,41183.00000000012,-12143.999999999996,-15732.99999999998,-12845.000000000045,0.42140641158221187,0.5324104516352325,34637.99999999982,43523.999999999985,False
C6_BEST_ADMISSIBLE_COMBINED,FULL_EXACT,C6_K3_E3_NP60_3,False,False,270,4109.999999999729,1.1194871645782973,3,-425.0000000000682,-6674.000000000177,40984.00000000023,-11211.000000000004,-16458.000000000033,-12845.000000000045,0.42140641158221187,0.5165253504066462,34622.999999999716,43985.0,False
