trade_id,fold,oof_holdout_fold
2023H1|J_PULLBACK_CONTINUATION|2023-01-08T23:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-09T07:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-09T15:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-09T23:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-12T04:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-12T08:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-12T13:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-12T23:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-13T04:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-13T09:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-13T17:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-13T21:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-17T20:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-18T17:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-18T23:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-25T13:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-25T19:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-26T03:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-01-31T23:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-01T13:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-01T19:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-02T02:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-02T08:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-02T15:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-02T22:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-07T19:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-08T03:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-08T10:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-09T12:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-10T14:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-14T06:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-17T21:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-20T07:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-20T12:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-23T21:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-02-28T22:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-03T09:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-03T15:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-05T23:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-06T05:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-09T08:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-09T13:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-09T17:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-09T22:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-12T23:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-13T04:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-13T08:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-13T14:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-13T20:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-15T14:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-15T22:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-16T06:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-16T11:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-17T17:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-20T03:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-20T11:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-20T16:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-20T22:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-21T03:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-22T23:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-23T05:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-23T12:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-23T17:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-23T23:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-24T03:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-24T08:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-03-28T19:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-04-03T20:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-04-04T21:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-04-05T05:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-04-05T11:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-04-05T16:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-04-05T22:00:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-04-12T18:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-04-12T22:45:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-04-13T09:15:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-04-13T20:30:00+00:00|-1,2023H1,2023H1
2023H1|J_PULLBACK_CONTINUATION|2023-04-14T01:15:00+00:00|-1,2023H1,2023H1
