candidate_id,window_trades,net_jpy,start_entry_utc,end_close_utc
BASELINE,5,-4180.0,2025-03-18 11:45:00+00:00,2025-03-24 21:30:00+00:00
BASELINE,10,-5154.0,2025-03-10 09:15:00+00:00,2025-03-24 21:30:00+00:00
BASELINE,20,-8154.0,2025-03-03 12:00:00+00:00,2025-03-31 19:15:00+00:00
C1_BREAKOUT_ACCEPTANCE_30M,5,-2483.999999999991,2025-04-09 12:15:00+00:00,2025-04-16 08:30:00+00:00
C1_BREAKOUT_ACCEPTANCE_30M,10,-3679.999999999979,2025-04-09 12:15:00+00:00,2025-04-28 13:00:00+00:00
C1_BREAKOUT_ACCEPTANCE_30M,20,-4065.9999999999704,2025-03-13 12:15:00+00:00,2025-04-10 00:15:00+00:00
C2_FALSE_BREAK_RANGE_REENTRY,5,-1323.9999999999554,2025-04-04 09:00:00+00:00,2025-04-09 13:15:00+00:00
C2_FALSE_BREAK_RANGE_REENTRY,10,-1553.9999999999452,2025-03-10 09:15:00+00:00,2025-03-24 09:45:00+00:00
C2_FALSE_BREAK_RANGE_REENTRY,20,-1340.9999999998715,2025-02-24 09:30:00+00:00,2025-03-24 09:45:00+00:00
C3_PROFIT_TO_NONPROFIT_GIVEBACK,5,-3471.0000000000127,2025-03-18 11:45:00+00:00,2025-03-24 21:30:00+00:00
C3_PROFIT_TO_NONPROFIT_GIVEBACK,10,-4356.999999999987,2025-03-10 09:15:00+00:00,2025-03-24 21:30:00+00:00
C3_PROFIT_TO_NONPROFIT_GIVEBACK,20,-4841.999999999982,2025-03-11 08:30:00+00:00,2025-04-07 13:15:00+00:00
