period,candidate_id,realized_dd_jpy,full_equity_dd_jpy,minimum_equity_jpy,maximum_concurrency
2023,BASELINE,40455.0,42674.999999999985,59128.000000000044,8
2023,C1_BREAKOUT_ACCEPTANCE_30M,36911.999999999665,37951.999999999636,62791.00000000035,8
2023,C2_FALSE_BREAK_RANGE_REENTRY,32582.99999999952,34016.999999999476,68179.00000000052,8
2023,C3_PROFIT_TO_NONPROFIT_GIVEBACK,34090.999999999636,36142.999999999636,67714.0000000004,8
2024H1,BASELINE,9006.0,10516.0,97853.00000000001,8
2024H1,C1_BREAKOUT_ACCEPTANCE_30M,9201.00000000003,10711.00000000003,95846.99999999994,7
2024H1,C2_FALSE_BREAK_RANGE_REENTRY,9678.00000000003,11113.000000000015,96645.0,7
2024H1,C3_PROFIT_TO_NONPROFIT_GIVEBACK,9725.00000000003,11160.000000000015,95189.99999999999,8
2024H2,BASELINE,18118.0,19311.0,95350.99999999999,9
2024H2,C1_BREAKOUT_ACCEPTANCE_30M,18669.0,19719.0,95350.99999999999,9
2024H2,C2_FALSE_BREAK_RANGE_REENTRY,17558.99999999994,18600.999999999927,95576.0,9
2024H2,C3_PROFIT_TO_NONPROFIT_GIVEBACK,21140.999999999884,22182.99999999987,95776.99999999999,9
2025H1,BASELINE,41131.0,42564.999999999985,57435.000000000015,8
2025H1,C1_BREAKOUT_ACCEPTANCE_30M,34571.999999999935,36005.99999999992,63994.00000000008,8
2025H1,C2_FALSE_BREAK_RANGE_REENTRY,30637.999999999898,30976.999999999884,69023.00000000012,8
2025H1,C3_PROFIT_TO_NONPROFIT_GIVEBACK,30520.99999999981,32088.99999999984,67911.00000000016,8
