candidate_id,stress,net_jpy,delta_vs_baseline_jpy
C1_BREAKOUT_ACCEPTANCE_30M,additional_exit_cost_0.0p,-2515.9999999995707,-15237.99999999957
C1_BREAKOUT_ACCEPTANCE_30M,additional_exit_cost_0.5p,-3600.9999999995725,-16322.999999999573
C1_BREAKOUT_ACCEPTANCE_30M,additional_exit_cost_1.0p,-4685.9999999995725,-17407.99999999957
C1_BREAKOUT_ACCEPTANCE_30M,additional_exit_cost_2.0p,-6855.999999999571,-19577.99999999957
C1_BREAKOUT_ACCEPTANCE_30M,execution_delay_next_M15_boundary,-1599.9999999995464,-14321.999999999549
C2_FALSE_BREAK_RANGE_REENTRY,additional_exit_cost_0.0p,5125.000000000759,-7596.999999999241
C2_FALSE_BREAK_RANGE_REENTRY,additional_exit_cost_0.5p,3440.00000000076,-9281.99999999924
C2_FALSE_BREAK_RANGE_REENTRY,additional_exit_cost_1.0p,1755.0000000007612,-10966.99999999924
C2_FALSE_BREAK_RANGE_REENTRY,additional_exit_cost_2.0p,-1614.9999999992406,-14336.99999999924
C2_FALSE_BREAK_RANGE_REENTRY,execution_delay_next_M15_boundary,5503.000000000691,-7218.999999999309
C3_PROFIT_TO_NONPROFIT_GIVEBACK,additional_exit_cost_0.0p,11219.000000000502,-1502.999999999498
C3_PROFIT_TO_NONPROFIT_GIVEBACK,additional_exit_cost_0.5p,9649.000000000502,-3072.999999999498
C3_PROFIT_TO_NONPROFIT_GIVEBACK,additional_exit_cost_1.0p,8079.000000000501,-4642.999999999499
C3_PROFIT_TO_NONPROFIT_GIVEBACK,additional_exit_cost_2.0p,4939.000000000498,-7782.999999999502
C3_PROFIT_TO_NONPROFIT_GIVEBACK,execution_delay_next_M15_boundary,13890.000000000313,1168.000000000311
