candidate_id,dimension,value,trades,modified_trades,delta_jpy,candidate_net_jpy
C1_BREAKOUT_ACCEPTANCE_30M,fold,2023H1,121,73,4063.0000000001833,-10317.999999999818
C1_BREAKOUT_ACCEPTANCE_30M,fold,2023H2,109,55,-921.9999999998354,1000.0000000001652
C1_BREAKOUT_ACCEPTANCE_30M,fold,2024H1,97,45,-5849.00000000004,3704.999999999959
C1_BREAKOUT_ACCEPTANCE_30M,fold,2024H2,102,44,-12529.999999999878,3097.000000000123
C2_FALSE_BREAK_RANGE_REENTRY,fold,2023H1,121,95,7550.000000000227,-6830.999999999773
C2_FALSE_BREAK_RANGE_REENTRY,fold,2023H2,109,86,3035.0000000002583,4957.000000000259
C2_FALSE_BREAK_RANGE_REENTRY,fold,2024H1,97,77,-7251.999999999918,2302.000000000081
C2_FALSE_BREAK_RANGE_REENTRY,fold,2024H2,102,79,-10929.999999999807,4697.000000000193
C3_PROFIT_TO_NONPROFIT_GIVEBACK,fold,2023H1,121,87,8627.00000000019,-5753.999999999813
C3_PROFIT_TO_NONPROFIT_GIVEBACK,fold,2023H2,109,84,833.0000000001567,2755.0000000001573
C3_PROFIT_TO_NONPROFIT_GIVEBACK,fold,2024H1,97,78,-5500.999999999944,4053.000000000056
C3_PROFIT_TO_NONPROFIT_GIVEBACK,fold,2024H2,102,65,-5461.9999999999,10165.000000000102
