period,bucket,trades,net_jpy,gross_loss_jpy
2023,EXIT_HORIZON_MISMATCH,8,-1448.0,1448.0
2023,IMMEDIATE_FALSE_BREAKOUT,28,-19507.0,19507.0
2023,OTHER,118,52073.0,-0.0
2023,SLOW_ACCEPTANCE_FAILURE,60,-33425.0,33425.0
2023,TEMPORARY_PROFIT_GIVEBACK,16,-10152.0,10152.0
2024H1,EXIT_HORIZON_MISMATCH,4,-856.0,856.0
2024H1,IMMEDIATE_FALSE_BREAKOUT,11,-2611.0,2611.0
2024H1,OTHER,57,22614.0,-0.0
2024H1,SLOW_ACCEPTANCE_FAILURE,14,-6056.0,6056.0
2024H1,TEMPORARY_PROFIT_GIVEBACK,11,-3537.0,3537.0
2024H2,EXIT_HORIZON_MISMATCH,1,-212.0,212.0
2024H2,IMMEDIATE_FALSE_BREAKOUT,12,-7974.0,7974.0
2024H2,OTHER,64,37736.0,-0.0
2024H2,SLOW_ACCEPTANCE_FAILURE,14,-9455.0,9455.0
2024H2,TEMPORARY_PROFIT_GIVEBACK,11,-4468.0,4468.0
