holding_time_bucket,lifecycle_class,events,net_jpy,median_pnl_jpy,median_mfe_pips,median_mae_pips
lt119,B_DELAYED_REVERSAL,0,0.0,,,
lt119,C_INSUFFICIENT_REVERSAL,0,0.0,,,
lt119,D_PROFIT_THEN_GIVEBACK,0,0.0,,,
lt119,E_TIMEOUT_TRUNCATION,0,0.0,,,
lt119,F_CONTINUATION_RESUMPTION,0,0.0,,,
lt119,H_SUSTAINED_REVERSAL,0,0.0,,,
119_121,B_DELAYED_REVERSAL,1,116.99999999999022,116.99999999999022,15.299999999999159,-25.99999999999909
119_121,C_INSUFFICIENT_REVERSAL,1,-183.9999999999975,-183.9999999999975,-0.30000000000143245,-38.700000000000045
119_121,D_PROFIT_THEN_GIVEBACK,29,1140.9999999999059,54.000000000002046,19.300000000001205,-13.399999999998613
119_121,E_TIMEOUT_TRUNCATION,1,-317.99999999998363,-317.99999999998363,-0.39999999999906777,-51.69999999999959
119_121,F_CONTINUATION_RESUMPTION,36,-7905.000000000115,-137.00000000000045,4.599999999999227,-26.05000000000075
119_121,H_SUSTAINED_REVERSAL,45,19917.0,298.0000000000018,43.69999999999834,-7.800000000000296
gt121,B_DELAYED_REVERSAL,0,0.0,,,
gt121,C_INSUFFICIENT_REVERSAL,0,0.0,,,
gt121,D_PROFIT_THEN_GIVEBACK,0,0.0,,,
gt121,E_TIMEOUT_TRUNCATION,0,0.0,,,
gt121,F_CONTINUATION_RESUMPTION,1,-266.00000000001955,-266.00000000001955,6.499999999999773,-35.90000000000089
gt121,H_SUSTAINED_REVERSAL,0,0.0,,,
