event_id,fold,entry_decision_utc,feature_cutoff_utc,uses_post_entry_data,feature_cutoff_le_decision,pass
2023H1|D_SHOCK_FAILURE|2023-01-03T06:30:00+00:00|1,2023H1,2023-01-03 06:30:00+00:00,2023-01-03 06:30:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-01-12T14:15:00+00:00|1,2023H1,2023-01-12 14:15:00+00:00,2023-01-12 14:15:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-01-24T15:15:00+00:00|-1,2023H1,2023-01-24 15:15:00+00:00,2023-01-24 15:15:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-02-01T15:15:00+00:00|1,2023H1,2023-02-01 15:15:00+00:00,2023-02-01 15:15:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-02-01T20:30:00+00:00|-1,2023H1,2023-02-01 20:30:00+00:00,2023-02-01 20:30:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-02-07T18:15:00+00:00|1,2023H1,2023-02-07 18:15:00+00:00,2023-02-07 18:15:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-02-09T18:00:00+00:00|-1,2023H1,2023-02-09 18:00:00+00:00,2023-02-09 18:00:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-03-01T16:00:00+00:00|1,2023H1,2023-03-01 16:00:00+00:00,2023-03-01 16:00:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-03-15T12:30:00+00:00|1,2023H1,2023-03-15 12:30:00+00:00,2023-03-15 12:30:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-03-23T06:45:00+00:00|1,2023H1,2023-03-23 06:45:00+00:00,2023-03-23 06:45:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-04-25T07:15:00+00:00|-1,2023H1,2023-04-25 07:15:00+00:00,2023-04-25 07:15:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-04-26T14:45:00+00:00|1,2023H1,2023-04-26 14:45:00+00:00,2023-04-26 14:45:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-05-05T13:30:00+00:00|1,2023H1,2023-05-05 13:30:00+00:00,2023-05-05 13:30:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-05-10T13:45:00+00:00|-1,2023H1,2023-05-10 13:45:00+00:00,2023-05-10 13:45:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-05-22T17:30:00+00:00|1,2023H1,2023-05-22 17:30:00+00:00,2023-05-22 17:30:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-05-24T08:00:00+00:00|1,2023H1,2023-05-24 08:00:00+00:00,2023-05-24 08:00:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-05-30T06:45:00+00:00|-1,2023H1,2023-05-30 06:45:00+00:00,2023-05-30 06:45:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-05-30T09:30:00+00:00|-1,2023H1,2023-05-30 09:30:00+00:00,2023-05-30 09:30:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-06-02T13:45:00+00:00|1,2023H1,2023-06-02 13:45:00+00:00,2023-06-02 13:45:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-06-07T14:15:00+00:00|1,2023H1,2023-06-07 14:15:00+00:00,2023-06-07 14:15:00+00:00,False,True,True
2023H1|D_SHOCK_FAILURE|2023-06-16T00:30:00+00:00|1,2023H1,2023-06-16 00:30:00+00:00,2023-06-16 00:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-07-06T00:30:00+00:00|1,2023H2,2023-07-06 00:30:00+00:00,2023-07-06 00:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-07-12T02:30:00+00:00|-1,2023H2,2023-07-12 02:30:00+00:00,2023-07-12 02:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-07-13T14:45:00+00:00|-1,2023H2,2023-07-13 14:45:00+00:00,2023-07-13 14:45:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-07-21T14:45:00+00:00|1,2023H2,2023-07-21 14:45:00+00:00,2023-07-21 14:45:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-07-24T14:00:00+00:00|1,2023H2,2023-07-24 14:00:00+00:00,2023-07-24 14:00:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-07-26T18:45:00+00:00|-1,2023H2,2023-07-26 18:45:00+00:00,2023-07-26 18:45:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-07-27T02:30:00+00:00|1,2023H2,2023-07-27 02:30:00+00:00,2023-07-27 02:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-07-27T20:00:00+00:00|1,2023H2,2023-07-27 20:00:00+00:00,2023-07-27 20:00:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-08-01T22:15:00+00:00|1,2023H2,2023-08-01 22:15:00+00:00,2023-08-01 22:15:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-08-18T12:45:00+00:00|-1,2023H2,2023-08-18 12:45:00+00:00,2023-08-18 12:45:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-08-18T15:15:00+00:00|1,2023H2,2023-08-18 15:15:00+00:00,2023-08-18 15:15:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-08-24T15:00:00+00:00|1,2023H2,2023-08-24 15:00:00+00:00,2023-08-24 15:00:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-08-29T14:45:00+00:00|1,2023H2,2023-08-29 14:45:00+00:00,2023-08-29 14:45:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-09-05T07:30:00+00:00|1,2023H2,2023-09-05 07:30:00+00:00,2023-09-05 07:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-09-05T15:30:00+00:00|1,2023H2,2023-09-05 15:30:00+00:00,2023-09-05 15:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-09-08T13:45:00+00:00|1,2023H2,2023-09-08 13:45:00+00:00,2023-09-08 13:45:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-09-11T06:30:00+00:00|1,2023H2,2023-09-11 06:30:00+00:00,2023-09-11 06:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-09-14T13:30:00+00:00|1,2023H2,2023-09-14 13:30:00+00:00,2023-09-14 13:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-09-28T14:30:00+00:00|1,2023H2,2023-09-28 14:30:00+00:00,2023-09-28 14:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-09-29T09:15:00+00:00|-1,2023H2,2023-09-29 09:15:00+00:00,2023-09-29 09:15:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-10-04T08:00:00+00:00|1,2023H2,2023-10-04 08:00:00+00:00,2023-10-04 08:00:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-10-09T19:15:00+00:00|1,2023H2,2023-10-09 19:15:00+00:00,2023-10-09 19:15:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-10-19T16:15:00+00:00|-1,2023H2,2023-10-19 16:15:00+00:00,2023-10-19 16:15:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-10-26T07:00:00+00:00|-1,2023H2,2023-10-26 07:00:00+00:00,2023-10-26 07:00:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-11-06T08:15:00+00:00|-1,2023H2,2023-11-06 08:15:00+00:00,2023-11-06 08:15:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-11-07T16:00:00+00:00|-1,2023H2,2023-11-07 16:00:00+00:00,2023-11-07 16:00:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-11-14T14:30:00+00:00|1,2023H2,2023-11-14 14:30:00+00:00,2023-11-14 14:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-11-16T15:45:00+00:00|1,2023H2,2023-11-16 15:45:00+00:00,2023-11-16 15:45:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-11-17T13:30:00+00:00|1,2023H2,2023-11-17 13:30:00+00:00,2023-11-17 13:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-11-21T01:45:00+00:00|1,2023H2,2023-11-21 01:45:00+00:00,2023-11-21 01:45:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-11-27T04:00:00+00:00|1,2023H2,2023-11-27 04:00:00+00:00,2023-11-27 04:00:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-12-08T14:30:00+00:00|-1,2023H2,2023-12-08 14:30:00+00:00,2023-12-08 14:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-12-12T14:30:00+00:00|1,2023H2,2023-12-12 14:30:00+00:00,2023-12-12 14:30:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-12-13T23:00:00+00:00|1,2023H2,2023-12-13 23:00:00+00:00,2023-12-13 23:00:00+00:00,False,True,True
2023H2|D_SHOCK_FAILURE|2023-12-28T14:15:00+00:00|-1,2023H2,2023-12-28 14:15:00+00:00,2023-12-28 14:15:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-01-11T15:30:00+00:00|-1,2024H1,2024-01-11 15:30:00+00:00,2024-01-11 15:30:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-01-16T00:30:00+00:00|1,2024H1,2024-01-16 00:30:00+00:00,2024-01-16 00:30:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-01-16T14:00:00+00:00|1,2024H1,2024-01-16 14:00:00+00:00,2024-01-16 14:00:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-01-17T15:15:00+00:00|-1,2024H1,2024-01-17 15:15:00+00:00,2024-01-17 15:15:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-01-23T06:30:00+00:00|-1,2024H1,2024-01-23 06:30:00+00:00,2024-01-23 06:30:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-01-31T16:15:00+00:00|1,2024H1,2024-01-31 16:15:00+00:00,2024-01-31 16:15:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-02-01T02:30:00+00:00|1,2024H1,2024-02-01 02:30:00+00:00,2024-02-01 02:30:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-02-09T14:30:00+00:00|1,2024H1,2024-02-09 14:30:00+00:00,2024-02-09 14:30:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-02-20T01:30:00+00:00|-1,2024H1,2024-02-20 01:30:00+00:00,2024-02-20 01:30:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-02-20T14:45:00+00:00|1,2024H1,2024-02-20 14:45:00+00:00,2024-02-20 14:45:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-02-29T08:15:00+00:00|1,2024H1,2024-02-29 08:15:00+00:00,2024-02-29 08:15:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-03-04T15:15:00+00:00|1,2024H1,2024-03-04 15:15:00+00:00,2024-03-04 15:15:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-03-05T16:00:00+00:00|1,2024H1,2024-03-05 16:00:00+00:00,2024-03-05 16:00:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-03-06T08:00:00+00:00|1,2024H1,2024-03-06 08:00:00+00:00,2024-03-06 08:00:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-04-03T15:00:00+00:00|1,2024H1,2024-04-03 15:00:00+00:00,2024-04-03 15:00:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-04-04T13:15:00+00:00|1,2024H1,2024-04-04 13:15:00+00:00,2024-04-04 13:15:00+00:00,False,True,True
2024H1|D_SHOCK_FAILURE|2024-04-04T20:00:00+00:00|1,2024H1,2024-04-04 20:00:00+00:00,2024-04-04 20:00:00+00:00,False,True,True
