feature,n,missing_rate,median_H,median_F,cliffs_delta_H_vs_F,auc_H_high,auc_absolute,permutation_p_500,fold_auc_count,fold_direction_consistency
shock_duration_bars,82,0.0,2.0,1.0,0.2690690690690691,0.6345345345345346,0.6345345345345346,0.023952095808383235,4,1.0
failure_window_entry_direction_tick_imbalance,82,0.0,0.0167973124300112,0.021701085054252712,-0.14834834834834834,0.42582582582582584,0.5741741741741742,0.26746506986027946,4,1.0
h4_ema20_slope_shock_signed_pips,82,0.0,-0.49498060577946035,-1.6146628437411437,0.13153153153153152,0.5657657657657658,0.5657657657657658,0.2894211576846307,4,0.75
h1_ema20_slope_shock_signed_pips,82,0.0,0.30466900755357074,-0.4784253950646189,0.12432432432432433,0.5621621621621622,0.5621621621621622,0.3333333333333333,4,0.75
retracement_ratio,82,0.0,0.6006191950464778,0.5247252747252754,0.0894894894894895,0.5447447447447447,0.5447447447447447,0.5049900199600799,4,0.5
shock_ratio,82,0.0,2.8157894736839104,3.084210526315893,-0.06786786786786787,0.46606606606606604,0.533933933933934,0.6207584830339321,4,0.5
shock_window_shock_direction_tick_imbalance,82,0.0,0.028282828282828285,0.02609992542878449,-0.016216216216216217,0.4918918918918919,0.508108108108108,0.9041916167664671,4,0.75
failure_window_entry_direction_acceleration_pips_per_min,82,0.0,-0.42944533255315487,-0.2515058211445909,-0.015015015015015015,0.4924924924924925,0.5075075075075075,0.8882235528942116,4,0.75
failure_body_ratio,82,0.0,0.7999999999997869,0.8050847457626394,0.009009009009009009,0.5045045045045046,0.5045045045045046,0.9321357285429142,4,0.75
failure_close_to_shock_origin_entry_pips,82,0.0,-4.399999999998272,-5.400000000000205,0.007807807807807808,0.5039039039039039,0.5039039039039039,0.9461077844311377,4,0.5
