fixture,status,authority
HYP039_DUKAS_ONLY,PASS,CORE_RELEASE
HYP039_RAKUTEN_ONLY,PASS,CORE_RELEASE
HYP039_COMMON_PRICE_MISMATCH,PASS,CORE_RELEASE
HYP039_ONE_SECOND_EXIT,PASS,CORE_RELEASE
HYP039_SHARED_SIDE_SUPPRESSION,PASS,CORE_RELEASE
HYP040_UPPER_SWEEP,PASS,CORE_RELEASE
HYP040_LOWER_SWEEP,PASS,CORE_RELEASE
HYP040_BOUNDARY_TICK,PASS,CORE_RELEASE
HYP040_HOLDING_BAR_COUNT,PASS,CORE_RELEASE
WEEKEND_BOUNDARY,PASS,CORE_RELEASE
MONTH_BOUNDARY,PASS,CORE_RELEASE
DUPLICATE_TIMESTAMP,PASS,CORE_RELEASE
SAME_TIMESTAMP_CLOSE_ENTRY,PASS,CORE_RELEASE
WARMUP_BOUNDARY,PASS,CORE_RELEASE
