combination_id,components,status,pending_components,2023_2024_net_jpy,2023_2024_pf,2025H1_net_jpy,2025H1_pf,2025H1_tick_equity_dd_jpy,2025H1_minimum_equity_jpy,minimum_margin_level_percent,maximum_concurrent_positions,maximum_concurrent_lots,classification,formal_candidate_status
BASELINE,B02+F05,CALCULATED,,51627.0,1.1377131303215893,-20808.0,0.8294076655052265,42737.0,57328.0,156.0535,8.0,0.08,NO_RECOVERY,BASELINE_AUTHORITY
B02_F05_N1,B02+F05+N1,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,N1,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
B02_F05_N2,B02+F05+N2,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,N2,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
B02_F05_N1_N2,B02+F05+N1+N2,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,N1+N2,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
B02_FV2,B02+F,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,F,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
B02_FV2_N1,B02+F+N1,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,F+N1,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
B02_FV2_N2,B02+F+N2,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,F+N2,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
B02_FV2_N1_N2,B02+F+N1+N2,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,F+N1+N2,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
BV2_F05,B+F05,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,B,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
BV2_F05_N1,B+F05+N1,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,B+N1,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
BV2_F05_N2,B+F05+N2,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,B+N2,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
BV2_FV2,B+F,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,B+F,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
BV2_FV2_N1,B+F+N1,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,B+F+N1,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
BV2_FV2_N2,B+F+N2,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,B+F+N2,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
BV2_FV2_N1_N2,B+F+N1+N2,NOT_CALCULATED_PENDING_CANDIDATE_EVIDENCE,B+F+N1+N2,,,,,,,,,,,PENDING_CANDIDATE_EVIDENCE
