candidate_id,eligible,H1_n,H1_delta,H1_exbest2,H1_lomo,H2_n,H2_delta,H2_exbest2,H2_lomo,FY_n,FY_delta,FY_pf,positive_months,negative_months,loser_share,P2P3_share,failed_gates
D1_SINGLE_30M_DEEP_ADVERSE__L_adverse_pips_15,False,19,1613,-335,-177,54,-5736,-8034,-9041,73,-4123,1.355663,7,5,0.780822,0.616438,H2_net_delta_positive;H2_pf_not_below_baseline;H1_ex_best_two_positive;H2_ex_best_two_positive;H1_lomo_positive;H2_lomo_positive;full_benefit_exceeds_harm;positive_months_min_8;negative_months_max_2
D1_SINGLE_30M_DEEP_ADVERSE__L_adverse_pips_20,False,10,1732,464,544,30,-4038,-6336,-5559,40,-2306,1.357633,7,5,0.850000,0.675000,H2_net_delta_positive;H2_pf_not_below_baseline;H2_ex_best_two_positive;H2_lomo_positive;full_benefit_exceeds_harm;positive_months_min_8;negative_months_max_2
D1_SINGLE_30M_DEEP_ADVERSE__L_adverse_pips_25,False,5,1454,186,186,23,-1361,-3659,-3161,28,93,1.370657,7,3,0.857143,0.642857,H2_net_delta_positive;H2_pf_not_below_baseline;H2_ex_best_two_positive;H2_lomo_positive;positive_months_min_8;negative_months_max_2
D2_PERSISTENT_30M_60M_ADVERSE__A_30m_adverse_pips_10__B_60m_adverse_pips_5,False,38,2332,236,-1047,68,-2571,-4703,-4905,106,-239,1.392202,8,4,0.764151,0.650943,H2_net_delta_positive;H2_ex_best_two_positive;H1_lomo_positive;H2_lomo_positive;full_benefit_exceeds_harm;negative_months_max_2
D2_PERSISTENT_30M_60M_ADVERSE__A_30m_adverse_pips_10__B_60m_adverse_pips_10,False,29,1017,-950,-1752,56,-1807,-3939,-4238,85,-790,1.381820,8,4,0.823529,0.717647,H2_net_delta_positive;H1_ex_best_two_positive;H2_ex_best_two_positive;H1_lomo_positive;H2_lomo_positive;full_benefit_exceeds_harm;negative_months_max_2
D2_PERSISTENT_30M_60M_ADVERSE__A_30m_adverse_pips_10__B_60m_adverse_pips_15,False,22,2088,121,-681,45,-1202,-3334,-3975,67,886,1.387015,8,3,0.850746,0.761194,H2_net_delta_positive;H2_ex_best_two_positive;H1_lomo_positive;H2_lomo_positive;negative_months_max_2
D2_PERSISTENT_30M_60M_ADVERSE__A_30m_adverse_pips_15__B_60m_adverse_pips_5,False,17,2416,780,869,46,-751,-2883,-3756,63,1665,1.392837,9,3,0.857143,0.714286,H2_net_delta_positive;H2_ex_best_two_positive;H2_lomo_positive;negative_months_max_2
D2_PERSISTENT_30M_60M_ADVERSE__A_30m_adverse_pips_15__B_60m_adverse_pips_10,False,15,2072,436,525,44,-1138,-3270,-3296,59,934,1.385337,9,2,0.881356,0.728814,H2_net_delta_positive;H2_ex_best_two_positive;H2_lomo_positive
D2_PERSISTENT_30M_60M_ADVERSE__A_30m_adverse_pips_15__B_60m_adverse_pips_15,False,12,2051,415,504,35,-2171,-4303,-4358,47,-120,1.373051,7,3,0.893617,0.765957,H2_net_delta_positive;H2_pf_not_below_baseline;H2_ex_best_two_positive;H2_lomo_positive;full_benefit_exceeds_harm;positive_months_min_8;negative_months_max_2
D2_PERSISTENT_30M_60M_ADVERSE__A_30m_adverse_pips_20__B_60m_adverse_pips_5,False,10,1868,504,694,27,-938,-3070,-2027,37,930,1.379197,8,4,0.864865,0.729730,H2_net_delta_positive;H2_ex_best_two_positive;H2_lomo_positive;negative_months_max_2
D2_PERSISTENT_30M_60M_ADVERSE__A_30m_adverse_pips_20__B_60m_adverse_pips_10,False,9,1367,3,193,27,-938,-3070,-2027,36,429,1.374972,7,4,0.861111,0.722222,H2_net_delta_positive;H2_ex_best_two_positive;H2_lomo_positive;positive_months_min_8;negative_months_max_2
D2_PERSISTENT_30M_60M_ADVERSE__A_30m_adverse_pips_20__B_60m_adverse_pips_15,False,8,1341,-23,167,21,-896,-3028,-2008,29,445,1.371910,6,4,0.896552,0.793103,H2_net_delta_positive;H2_pf_not_below_baseline;H1_ex_best_two_positive;H2_ex_best_two_positive;H2_lomo_positive;positive_months_min_8;negative_months_max_2
