scenario,candidate_id,role,period,spread_multiplier,slippage_pips_per_side,trades,avg_net_pips,total_net_pips,profit_factor,positive_months,total_excluding_best_two_days,max_drawdown_pips
default,F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,1.0,0.0,90,3.676026618334142,330.8423956500728,1.5100023391611404,5,200.99239565007355,-130.89999999999873
default,F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,1.0,0.0,114,1.8342105263157642,209.09999999999712,1.1853230523796836,3,47.34999999999593,-192.09999999999707
default,F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,1.0,0.0,204,2.6467764492650487,539.9423956500699,1.303849231893186,8,378.1923956500687,-192.09999999999712
default,F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,1.0,0.0,90,5.018248840556351,451.64239565007153,1.696218747277793,6,313.242395650074,-116.95000000000056
default,F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,1.0,0.0,112,1.4857142857142898,166.40000000000046,1.1467566256559516,3,28.250000000000654,-192.09999999999707
default,F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,1.0,0.0,202,3.0596158200498613,618.042395650072,1.3467166469918763,9,476.84239565007385,-192.09999999999712
moderate,F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,1.5,0.1,90,3.174595483056854,285.71359347511685,1.4282044425051468,5,156.86359347511763,-137.89999999999873
moderate,F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,1.5,0.1,114,1.3342105263157653,152.09999999999724,1.1315971621387757,3,-8.150000000003956,-202.39999999999674
moderate,F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,1.5,0.1,204,2.1461450660544807,437.8135934751141,1.2401562535493682,8,277.5635934751129,-202.3999999999968
moderate,F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,1.5,0.1,90,4.5168177052790615,406.5135934751155,1.6092497194395328,5,269.113593475118,-123.95000000000061
moderate,F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,1.5,0.1,112,0.9857142857142903,110.40000000000052,1.0950208718853558,3,-26.24999999999926,-194.09999999999707
moderate,F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,1.5,0.1,202,2.5589781855203757,516.9135934751159,1.2826075310773402,8,376.7135934751179,-198.90000000000475
severe,F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H1,3.0,0.5,90,1.4703020772249855,132.3271869502487,1.180313515635415,3,6.877186950249467,-171.7228130497436
severe,F_v2_z72_1p5_mean_target_0p5_max12,production_primary,H2,3.0,0.5,114,-0.3657894736842356,-41.70000000000286,0.9667185442356018,1,-196.85000000000406,-255.09999999999678
severe,F_v2_z72_1p5_mean_target_0p5_max12,production_primary,FULL_2024,3.0,0.5,204,0.44425091642277403,90.6271869502459,1.0456141264107666,4,-64.5228130497553,-308.57281304974515
severe,F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H1,3.0,0.5,90,2.8125242994471935,253.12718695024742,1.3446613891242332,5,119.12718695024992,-154.69999999999644
severe,F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,H2,3.0,0.5,112,-0.71428571428571,-79.99999999999952,0.9365431902911084,2,-211.5499999999993,-246.44999999999786
severe,F_v2_z72_1p5_mean_target_0p25_max12,neighboring_robustness_control,FULL_2024,3.0,0.5,202,0.8570652819319202,173.12718695024788,1.086775202918765,7,36.327186950249796,-308.5499999999923
