candidate_id,hold_bars,trades,avg_net_pips,total_net_pips,profit_factor,win_rate,severe_profit_factor,avg_MFE_pips,avg_MAE_pips,median_hold_bars
F_v2_z72_1p5_mean_target_0p25_max12,1,2,38.97500000000058,77.95000000000115,inf,1.0,inf,44.77500000000134,-8.07499999999961,1.0
F_v2_z72_1p5_mean_target_0p25_max12,3,3,23.883333333333855,71.65000000000157,inf,1.0,inf,27.91666666666674,-7.599999999999459,3.0
F_v2_z72_1p5_mean_target_0p25_max12,4,3,24.23333333333319,72.69999999999956,inf,1.0,inf,27.650000000000546,-5.133333333333656,4.0
F_v2_z72_1p5_mean_target_0p25_max12,5,2,28.29999999999948,56.59999999999896,inf,1.0,inf,32.725000000001224,-5.549999999999722,5.0
F_v2_z72_1p5_mean_target_0p25_max12,6,3,40.316666666666045,120.94999999999814,inf,1.0,inf,48.350000000000705,-13.566666666666727,6.0
F_v2_z72_1p5_mean_target_0p25_max12,7,2,35.774999999998485,71.54999999999697,inf,1.0,inf,37.42499999999982,-12.47500000000068,7.0
F_v2_z72_1p5_mean_target_0p25_max12,8,1,30.849999999999532,30.849999999999532,inf,1.0,inf,35.34999999999844,-3.300000000001635,8.0
F_v2_z72_1p5_mean_target_0p25_max12,10,3,50.58333333333335,151.75000000000006,inf,1.0,inf,55.90000000000058,-7.183333333333024,10.0
F_v2_z72_1p5_mean_target_0p25_max12,11,4,38.7249999999995,154.899999999998,inf,1.0,inf,43.899999999999494,-6.7749999999999755,11.0
F_v2_z72_1p5_mean_target_0p25_max12,12,67,-5.3322030499987765,-357.25760434991804,0.44927791511256787,0.4626865671641791,0.3121498895820271,13.084328358208838,-19.224626865671716,12.0
F_v2_z72_1p5_mean_target_0p5_max12,1,3,33.60000000000053,100.80000000000157,inf,1.0,inf,38.86666666666742,-5.933333333332976,1.0
F_v2_z72_1p5_mean_target_0p5_max12,2,2,21.975000000000232,43.950000000000465,inf,1.0,inf,31.82500000000088,-4.3749999999986855,2.0
F_v2_z72_1p5_mean_target_0p5_max12,3,1,15.599999999999548,15.599999999999548,inf,1.0,inf,17.199999999999438,-14.050000000001006,3.0
F_v2_z72_1p5_mean_target_0p5_max12,4,5,26.339999999999737,131.69999999999868,inf,1.0,inf,30.72000000000052,-4.240000000000244,4.0
F_v2_z72_1p5_mean_target_0p5_max12,5,4,26.92499999999935,107.6999999999974,inf,1.0,inf,35.32499999999994,-10.287500000000227,5.0
F_v2_z72_1p5_mean_target_0p5_max12,6,3,22.033333333333577,66.10000000000073,inf,1.0,inf,27.200000000000557,-12.916666666666908,6.0
F_v2_z72_1p5_mean_target_0p5_max12,7,1,19.249999999999034,19.249999999999034,inf,1.0,inf,22.849999999998705,-3.300000000001635,7.0
F_v2_z72_1p5_mean_target_0p5_max12,8,1,19.249999999999034,19.249999999999034,inf,1.0,inf,20.75000000000049,-9.200000000000319,8.0
F_v2_z72_1p5_mean_target_0p5_max12,9,2,16.62500000000071,33.25000000000142,inf,1.0,inf,18.599999999999728,-8.07499999999961,9.0
F_v2_z72_1p5_mean_target_0p5_max12,10,3,40.933333333332314,122.79999999999694,inf,1.0,inf,45.36666666666633,-6.583333333333534,10.0
F_v2_z72_1p5_mean_target_0p5_max12,11,4,24.68750000000024,98.75000000000097,inf,1.0,inf,28.262499999999747,-8.399999999999519,11.0
F_v2_z72_1p5_mean_target_0p5_max12,12,61,-7.021436136883946,-428.3076043499207,0.3397524532194498,0.4098360655737705,0.2328060080192896,12.307377049180218,-20.449180327868934,12.0
